章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
001_五帝本纪	五帝	五帝	6	词表匹配	五帝	# [0] 五帝本纪↵↵## @黄帝	朝代
001_五帝本纪	本纪	本纪	8	词表匹配	本纪	# [0] 五帝本纪↵↵## @黄帝@↵	制度
001_五帝本纪	公孙	公孙	50	词表匹配	公孙	者，@少典@之子，姓公孙，名曰@轩辕@。生而	人名
001_五帝本纪	神灵	神灵	62	词表匹配	神灵	，名曰@轩辕@。生而神灵，弱而能言，幼而徇齐	神话
001_五帝本纪	诸侯相	诸侯相	108	词表匹配	诸侯相	时，&神农氏&世衰。诸侯相侵伐，暴虐百姓，而&	官职
001_五帝本纪	干戈	干戈	138	词表匹配	干戈	。於是@轩辕@乃习用干戈，以征不享，诸侯咸来	器物
001_五帝本纪	鬼神	鬼神	529	词表匹配	鬼神	监于万国。万国和，而鬼神山川封禅与为多焉。获	神话
001_五帝本纪	山川	山川	531	词表匹配	山川	万国。万国和，而鬼神山川封禅与为多焉。获*宝	地名
001_五帝本纪	封禅	封禅	533	词表匹配	封禅	。万国和，而鬼神山川封禅与为多焉。获*宝鼎*	制度
001_五帝本纪	天地	天地	576	词表匹配	天地	、@大鸿@以治民。顺天地之纪，幽明之占，死生	天文
001_五帝本纪	日月星辰	日月星辰	620	词表匹配	日月星辰	鸟兽〙〘蟲蛾〙，旁罗日月星辰水波土石金玉，劳勤心	天文
001_五帝本纪	金玉	金玉	628	词表匹配	金玉	旁罗日月星辰水波土石金玉，劳勤心力耳目，节用	器物
001_五帝本纪	土德	土德	646	词表匹配	土德	目，节用水火材物。有土德之瑞，故号@黄帝@。	制度
001_五帝本纪	鬼神	鬼神	946	词表匹配	鬼神	任地，载时以象天，依鬼神以制义，治气以教化，	神话
001_五帝本纪	祭祀	祭祀	961	词表匹配	祭祀	，治气以教化，絜诚以祭祀。↵↵- 北至于=幽	制度
001_五帝本纪	日月	日月	1021	词表匹配	日月	动静之物，大小之神，日月所照，莫不砥属。↵↵	制度
001_五帝本纪	神灵	神灵	1196	词表匹配	神灵	[8] @高辛@生而神灵，自言其名。普施利物	神话
001_五帝本纪	日月	日月	1278	词表匹配	日月	民而利诲之，↵- 历日月而迎送之，↵- 明鬼	制度
001_五帝本纪	鬼神	鬼神	1289	词表匹配	鬼神	月而迎送之，↵- 明鬼神而敬事之。↵↵其色郁	神话
001_五帝本纪	日月	日月	1332	词表匹配	日月	喾@溉执中而遍天下，日月所照，风雨所至，莫不	制度
001_五帝本纪	白马	白马	1501	词表匹配	白马	舒。黄收纯衣，彤车乘白马。能明驯德，以亲九族	地名
001_五帝本纪	昭明	昭明	1526	词表匹配	昭明	既睦，便章百姓。百姓昭明，合和万国。↵↵##	人名
001_五帝本纪	昊天	昊天	1564	词表匹配	昊天	@羲@、@和@，敬顺昊天，数法日月星辰，敬授	地名
001_五帝本纪	日月星辰	日月星辰	1569	词表匹配	日月星辰	和@，敬顺昊天，数法日月星辰，敬授民时。↵↵- 	天文
001_五帝本纪	十六日	十六日	1849	词表匹配	十六日	11.5] 岁三百六十六日，以!闰月!正四时。	时间
001_五帝本纪	四时	四时	1859	词表匹配	四时	十六日，以!闰月!正四时。信饬百官，众功皆兴	时间
001_五帝本纪	共工	共工	2001	词表匹配	共工	5] @讙兜@曰：“共工旁聚布功，可用。”↵	人名
001_五帝本纪	共工	共工	2028	词表匹配	共工	.6] @尧@曰：“共工善言，其用僻，似恭漫	人名
001_五帝本纪	襄陵	襄陵	2079	词表匹配	襄陵	汤洪水滔天，浩浩怀山襄陵，下民其忧，有能使治	地名
001_五帝本纪	风雷	风雷	2530	词表匹配	风雷	@舜@入山林川泽，暴风雷雨，舜行不迷。@尧@	器物
001_五帝本纪	礼法	礼法	2633	词表匹配	礼法	@↵↵### 摄政与礼法↵↵[14] 於是@	制度
001_五帝本纪	上帝	上帝	2690	词表匹配	上帝	以齐!七政!。遂类于上帝，禋于六宗，望于山川	神话
001_五帝本纪	六宗	六宗	2695	词表匹配	六宗	!。遂类于上帝，禋于六宗，望于山川，辩于群神	制度
001_五帝本纪	山川	山川	2700	词表匹配	山川	上帝，禋于六宗，望于山川，辩于群神。揖*五瑞	地名
001_五帝本纪	巡狩	巡狩	2746	词表匹配	巡狩	1] %岁二月%，东巡狩，至於=岱宗=，祡，	制度
001_五帝本纪	山川	山川	2761	词表匹配	山川	=岱宗=，祡，望秩於山川。遂见东方君长，合时	地名
001_五帝本纪	东方	东方	2766	词表匹配	东方	祡，望秩於山川。遂见东方君长，合时月正日，同	地名
001_五帝本纪	君长	君长	2768	词表匹配	君长	望秩於山川。遂见东方君长，合时月正日，同律度	官职
001_五帝本纪	巡狩	巡狩	2817	词表匹配	巡狩	卒乃复。%五月%，南巡狩；%八月%，西巡狩；	制度
001_五帝本纪	巡狩	巡狩	2826	词表匹配	巡狩	南巡狩；%八月%，西巡狩；%十一月%，北巡狩	制度
001_五帝本纪	巡狩	巡狩	2836	词表匹配	巡狩	巡狩；%十一月%，北巡狩：皆如初。归，至于祖	制度
001_五帝本纪	巡狩	巡狩	2872	词表匹配	巡狩	4.2] %五岁%一巡狩，群后四朝。遍告以言	制度
001_五帝本纪	共工	共工	2986	词表匹配	共工	15] @讙兜@进言共工，@尧@曰不可而试之	人名
