章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
001_五帝本纪	天下	天下	344	词表匹配	天下	氏&，是为@黄帝@。天下有不顺者，@黄帝@从	思想
001_五帝本纪	封禅	封禅	533	词表匹配	封禅	。万国和，而鬼神山川封禅与为多焉。获*宝鼎*	礼仪
001_五帝本纪	天地	天地	576	词表匹配	天地	、@大鸿@以治民。顺天地之纪，幽明之占，死生	思想
001_五帝本纪	天下	天下	749	词表匹配	天下	妃，生二子，其後皆有天下：↵↵- 其一曰@玄	思想
001_五帝本纪	圣德	圣德	829	词表匹配	圣德	@高阳@，@高阳@有圣德焉。↵↵[4.2] 	思想
001_五帝本纪	祭祀	祭祀	961	词表匹配	祭祀	，治气以教化，絜诚以祭祀。↵↵- 北至于=幽	礼仪
001_五帝本纪	动静	动静	1011	词表匹配	动静	东至于=蟠木=。↵↵动静之物，大小之神，日月	思想
001_五帝本纪	天下	天下	1245	词表匹配	天下	而威，惠而信，脩身而天下服。↵↵- 取地之财	思想
001_五帝本纪	天下	天下	1329	词表匹配	天下	。@帝喾@溉执中而遍天下，日月所照，风雨所至	思想
001_五帝本纪	禅让	禅让	1878	词表匹配	禅让	功皆兴。↵↵### 禅让之始↵↵[12]↵↵	礼仪
001_五帝本纪	天命	天命	2665	词表匹配	天命	行$天子$之政，以观天命。@舜@乃在*璿玑玉	思想
001_五帝本纪	巡狩	巡狩	2746	词表匹配	巡狩	1] %岁二月%，东巡狩，至於=岱宗=，祡，	礼仪
001_五帝本纪	巡狩	巡狩	2817	词表匹配	巡狩	卒乃复。%五月%，南巡狩；%八月%，西巡狩；	礼仪
001_五帝本纪	巡狩	巡狩	2826	词表匹配	巡狩	南巡狩；%八月%，西巡狩；%十一月%，北巡狩	礼仪
001_五帝本纪	巡狩	巡狩	2836	词表匹配	巡狩	巡狩；%十一月%，北巡狩：皆如初。归，至于祖	礼仪
001_五帝本纪	巡狩	巡狩	2872	词表匹配	巡狩	4.2] %五岁%一巡狩，群后四朝。遍告以言	礼仪
001_五帝本纪	天下	天下	3199	词表匹配	天下	[15.5] 四罪而天下咸服。↵↵[16] 	思想
001_五帝本纪	天下	天下	3312	词表匹配	天下	丹硃@之不肖，不足授天下，於是乃权授舜。授舜	思想
001_五帝本纪	天下	天下	3326	词表匹配	天下	是乃权授舜。授舜，则天下得其利而@丹硃@病；	思想
001_五帝本纪	天下	天下	3345	词表匹配	天下	@病；授@丹硃@，则天下病而@丹硃@得其利。	思想
001_五帝本纪	天下	天下	3365	词表匹配	天下	利。@尧@曰“终不以天下之病而利一人”，而卒	思想
001_五帝本纪	天下	天下	3382	词表匹配	天下	人”，而卒授@舜@以天下。↵↵[16.2] 	思想
001_五帝本纪	朝觐	朝觐	3426	词表匹配	朝觐	於=南河之南=。诸侯朝觐者不之@丹硃@而之@	礼仪
001_五帝本纪	德行	德行	3507	词表匹配	德行	帝舜@。↵↵### 德行与磨难↵↵[17] 	思想
001_五帝本纪	天下	天下	4563	词表匹配	天下	掩义隐贼，好行凶慝，天下谓之@浑沌@。↵- 	思想
001_五帝本纪	天下	天下	4602	词表匹配	天下	毁信恶忠，崇饰恶言，天下谓之@穷奇@。↵- 	思想
001_五帝本纪	天下	天下	4641	词表匹配	天下	不可教训，不知话言，天下谓之@檮杌@。↵- 	思想
001_五帝本纪	天下	天下	4706	词表匹配	天下	贪于饮食，冒于货贿，天下谓之@饕餮@。↵↵[	思想
001_五帝本纪	天下	天下	4724	词表匹配	天下	。↵↵[22.6] 天下恶之，比之@三凶@。	思想
001_五帝本纪	天下	天下	4807	词表匹配	天下	尧@乃知@舜@之足授天下。@尧@老，使@舜@	思想
001_五帝本纪	巡狩	巡狩	4827	词表匹配	巡狩	舜@摄行$天子$政，巡狩。@舜@得举用事%二	礼仪
001_五帝本纪	天下	天下	4876	词表匹配	天下	%丧毕，让@丹硃@，天下归@舜@。↵↵[23	思想
001_五帝本纪	天下	天下	6105	词表匹配	天下	异物，〘凤皇〙来翔。天下明德皆自@虞帝@始。	思想
001_五帝本纪	巡狩	巡狩	6192	词表匹配	巡狩	帝位%三十九年%，南巡狩，崩於=苍梧之野=。	礼仪
001_五帝本纪	礼乐	礼乐	6386	词表匹配	礼乐	，以奉先祀。服其服，礼乐如之。以客见$天子$	礼仪
001_五帝本纪	百家	百家	6630	词表匹配	百家	》独载@尧@以来；而百家言@黄帝@，其文不雅	思想
001_五帝本纪	天下	天下	6988	词表匹配	天下	玄德升闻。↵> 能让天下，贤哉二君！↵	思想
