章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
003_殷本纪	本纪	本纪	7	词表匹配	本纪	# [0] 殷本纪↵↵## 殷商始祖↵	制度
003_殷本纪	殷商	殷商	14	词表匹配	殷商	] 殷本纪↵↵## 殷商始祖↵↵[1] @殷	人名
003_殷本纪	三人	三人	52	词表匹配	三人	女，为@帝喾@次妃。三人行浴，见〘玄鸟〙堕其	时间
003_殷本纪	汤	成汤	488	词表匹配	成汤	@成汤@。↵↵## 成汤建国↵↵[3] @成	人名
003_殷本纪	先王	先王	524	词表匹配	先王	@汤@始居=亳=，从先王居，作*帝诰*。↵↵	官职
003_殷本纪	汤征	汤征	540	词表匹配	汤征	帝诰*。↵↵### 汤征诸侯↵↵[4] @汤	器物
003_殷本纪	王官	王官	641	词表匹配	王官	君国子民，为善者皆在王官。勉哉，勉哉！”↵-	地名
003_殷本纪	鼎俎	鼎俎	738	词表匹配	鼎俎	为&有莘氏&媵臣，负鼎俎，以滋味说@汤@，致	器物
003_殷本纪	王道	王道	751	词表匹配	王道	以滋味说@汤@，致于王道。或曰，@伊尹@处士	制度
003_殷本纪	网开三面	网开三面	861	词表匹配	网开三面	女房*。↵↵### 网开三面与伐桀↵↵[6] @	event
003_殷本纪	小子	小子	1081	词表匹配	小子	来，女悉听朕言。匪台小子敢行举乱，有&夏&多	人名
003_殷本纪	上帝	上帝	1111	词表匹配	上帝	，&夏氏&有罪。予畏上帝，不敢不正。今&夏&	神话
003_殷本纪	大理	大理	1224	词表匹配	大理	予一人致天之罚，予其大理女。女毋不信，朕不食	官职
003_殷本纪	汤诰	汤诰	1415	词表匹配	汤诰	定海内。↵↵### 汤诰与礼制↵↵[8] @	器物
003_殷本纪	四渎	四渎	1580	词表匹配	四渎	=河=，南为=淮=，四渎已修，万民乃有居。@	制度
003_殷本纪	百穀	百穀	1600	词表匹配	百穀	。@后稷@降播，农殖百穀。三公咸有功于民，故	动植物
003_殷本纪	三公	三公	1603	词表匹配	三公	稷@降播，农殖百穀。三公咸有功于民，故后有立	制度
003_殷本纪	大夫	大夫	1623	词表匹配	大夫	有立。昔@蚩尤@与其大夫作乱百姓，帝乃弗予，	官职
003_殷本纪	先王	先王	1638	词表匹配	先王	姓，帝乃弗予，有状。先王言不可不勉。”↵- 	官职
003_殷本纪	服色	服色	1725	词表匹配	服色	汤@乃改^正朔^，易服色，上白，朝会以昼。↵	制度
003_殷本纪	伊尹	伊尹	1746	词表匹配	伊尹	↵↵## 早期传承与伊尹摄政↵↵[10] @	人名
003_殷本纪	九世	九世	2796	词表匹配	九世	，弟子或争相代立，比九世乱，於是诸侯莫朝。↵	时间
003_殷本纪	帝盘庚	盘庚	2812	词表匹配	盘庚	诸侯莫朝。↵↵## 盘庚迁都与武丁中兴↵↵[	人名
003_殷本纪	帝武丁	武丁	2817	词表匹配	武丁	↵↵## 盘庚迁都与武丁中兴↵↵[20] @	人名
003_殷本纪	高后	高后	2924	词表匹配	高后	告谕诸侯大臣曰：“昔高后@成汤@与尔之先祖俱	人名
003_殷本纪	武丁得傅说	武丁得傅说	3093	词表匹配	武丁得傅说	小乙@。↵↵### 武丁得傅说↵↵[22] @帝小	event
003_殷本纪	明日	明日	3303	词表匹配	明日	帝武丁@祭@成汤@，明日，有飞〘雉〙登鼎耳而	时间
003_殷本纪	天夭	天夭	3367	词表匹配	天夭	，降年有永有不永，非天夭民，中绝其命。民有不	天文
003_殷本纪	卫长子	长子	3759	词表匹配	长子	↵[28] @帝乙@长子曰@微子启@，@启@	人名
003_殷本纪	正后	正后	3788	词表匹配	正后	少子@辛@，@辛@母正后，@辛@为嗣。@帝乙	官职
003_殷本纪	纣	帝纣	3829	词表匹配	帝纣	之@纣@。↵↵## 帝纣与商朝灭亡↵↵###	人名
003_殷本纪	纣王暴政	纣王暴政	3842	词表匹配	纣王暴政	商朝灭亡↵↵### 纣王暴政↵↵[29] @帝纣	event
003_殷本纪	人臣	人臣	3892	词表匹配	人臣	距谏，言足以饰非；矜人臣以能，高天下以声，以	官职
003_殷本纪	靡靡之乐	靡靡之乐	3962	词表匹配	靡靡之乐	淫声，=北里=之舞，靡靡之乐。↵- 厚赋税以实=	器物
003_殷本纪	宫室	宫室	4007	词表匹配	宫室	狗〙〘马〙奇物，充仞宫室。↵- 益广=沙丘=	制度
003_殷本纪	鬼神	鬼神	4041	词表匹配	鬼神	〙置其中。↵- 慢於鬼神。↵- 大勣乐戏於=	神话
003_殷本纪	三公	三公	4135	词表匹配	三公	@九侯@、@鄂侯@为三公。↵↵- @九侯@有	制度
003_殷本纪	弓矢	弓矢	4311	词表匹配	弓矢	^。@纣@乃许之，赐弓矢斧钺，使得征伐，为$	器物
003_殷本纪	周文王	文王	4390	词表匹配	文王	此益疏。↵↵### 文王扩张与纣王拒谏↵↵[	人名
003_殷本纪	元龟	元龟	4532	词表匹配	元龟	既讫我&殷&命，假人元龟，无敢知吉，非先王不	器物
003_殷本纪	先王	先王	4541	词表匹配	先王	人元龟，无敢知吉，非先王不相我後人，维王淫虐	官职
003_殷本纪	维王	维王	4549	词表匹配	维王	，非先王不相我後人，维王淫虐用自绝，故天弃我	人名
003_殷本纪	赵不虞	不虞	4567	词表匹配	不虞	故天弃我，不有安食，不虞知天性，不迪率典。今	人名
003_殷本纪	今王	今王	4601	词表匹配	今王	降威，大命胡不至'？今王其柰何？”↵↵- @	官职
003_殷本纪	牧野之战	牧野之战	4725	词表匹配	牧野之战	乃复归。↵↵### 牧野之战↵↵[32] @纣@	event
003_殷本纪	人臣	人臣	4778	词表匹配	人臣	去。@比干@曰：“为人臣者，不得不以死争。”	官职
003_殷本纪	司马迁	太史公	5143	词表匹配	太史公	↵↵---↵↵## 太史公曰↵↵[34] 太史	人名
003_殷本纪	司马迁	太史公	5154	词表匹配	太史公	史公曰↵↵[34] 太史公曰：余以颂次@契@之	人名
003_殷本纪	分封	分封	5193	词表匹配	分封	契@为&子姓&，其後分封，以国为姓，有&殷氏	制度
003_殷本纪	臣扈	臣扈	5327	词表匹配	臣扈	 旋师=泰卷=，继相臣扈。↵> 迁嚣圮耿，不	人名
003_殷本纪	黄钺	黄钺	5393	词表匹配	黄钺	^砲格^兴焉。↵> 黄钺斯杖，白旗是悬。↵>	器物
