章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
003_殷本纪	王道	王道	751	词表匹配	王道	以滋味说@汤@，致于王道。或曰，@伊尹@处士	思想
003_殷本纪	天下	天下	891	词表匹配	天下	张网四面，祝曰：“自天下四方皆入吾网。”↵↵	思想
003_殷本纪	天命	天命	1126	词表匹配	天命	不正。今&夏&多罪，天命殛之。今女有众，女曰	思想
003_殷本纪	礼制	礼制	1418	词表匹配	礼制	。↵↵### 汤诰与礼制↵↵[8] @汤@归	思想
003_殷本纪	朝会	朝会	1731	词表匹配	朝会	朔^，易服色，上白，朝会以昼。↵↵## 早期	礼仪
003_殷本纪	兴衰	兴衰	2156	词表匹配	兴衰	↵↵## 商朝中叶的兴衰↵↵[14] @沃丁	思想
003_殷本纪	天下	天下	2937	词表匹配	天下	成汤@与尔之先祖俱定天下，法则可修。舍而弗勉	思想
003_殷本纪	国风	国风	3160	词表匹配	国风	决定於$冢宰$，以观国风。@武丁@夜梦得圣人	典籍
003_殷本纪	圣人	圣人	3170	词表匹配	圣人	国风。@武丁@夜梦得圣人，名曰@说@。以梦所	思想
003_殷本纪	圣人	圣人	3253	词表匹配	圣人	是也。得而与之语，果圣人，举以为相，&殷&国	思想
003_殷本纪	天下	天下	3431	词表匹配	天下	”@武丁@修政行德，天下咸驩，&殷&道复兴。	思想
003_殷本纪	天下	天下	3816	词表匹配	天下	@立，是为@帝辛@，天下谓之@纣@。↵↵##	思想
003_殷本纪	天下	天下	3898	词表匹配	天下	饰非；矜人臣以能，高天下以声，以为皆出己之下	思想
003_殷本纪	德行	德行	4415	词表匹配	德行	 @西伯@归，乃阴修德行善，诸侯多叛@纣@而	思想
003_殷本纪	天命	天命	4711	词表匹配	天命	@武王@曰：“尔未知天命。”乃复归。↵↵##	思想
003_殷本纪	人心	人心	4807	词表匹配	人心	@纣@怒曰：“吾闻圣人心有七窍。”剖@比干@	思想
