章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
005_秦本纪	本纪	本纪	7	词表匹配	本纪	# [0] 秦本纪↵↵## 秦之先祖↵	制度
005_秦本纪	玉女	玉女	184	词表匹配	玉女	。”乃妻之&姚姓&之玉女。@大费@拜受，佐@	神话
005_秦本纪	二人	二人	251	词表匹配	二人	[2] @大费@生子二人：一曰@大廉@，实&	时间
005_秦本纪	华氏	华氏	580	词表匹配	华氏	&乱，赐尔*石棺*以华氏”。死，遂葬於=霍太	族群
005_秦本纪	造父	造父	663	词表匹配	造父	@造父@。↵↵## 造父与非子↵↵[3.1]	人名
005_秦本纪	非子	非子	666	词表匹配	非子	@。↵↵## 造父与非子↵↵[3.1] @造	人名
005_秦本纪	巡狩	巡狩	714	词表匹配	巡狩	〙、〘騄耳〙之驷，西巡狩，乐而忘归。@徐偃王	制度
005_秦本纪	一日	一日	748	词表匹配	一日	@御，长驱归&周&，一日千里以救乱。@缪王@	时间
005_秦本纪	千里	千里	750	词表匹配	千里	，长驱归&周&，一日千里以救乱。@缪王@以=	时间
005_秦本纪	五世	五世	796	词表匹配	五世	蜚廉@生@季胜@已下五世至@造父@，别居=赵	时间
005_秦本纪	秦侯	秦侯	1172	词表匹配	秦侯	~西戎~。↵↵## 秦侯至秦仲↵↵[4] @	人名
005_秦本纪	秦仲	秦仲	1175	词表匹配	秦仲	~。↵↵## 秦侯至秦仲↵↵[4] @秦嬴@	人名
005_秦本纪	千人	千人	1374	词表匹配	千人	公@昆弟五人，与兵七千人，使伐~西戎~，破之	时间
005_秦本纪	郑庄公	庄公	1426	词表匹配	庄公	垂大夫$。↵↵## 庄公、襄公↵↵[6] @	人名
005_秦本纪	秦襄公	襄公	1429	词表匹配	襄公	$。↵↵## 庄公、襄公↵↵[6] @庄公@	人名
005_秦本纪	三人	三人	1452	词表匹配	三人	其故=西犬丘=，生子三人，其长男@世父@。@	时间
005_秦本纪	上帝	上帝	1869	词表匹配	上帝	*、*羝羊*各三，祠上帝=西畤=。%十二年%	神话
005_秦本纪	周文公	文公	1904	词表匹配	文公	生@文公@。↵## 文公、宁公↵↵[7] @	人名
