章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
005_秦本纪	巡狩	巡狩	714	词表匹配	巡狩	〙、〘騄耳〙之驷，西巡狩，乐而忘归。@徐偃王	礼仪
005_秦本纪	夷三族	夷三族	2643	词表匹配	夷三族	年%，诛@三父@等而夷三族，以其杀@出子@也。	刑法
005_秦本纪	君子	君子	4832	词表匹配	君子	法之。@缪公@曰：“君子不以畜产害人。吾闻食	思想
005_秦本纪	仁义	仁义	6727	词表匹配	仁义	责督於下，下罢极则以仁义怨望於上，上下交争怨	思想
005_秦本纪	圣人	圣人	6799	词表匹配	圣人	治，不知所以治，此真圣人之治也。”↵↵[32	思想
005_秦本纪	君子	君子	7279	词表匹配	君子	誓，令後世以记余过。君子闻之，皆为垂涕，曰：	思想
005_秦本纪	君子	君子	7485	词表匹配	君子	> [!NOTE] 君子曰↵> 君子曰：“@	思想
005_秦本纪	君子	君子	7491	词表匹配	君子	TE] 君子曰↵> 君子曰：“@秦缪公@广地	思想
005_秦本纪	会盟	会盟	8093	词表匹配	会盟	是之时，&楚&霸，为会盟合诸侯。↵↵[36.	礼仪
005_秦本纪	斩首	斩首	10261	词表匹配	斩首	&晋&战於=石门=，斩首六万，天子贺以*襜霡	刑法
005_秦本纪	会盟	会盟	10533	词表匹配	会盟	，不与=中国=诸侯之会盟，~夷翟~遇之。↵↵	礼仪
005_秦本纪	德行	德行	10598	词表匹配	德行	岐=、=雍=之间，修德行武，东平&晋&乱，以	思想
005_秦本纪	车裂	车裂	11467	词表匹配	车裂	@亡，因以为反，而卒车裂以徇&秦&国。↵↵#	刑法
005_秦本纪	斩首	斩首	11684	词表匹配	斩首	战，虏其将@龙贾@，斩首八万。↵↵[58.3	刑法
005_秦本纪	斩首	斩首	12129	词表匹配	斩首	、&韩&太子@奂@，斩首八万二千。↵↵[59	刑法
005_秦本纪	斩首	斩首	12298	词表匹配	斩首	。败&韩&=岸门=，斩首万，其将@犀首@走。	刑法
005_秦本纪	斩首	斩首	12427	词表匹配	斩首	=，虏其将@屈匄@，斩首八万；又攻&楚&=汉	刑法
005_秦本纪	斩首	斩首	12835	词表匹配	斩首	四年%，拔=宜阳=，斩首六万。涉=河=，城=	刑法
005_秦本纪	斩首	斩首	13254	词表匹配	斩首	长$@奂@伐&楚&，斩首二万。@泾阳君@质於	刑法
005_秦本纪	斩首	斩首	13798	词表匹配	斩首	、&魏&於=伊阙=，斩首二十四万，虏@公孙喜	刑法
005_秦本纪	赐爵	赐爵	14173	词表匹配	赐爵	出其人，募徙=河东=赐爵，赦罪人迁之。@泾阳	礼仪
005_秦本纪	赦罪	赦罪	14176	词表匹配	赦罪	，募徙=河东=赐爵，赦罪人迁之。@泾阳君@封	刑法
005_秦本纪	赦罪	赦罪	14453	词表匹配	赦罪	3] %二十六年%，赦罪人迁之=穰=。侯@厓	刑法
005_秦本纪	赦罪	赦罪	14496	词表匹配	赦罪	%，@错@攻&楚&。赦罪人迁之=南阳=。@白	刑法
005_秦本纪	赦罪	赦罪	14592	词表匹配	赦罪	，取=鄢=、=邓=，赦罪人迁之。↵↵[63.	刑法
005_秦本纪	斩首	斩首	14812	词表匹配	斩首	大梁=，破@暴鸢@，斩首四万，@鸢@走，&魏	刑法
005_秦本纪	斩首	斩首	14889	词表匹配	斩首	卯@=华阳=，破之，斩首十五万。&魏&入=南	刑法
005_秦本纪	斩首	斩首	15240	词表匹配	斩首	@攻&韩&，拔九城，斩首五万。↵↵[63.2	刑法
005_秦本纪	斩首	斩首	15734	词表匹配	斩首	二月%馀攻&晋&军，斩首六千，&晋&、&楚&	刑法
005_秦本纪	斩首	斩首	15829	词表匹配	斩首	=阳城=、=负黍=，斩首四万。攻&赵&，取二	刑法
005_秦本纪	天下	天下	15867	词表匹配	天下	秦&，与诸侯约从，将天下锐兵出=伊阙=攻&秦	思想
005_秦本纪	天下	天下	16009	词表匹配	天下	5] %五十三年%，天下来宾。&魏&後，&秦	思想
005_秦本纪	赦罪	赦罪	16187	词表匹配	赦罪	@孝文王@%元年%，赦罪人，修先王功臣，襃厚	刑法
005_秦本纪	大赦	大赦	16256	词表匹配	大赦	@庄襄王@%元年%，大赦罪人，修先王功臣，施	刑法
005_秦本纪	祭祀	祭祀	16334	词表匹配	祭祀	=地赐&周&君，奉其祭祀。使@蒙骜@伐&韩&	礼仪
005_秦本纪	天下	天下	16598	词表匹配	天下	立%二十六年%，初并天下为三十六郡，号为@始	思想
