章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
009_吕太后本纪	吕后	吕太后	6	词表匹配	吕太后	# [0] 吕太后本纪↵↵## 高祖在	人名
009_吕太后本纪	本纪	本纪	9	词表匹配	本纪	# [0] 吕太后本纪↵↵## 高祖在世↵	制度
009_吕太后本纪	汉高祖	高祖	16	词表匹配	高祖	吕太后本纪↵↵## 高祖在世↵↵### 吕后	人名
009_吕太后本纪	吕后	吕后	26	词表匹配	吕后	高祖在世↵↵### 吕后早年↵↵[1.1] 	人名
009_吕太后本纪	废立太子之争	废立太子之争	118	词表匹配	废立太子之争	如意$。↵↵### 废立太子之争↵↵[2.1] $孝	event
009_吕太后本纪	吕后	吕后	298	词表匹配	吕后	得毋废。↵↵### 吕后家族↵↵[3.1] 	人名
009_吕太后本纪	二人	二人	352	词表匹配	二人	3.2] @吕后@兄二人，皆为$将$。↵↵[	时间
009_吕太后本纪	惠帝	惠帝	429	词表匹配	惠帝	建成侯$。↵↵## 惠帝时期↵↵### 高祖	人名
009_吕太后本纪	汉高祖	高祖	439	词表匹配	高祖	惠帝时期↵↵### 高祖崩与诸王↵↵[4.1	人名
009_吕太后本纪	功臣	功臣	662	词表匹配	功臣	4.5] 非&刘氏&功臣$番君$@吴芮@子@	官职
009_吕太后本纪	戚姬	戚姬	689	词表匹配	戚姬	沙王$。↵↵### 戚姬之祸↵↵[5.1] 	人名
009_吕太后本纪	惠帝护赵王	惠帝护赵王	893	词表匹配	惠帝护赵王	赵王$。↵↵### 惠帝护赵王↵↵[6.1] 王来	event
009_吕太后本纪	人彘之刑	人彘之刑	1082	词表匹配	人彘之刑	赵王$。↵↵### 人彘之刑↵↵[7.1] %夏	event
009_吕太后本纪	人彘	人彘	1154	词表匹配	人彘	药，使居厕中，命曰"人彘"。↵↵[7.3] 	神话
009_吕太后本纪	数日	数日	1167	词表匹配	数日	。↵↵[7.3] 居数日，乃召$孝惠帝$观人	时间
009_吕太后本纪	人彘	人彘	1178	词表匹配	人彘	日，乃召$孝惠帝$观人彘。↵↵[7.4] $	神话
009_吕太后本纪	岁馀	岁馀	1213	词表匹配	岁馀	人@，乃大哭，因病，岁馀不能起。↵↵[7.5	时间
009_吕太后本纪	齐王	齐王	1297	词表匹配	齐王	故有病也。↵↵## 齐王来朝与惠帝崩↵↵##	人名
009_吕太后本纪	惠帝	惠帝	1302	词表匹配	惠帝	↵↵## 齐王来朝与惠帝崩↵↵### 齐王来	人名
009_吕太后本纪	齐王	齐王	1311	词表匹配	齐王	与惠帝崩↵↵### 齐王来朝↵↵[8.1] 	人名
009_吕太后本纪	齐王	齐王	1517	词表匹配	齐王	详醉去。↵↵### 齐王献郡↵↵[9.1] 	人名
009_吕太后本纪	今王	今王	1597	词表匹配	今王	惠$与@鲁元公主@。今王有七十馀城，而@公主	官职
009_吕太后本纪	七十馀城	七十馀城	1600	词表匹配	七十馀城	@鲁元公主@。今王有七十馀城，而@公主@乃食数城	时间
009_吕太后本纪	筑长安城	筑长安城	1725	词表匹配	筑长安城	齐王$。↵↵### 筑长安城↵↵[10.1] %	event
009_吕太后本纪	惠帝	惠帝	1794	词表匹配	惠帝	%朝贺。↵↵### 惠帝崩↵↵[11.1] 	人名
009_吕太后本纪	北军	北军	1997	词表匹配	北军	@为$将$，将兵居南北军，及诸&吕&皆入宫，	官职
009_吕太后本纪	吕后	吕后	2150	词表匹配	吕后	$太后$。↵↵## 吕后称制↵↵### 废立	人名
009_吕太后本纪	称制	称制	2152	词表匹配	称制	后$。↵↵## 吕后称制↵↵### 废立丞相	制度
009_吕太后本纪	丞相	丞相	2162	词表匹配	丞相	称制↵↵### 废立丞相↵↵[12.1] $	官职
