章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
010_孝文本纪	汉文帝	孝文	6	词表匹配	孝文	# [0] 孝文本纪↵↵## 代王入	人名
010_孝文本纪	本纪	本纪	8	词表匹配	本纪	# [0] 孝文本纪↵↵## 代王入继↵	制度
010_孝文本纪	代王	代王	15	词表匹配	代王	 孝文本纪↵↵## 代王入继↵↵### 身世	人名
010_孝文本纪	中子	中子	51	词表匹配	中子	孝文皇帝$，$高祖$中子也。↵↵[1.2] 	官职
010_孝文本纪	张武	张武	214	词表匹配	张武	@语中。↵↵### 张武劝阻↵↵[2.1] 	人名
010_孝文本纪	大将	大将	311	词表匹配	大将	&大臣皆故$高帝$时大将，习兵，多谋诈，此其	官职
010_孝文本纪	宋昌	宋昌	394	词表匹配	宋昌	其变。"↵↵### 宋昌进谏↵↵[3.1] 	人名
010_孝文本纪	宋昌	宋昌	427	词表匹配	宋昌	↵↵> NOTE: 宋昌说辞↵> "群臣之议	人名
010_孝文本纪	万数	万数	467	词表匹配	万数	，人人自以为得之者以万数，然卒践天子之位者，	时间
010_孝文本纪	天子	天子	473	词表匹配	天子	得之者以万数，然卒践天子之位者，&刘氏&也，	官职
010_孝文本纪	王子	王子	498	词表匹配	王子	望，一矣。$高帝$封王子弟，地犬牙相制，此所	人名
010_孝文本纪	三王	三王	578	词表匹配	三王	@之严，立诸&吕&为三王，擅权专制，然而$太	朝代
010_孝文本纪	北军	北军	596	词表匹配	北军	然而$太尉$以一节入北军，一呼士皆左袒，为&	官职
010_孝文本纪	天王	天王	834	词表匹配	天王	> "大横庚庚，余为天王，@夏启@以光。"↵	官职
010_孝文本纪	天王	天王	896	词表匹配	天王	人曰：↵↵> "所谓天王者乃天子。"↵↵[4	官职
010_孝文本纪	天子	天子	900	词表匹配	天子	↵> "所谓天王者乃天子。"↵↵[4.6] 	官职
010_孝文本纪	参乘	参乘	1030	词表匹配	参乘	.9] 乃命@宋昌@参乘，@张武@等六人乘传	官职
010_孝文本纪	天子	天子	1087	词表匹配	天子	=观变。↵↵## 即天子位↵↵### 渭桥受	官职
010_孝文本纪	渭桥受玺	渭桥受玺	1096	词表匹配	渭桥受玺	即天子位↵↵### 渭桥受玺↵↵[5.1] @昌	event
010_孝文本纪	天子	天子	1265	词表匹配	天子	7] $太尉$乃跪上天子*玺符*。↵↵[5.	官职
010_孝文本纪	宗庙	宗庙	1454	词表匹配	宗庙	$孝惠帝$子，不当奉宗庙。臣谨请$阴安侯$列	制度
010_孝文本纪	韩列侯	列侯	1465	词表匹配	列侯	庙。臣谨请$阴安侯$列侯$顷王$后与$琅邪王	人名
010_孝文本纪	韩列侯	列侯	1485	词表匹配	列侯	邪王$、宗室、大臣、列侯、吏二千石议曰：'大	人名
010_孝文本纪	二千石	二千石	1489	词表匹配	二千石	宗室、大臣、列侯、吏二千石议曰：'大王$高帝$	官职
010_孝文本纪	卫长子	长子	1502	词表匹配	长子	议曰：'大王$高帝$长子，宜为$高帝$嗣。'	人名
010_孝文本纪	天子	天子	1518	词表匹配	天子	高帝$嗣。'原大王即天子位。"↵↵[6.3]	官职
010_孝文本纪	宗庙	宗庙	1547	词表匹配	宗庙	↵↵> "奉$高帝$宗庙，重事也。寡人不佞，	制度
010_孝文本纪	宗庙	宗庙	1563	词表匹配	宗庙	。寡人不佞，不足以称宗庙。原请$楚王$计宜者	制度
010_孝文本纪	宗庙	宗庙	1658	词表匹配	宗庙	计之，大王奉$高帝$宗庙最宜称，虽天下诸侯万	制度
010_孝文本纪	宗庙	宗庙	1678	词表匹配	宗庙	侯万民以为宜。臣等为宗庙社稷计，不敢忽。原大	制度
010_孝文本纪	社稷	社稷	1680	词表匹配	社稷	民以为宜。臣等为宗庙社稷计，不敢忽。原大王幸	制度
010_孝文本纪	天子	天子	1699	词表匹配	天子	大王幸听臣等。臣谨奉天子*玺符*再拜上。"↵	官职
010_孝文本纪	韩列侯	列侯	1736	词表匹配	列侯	> "宗室$将相$王列侯以为莫宜寡人，寡人不	人名
010_孝文本纪	天子	天子	1762	词表匹配	天子	↵↵[6.8] 遂即天子位。↵↵### 入未	官职
010_孝文本纪	未央宫	未央宫	1773	词表匹配	未央宫	子位。↵↵### 入未央宫↵↵[7.1] 群臣	地名
010_孝文本纪	天子	天子	1822	词表匹配	天子	侯$@兴居@清宫，奉天子法驾，迎于=代邸=。	官职
010_孝文本纪	法驾	法驾	1824	词表匹配	法驾	@兴居@清宫，奉天子法驾，迎于=代邸=。↵↵	器物
010_孝文本纪	北军	北军	1881	词表匹配	北军	为$卫将军$，镇抚南北军。↵↵[7.5] 以	官职
010_孝文本纪	诏书	诏书	1931	词表匹配	诏书	*。↵↵### 即位诏书↵↵[8] 於是夜下	制度
010_孝文本纪	诏书	诏书	1943	词表匹配	诏书	↵↵[8] 於是夜下诏书曰：↵↵> "间者诸	制度
010_孝文本纪	宗庙	宗庙	1975	词表匹配	宗庙	大逆，欲以危&刘氏&宗庙，赖$将相$列侯宗室	制度
010_孝文本纪	韩列侯	列侯	1983	词表匹配	列侯	氏&宗庙，赖$将相$列侯宗室大臣诛之，皆伏其	人名
010_孝文本纪	元年	元年	2034	词表匹配	元年	五日%。"↵↵## 元年施政↵↵### 诸侯	官职
010_孝文本纪	侯封	侯封	2045	词表匹配	侯封	年施政↵↵### 诸侯封立↵↵[9.1] $	人名
010_孝文本纪	功臣	功臣	2206	词表匹配	功臣	↵### 迎太后与封功臣↵↵[10.1] %	官职
010_孝文本纪	论功行赏	论功行赏	2269	词表匹配	论功行赏	↵↵> NOTE: 论功行赏诏↵> "@吕产@自	event
010_孝文本纪	北军	北军	2421	词表匹配	北军	侯$@通@持节承诏入北军。$典客$@刘揭@身	官职
010_孝文本纪	万户	万户	2453	词表匹配	万户	。益封$太尉$@勃@万户，赐*金*五千斤。$	时间
010_孝文本纪	千斤	千斤	2461	词表匹配	千斤	勃@万户，赐*金*五千斤。$丞相$@陈平@、	时间
010_孝文本纪	千户	千户	2484	词表匹配	千户	灌将军@@婴@邑各三千户，*金*二千斤。$硃	时间
010_孝文本纪	千斤	千斤	2491	词表匹配	千斤	邑各三千户，*金*二千斤。$硃虚侯$@刘章@	时间
010_孝文本纪	千户	千户	2526	词表匹配	千户	侯$@刘兴居@邑各二千户，*金*千斤。封$典	时间
010_孝文本纪	千斤	千斤	2532	词表匹配	千斤	@邑各二千户，*金*千斤。封$典客$@揭@为	时间
010_孝文本纪	千斤	千斤	2554	词表匹配	千斤	$阳信侯$，赐*金*千斤。"↵↵### 废相	时间
010_孝文本纪	废相坐律	废相坐律	2564	词表匹配	废相坐律	千斤。"↵↵### 废相坐律↵↵[11.1] %	event
010_孝文本纪	废相坐律	废相坐律	2596	词表匹配	废相坐律	↵↵> NOTE: 废相坐律诏↵> "^法^者，	event
010_孝文本纪	有司	有司	2669	词表匹配	有司	"↵↵[11.2] 有司皆曰：↵↵> "民不	官职
010_孝文本纪	有司	有司	2822	词表匹配	有司	"↵↵[11.4] 有司皆曰：↵↵> "陛下	官职
010_孝文本纪	诏书	诏书	2851	词表匹配	诏书	，非臣等所及也。请奉诏书，除^收帑诸相坐律令	制度
010_孝文本纪	有司	有司	2891	词表匹配	有司	2.1] %正月%，有司言曰：↵↵> "蚤建	官职
010_孝文本纪	宗庙	宗庙	2911	词表匹配	宗庙	蚤建$太子$，所以尊宗庙。请立$太子$。"↵	制度
010_孝文本纪	上帝	上帝	2959	词表匹配	上帝	诏↵> "朕既不德，上帝神明未歆享，天下人民	神话
010_孝文本纪	神明	神明	2961	词表匹配	神明	> "朕既不德，上帝神明未歆享，天下人民未有	神话
010_孝文本纪	有司	有司	3031	词表匹配	有司	"↵↵[12.3] 有司曰：↵↵> "豫建$	官职
010_孝文本纪	宗庙	宗庙	3050	词表匹配	宗庙	豫建$太子$，所以重宗庙社稷，不忘天下也。"	制度
010_孝文本纪	社稷	社稷	3052	词表匹配	社稷	$太子$，所以重宗庙社稷，不忘天下也。"↵↵	制度
010_孝文本纪	春秋	春秋	3101	词表匹配	春秋	"$楚王$，季父也，春秋高，阅天下之义理多矣	时间
010_孝文本纪	功臣	功臣	3167	词表匹配	功臣	哉！诸侯王宗室昆弟有功臣，多贤及有德义者，若	官职
010_孝文本纪	社稷	社稷	3191	词表匹配	社稷	德以陪朕之不能终，是社稷之灵，天下之福也。今	制度
010_孝文本纪	有司	有司	3252	词表匹配	有司	"↵↵[12.5] 有司皆固请曰：↵↵> N	官职
010_孝文本纪	千馀岁	千馀岁	3294	词表匹配	千馀岁	&&周&有国，治安皆千馀岁，古之有天下者莫长焉	时间
010_孝文本纪	士大夫	士大夫	3330	词表匹配	士大夫	来远矣。$高帝$亲率士大夫，始平天下，建诸侯，	官职
010_孝文本纪	韩列侯	列侯	3355	词表匹配	列侯	者$太祖$。诸侯王及列侯始受国者皆亦为其国祖	人名
010_孝文本纪	免相	免相	3508	词表匹配	免相	$。↵↵## 封赏与免相↵↵### 立皇后与	官职
010_孝文本纪	皇后	皇后	3517	词表匹配	皇后	与免相↵↵### 立皇后与论功↵↵[13.1	官职
010_孝文本纪	有司	有司	3536	词表匹配	有司	3.1] %三月%，有司请立$皇后$。↵↵[	官职
010_孝文本纪	九岁	九岁	3636	词表匹配	九岁	穷困及年八十已上孤兒九岁已下*布帛*米肉各有	时间
010_孝文本纪	四夷	四夷	3680	词表匹配	四夷	施德惠天下，填抚诸侯四夷皆洽驩，乃循从&代&	族群
010_孝文本纪	功臣	功臣	3693	词表匹配	功臣	洽驩，乃循从&代&来功臣。↵↵[14.2] 	官职
010_孝文本纪	封从代功臣	封从代功臣	3718	词表匹配	封从代功臣	↵↵> NOTE: 封从代功臣↵> "方大臣之诛诸	event
010_孝文本纪	宗庙	宗庙	3764	词表匹配	宗庙	昌@劝朕，朕以得保奉宗庙。已尊@昌@为$卫将	制度
010_孝文本纪	功臣	功臣	3832	词表匹配	功臣	NOTE: 益封从汉功臣↵> "列侯从$高帝	官职
010_孝文本纪	韩列侯	列侯	3838	词表匹配	列侯	益封从汉功臣↵> "列侯从$高帝$入=蜀=、	人名
010_孝文本纪	二千石	二千石	3869	词表匹配	二千石	皆益封各三百户，故吏二千石以上从$高帝$=颍川	官职
010_孝文本纪	十人	十人	3890	词表匹配	十人	颍川=$守$@尊@等十人食邑六百户，=淮阳=	时间
010_孝文本纪	十人	十人	3911	词表匹配	十人	=$守$@申徒嘉@等十人五百户，$卫尉$@定	时间
010_孝文本纪	十人	十人	3925	词表匹配	十人	户，$卫尉$@定@等十人四百户。封$淮南王$	时间
010_孝文本纪	四百户	四百户	3927	词表匹配	四百户	$卫尉$@定@等十人四百户。封$淮南王$舅父@	时间
010_孝文本纪	绛侯免相	绛侯免相	4003	词表匹配	绛侯免相	樊侯$。↵↵### 绛侯免相↵↵[15.1] 人	event
010_孝文本纪	二年	二年	4108	词表匹配	二年	$丞相$。↵↵## 二年天变↵↵### 丞相	时间
010_孝文本纪	丞相	丞相	4118	词表匹配	丞相	二年天变↵↵### 丞相更迭↵↵[16.1]	官职
010_孝文本纪	韩列侯	列侯	4185	词表匹配	列侯	↵> NOTE: 遣列侯就国诏↵> "朕闻古	人名
010_孝文本纪	千馀	千馀	4202	词表匹配	千馀	 "朕闻古者诸侯建国千馀，各守其地，以时入贡	时间
010_孝文本纪	韩列侯	列侯	4231	词表匹配	列侯	下驩欣，靡有遗德。今列侯多居=长安=，邑远，	人名
010_孝文本纪	韩列侯	列侯	4251	词表匹配	列侯	远，吏卒给输费苦，而列侯亦无由教驯其民。其令	人名
010_孝文本纪	韩列侯	列侯	4263	词表匹配	列侯	亦无由教驯其民。其令列侯之国，为吏及诏所止者	人名
010_孝文本纪	日食求言	日食求言	4289	词表匹配	日食求言	子$。"↵↵### 日食求言↵↵[17.1] %	event
010_孝文本纪	日食求言	日食求言	4360	词表匹配	日食求言	↵↵> NOTE: 日食求言诏↵> "朕闻之，天	event
010_孝文本纪	宗庙	宗庙	4437	词表匹配	宗庙	天，菑孰大焉！朕获保宗庙，以微眇之身讬于兆民	制度
010_孝文本纪	执政	执政	4467	词表匹配	执政	乱，在朕一人，唯二三执政犹吾股肱也。朕下不能	官职
010_孝文本纪	贤良	贤良	4527	词表匹配	贤良	不及，匄以告朕。及举贤良方正能直言极谏者，以	制度
010_孝文本纪	籍田	籍田	4637	词表匹配	籍田	置。"↵↵### 开籍田↵↵[18] %正月	制度
010_孝文本纪	宗庙	宗庙	4680	词表匹配	宗庙	田^，朕亲率耕，以给宗庙^粢盛^。"↵↵##	制度
010_孝文本纪	有司	有司	4712	词表匹配	有司	9.1] %三月%，有司请立$皇子$为诸侯王	官职
010_孝文本纪	卫长子	长子	4760	词表匹配	长子	死，朕甚怜之，已立其长子@遂@为$赵王$。@	人名
010_孝文本纪	诽谤	诽谤	4916	词表匹配	诽谤	王$。↵↵### 除诽谤法↵↵[20.1] 	制度
010_孝文本纪	除诽谤妖言之罪	除诽谤妖言之罪	4941	词表匹配	除诽谤妖言之罪	↵↵> NOTE: 除诽谤妖言之罪诏↵> "古之治天下	event
010_孝文本纪	贤良	贤良	5024	词表匹配	贤良	失也。将何以来远方之贤良？其除之。民或祝诅上	制度
010_孝文本纪	诽谤	诽谤	5061	词表匹配	诽谤	其有他言，而吏又以为诽谤。此细民之愚无知抵死	制度
010_孝文本纪	无知	无知	5069	词表匹配	无知	以为诽谤。此细民之愚无知抵死，朕甚不取。自今	人名
010_孝文本纪	铜虎符	铜虎符	5099	词表匹配	铜虎符	听治。"↵↵### 铜虎符制↵↵[21] %九	器物
010_孝文本纪	三年	三年	5141	词表匹配	三年	竹使符*。↵↵## 三年北寇↵↵### 绛侯	时间
010_孝文本纪	绛侯就国	绛侯就国	5151	词表匹配	绛侯就国	三年北寇↵↵### 绛侯就国↵↵[22.1] %	event
010_孝文本纪	前日	前日	5204	词表匹配	前日	%，上曰：↵↵> "前日遣列侯之国，或辞未行	时间
010_孝文本纪	韩列侯	列侯	5207	词表匹配	列侯	曰：↵↵> "前日遣列侯之国，或辞未行。$丞	人名
010_孝文本纪	韩列侯	列侯	5230	词表匹配	列侯	$朕之所重，其为朕率列侯之国。"↵↵[22.	人名
010_孝文本纪	匈奴	匈奴	5367	词表匹配	匈奴	食其@。↵↵### 匈奴入寇↵↵[23.1]	朝代
010_孝文本纪	匈奴	匈奴	5448	词表匹配	匈奴	↵> NOTE: 击匈奴诏↵> "&汉&与~	朝代
010_孝文本纪	材官	材官	5607	词表匹配	材官	匈奴~去，发$中尉$材官属$卫将军$军=长安	官职
010_孝文本纪	幸太原	幸太原	5626	词表匹配	幸太原	=长安=。↵↵## 幸太原与济北王反↵↵###	event
010_孝文本纪	济北王反	济北王反	5630	词表匹配	济北王反	。↵↵## 幸太原与济北王反↵↵### 幸太原↵	event
010_孝文本纪	幸太原	幸太原	5640	词表匹配	幸太原	济北王反↵↵### 幸太原↵↵[24.1] %	event
010_孝文本纪	济北王反	济北王反	5759	词表匹配	济北王反	馀日%。↵↵### 济北王反↵↵[25.1] $	event
010_孝文本纪	有司	有司	5915	词表匹配	有司	↵[25.5] 乃诏有司曰：↵↵> NOTE	官职
010_孝文本纪	济北王	济北	5930	词表匹配	济北	↵> NOTE: 赦济北吏民诏↵> "$济北	人名
010_孝文本纪	六年	六年	6053	词表匹配	六年	与王反者。↵↵## 六年废淮南王↵↵[26.	时间
010_孝文本纪	废淮南王	废淮南王	6055	词表匹配	废淮南王	反者。↵↵## 六年废淮南王↵↵[26.1] %	event
010_孝文本纪	有司	有司	6073	词表匹配	有司	6.1] %六年%，有司言$淮南王$@长@废	官职
010_孝文本纪	天子	天子	6093	词表匹配	天子	@废先帝^法^，不听天子诏，居处毋度，出入拟	官职
010_孝文本纪	天子	天子	6106	词表匹配	天子	，居处毋度，出入拟於天子，擅为^法令^，与$	官职
010_孝文本纪	宗庙	宗庙	6152	词表匹配	宗庙	奴~，发其兵，欲以危宗庙社稷。↵↵[26.2	制度
010_孝文本纪	社稷	社稷	6154	词表匹配	社稷	，发其兵，欲以危宗庙社稷。↵↵[26.2] 	制度
010_孝文本纪	三人	三人	6300	词表匹配	三人	谥为$厉王$，立其子三人为$淮南王$、$衡山	时间
010_孝文本纪	十三年	十三年	6326	词表匹配	十三年	庐江王$。↵↵## 十三年缇萦上书↵↵### 	时间
010_孝文本纪	缇萦	缇萦	6329	词表匹配	缇萦	$。↵↵## 十三年缇萦上书↵↵### 除秘	人名
010_孝文本纪	除秘祝	除秘祝	6339	词表匹配	除秘祝	缇萦上书↵↵### 除秘祝↵↵[27] %十三	event
010_孝文本纪	除秘祝	除秘祝	6369	词表匹配	除秘祝	↵↵> NOTE: 除秘祝诏↵> "盖闻天道祸	event
010_孝文本纪	缇萦救父	缇萦救父	6436	词表匹配	缇萦救父	除之。"↵↵### 缇萦救父↵↵[28.1] %	event
010_孝文本纪	将行	将行	6520	词表匹配	将行	8.3] $太仓公$将行会逮，骂其女曰：↵↵	官职
010_孝文本纪	缇萦	缇萦	6594	词表匹配	缇萦	↵↵> NOTE: 缇萦上书↵> "妾父为吏	人名
010_孝文本纪	天子	天子	6686	词表匹配	天子	↵[28.5] 书奏天子，天子怜悲其意，乃下	官职
010_孝文本纪	天子	天子	6689	词表匹配	天子	8.5] 书奏天子，天子怜悲其意，乃下诏曰：	官职
010_孝文本纪	除肉刑	除肉刑	6711	词表匹配	除肉刑	↵↵> NOTE: 除肉刑诏↵> "盖闻〚有虞	event
010_孝文本纪	有过	有过	6820	词表匹配	有过	子，民之父母'。今人有过，教未施而刑加焉？或	朝代
010_孝文本纪	除田租	除田租	6897	词表匹配	除田租	刑^。"↵↵### 除田租↵↵[29] 上曰：	event
010_孝文本纪	除田租	除田租	6920	词表匹配	除田租	↵↵> NOTE: 除田租诏↵> "农，天下之	event
010_孝文本纪	十四年	十四年	6987	词表匹配	十四年	租税^。"↵↵## 十四年匈奴入寇↵↵### 	时间
010_孝文本纪	匈奴	匈奴	6990	词表匹配	匈奴	。"↵↵## 十四年匈奴入寇↵↵### 边境	朝代
010_孝文本纪	千乘	千乘	7123	词表匹配	千乘	，军=渭北=，*车*千乘，骑卒十万。↵↵[3	地名
010_孝文本纪	军吏	军吏	7153	词表匹配	军吏	劳军，勒兵申教令，赐军吏卒。↵↵[30.4]	官职
010_孝文本纪	上帝	上帝	7334	词表匹配	上帝	获执^牺牲珪币^以事上帝宗庙，%十四年%于今	神话
010_孝文本纪	宗庙	宗庙	7336	词表匹配	宗庙	^牺牲珪币^以事上帝宗庙，%十四年%于今，历	制度
010_孝文本纪	先王	先王	7381	词表匹配	先王	诸^祀墠场珪币^。昔先王远施不求其报，^望祀	官职
010_孝文本纪	右贤王	右贤	7399	词表匹配	右贤	，^望祀^不祈其福，右贤左戚，先民後己，至明	人名
010_孝文本纪	土德	土德	7488	词表匹配	土德	所祈。"↵↵### 土德之议↵↵[32.1]	制度
010_孝文本纪	土德	土德	7560	词表匹配	土德	始传五德^事，言方今土德时，土德应!黄龙!见	制度
010_孝文本纪	土德	土德	7564	词表匹配	土德	^事，言方今土德时，土德应!黄龙!见，当改^	制度
010_孝文本纪	天子	天子	7593	词表匹配	天子	。↵↵[32.3] 天子下其事与$丞相$议。	官职
010_孝文本纪	水德	水德	7622	词表匹配	水德	] $丞相$推以为今水德，始明^正十月^上黑	制度
010_孝文本纪	十五年	十五年	7652	词表匹配	十五年	，请罢之。↵↵## 十五年改正朔↵↵### 黄	时间
010_孝文本纪	正朔	正朔	7656	词表匹配	正朔	。↵↵## 十五年改正朔↵↵### 黄龙见↵	制度
010_孝文本纪	黄龙	黄龙	7664	词表匹配	黄龙	年改正朔↵↵### 黄龙见↵↵[33.1] 	器物
010_孝文本纪	天子	天子	7692	词表匹配	天子	!黄龙!见=成纪=，天子乃复召&鲁&@公孙臣	官职
010_孝文本纪	土德	土德	7715	词表匹配	土德	，以为$博士$，申明土德事。↵↵[33.2]	制度
010_孝文本纪	郊祀	郊祀	7746	词表匹配	郊祀	↵↵> NOTE: 郊祀诏↵> "有异物之神	制度
010_孝文本纪	上帝	上帝	7781	词表匹配	上帝	以有年。朕亲^郊祀^上帝诸神。礼官议，毋讳以	神话
010_孝文本纪	礼官	礼官	7786	词表匹配	礼官	亲^郊祀^上帝诸神。礼官议，毋讳以劳朕。"↵	制度
010_孝文本纪	有司	有司	7806	词表匹配	有司	"↵↵[33.3] 有司礼官皆曰：↵↵> "	官职
010_孝文本纪	礼官	礼官	7808	词表匹配	礼官	↵[33.3] 有司礼官皆曰：↵↵> "古者	制度
010_孝文本纪	卜子夏	子夏	7821	词表匹配	子夏	曰：↵↵> "古者天子夏躬亲礼^祀^上帝於郊	人名
010_孝文本纪	上帝	上帝	7829	词表匹配	上帝	者天子夏躬亲礼^祀^上帝於郊，故曰^郊^。"	神话
010_孝文本纪	天子	天子	7852	词表匹配	天子	↵[33.4] 於是天子始幸=雍=，^郊^见	官职
010_孝文本纪	五帝	五帝	7949	词表匹配	五帝	见。↵↵### 亲郊五帝↵↵[34.1] %	朝代
010_孝文本纪	新垣平伏诛	新垣平伏诛	7997	词表匹配	新垣平伏诛	而尚赤。↵↵### 新垣平伏诛↵↵[35.1] %	event
010_孝文本纪	天子	天子	8043	词表匹配	天子	↵[35.2] 於是天子始更为%元年%，令天	官职
010_孝文本纪	二年	二年	8089	词表匹配	二年	夷三族。↵↵## 后二年和亲匈奴↵↵[36.	时间
010_孝文本纪	和亲匈奴	和亲匈奴	8091	词表匹配	和亲匈奴	族。↵↵## 后二年和亲匈奴↵↵[36.1] %	event
010_孝文本纪	和亲匈奴	和亲匈奴	8123	词表匹配	和亲匈奴	↵↵> NOTE: 和亲匈奴诏↵> "朕既不明，	event
010_孝文本纪	一日	一日	8273	词表匹配	一日	，为之怛惕不安，未尝一日忘於心，故遣使者冠盖	时间
010_孝文本纪	社稷	社稷	8314	词表匹配	社稷	$单于$反古之道，计社稷之安，便万民之利，亲	制度
010_孝文本纪	和亲	和亲	8353	词表匹配	和亲	，以全天下元元之民。和亲已定，始于今年。"↵	制度
010_孝文本纪	六年	六年	8370	词表匹配	六年	今年。"↵↵## 后六年备胡↵↵### 匈奴	时间
010_孝文本纪	匈奴	匈奴	8380	词表匹配	匈奴	六年备胡↵↵### 匈奴入寇↵↵[37.1]	朝代
010_孝文本纪	三万人	三万人	8404	词表匹配	三万人	後六年%冬，~匈奴~三万人入=上郡=，三万人入	时间
010_孝文本纪	三万人	三万人	8413	词表匹配	三万人	~三万人入=上郡=，三万人入=云中=。↵↵[3	时间
010_孝文本纪	数月	数月	8558	词表匹配	数月	。↵↵[37.3] 数月，胡人去，亦罢。↵↵	时间
010_孝文本纪	天下旱蝗	天下旱蝗	8574	词表匹配	天下旱蝗	，亦罢。↵↵### 天下旱蝗↵↵[38.1] 天	event
010_孝文本纪	汉文帝	文帝	8655	词表匹配	文帝	民得卖爵。↵↵## 文帝德政↵↵### 节俭	人名
010_孝文本纪	宫室	宫室	8698	词表匹配	宫室	，即位%二十三年%，宫室苑囿〘狗〙〘马〙服御	制度
010_孝文本纪	苑囿	苑囿	8700	词表匹配	苑囿	位%二十三年%，宫室苑囿〘狗〙〘马〙服御无所	制度
010_孝文本纪	宫室	宫室	8785	词表匹配	宫室	民十家之产，吾奉先帝宫室，常恐羞之，何以台为	制度
010_孝文本纪	文绣	文绣	8837	词表匹配	文绣	得曳地，*帏帐*不得文绣，以示敦朴，为天下先	器物
010_孝文本纪	和亲	和亲	8970	词表匹配	和亲	0.2] 与~匈奴~和亲，~匈奴~背约入盗，	制度
010_孝文本纪	礼义	礼义	9126	词表匹配	礼义	，是以海内殷富，兴於礼义。↵↵## 遗诏与崩	制度
010_孝文本纪	天地	天地	9223	词表匹配	天地	萌生，靡不有死。死者天地之理，物之自然者，奚	天文
010_孝文本纪	鬼神	鬼神	9322	词表匹配	鬼神	幼之志，损其饮食，绝鬼神之祭祀，以重吾不德也	神话
010_孝文本纪	祭祀	祭祀	9325	词表匹配	祭祀	，损其饮食，绝鬼神之祭祀，以重吾不德也，谓天	制度
010_孝文本纪	宗庙	宗庙	9343	词表匹配	宗庙	也，谓天下何！朕获保宗庙，以眇眇之身讬于天下	制度
010_孝文本纪	天地	天地	9370	词表匹配	天地	%二十有馀年%矣。赖天地之灵，社稷之福，方内	天文
010_孝文本纪	社稷	社稷	9375	词表匹配	社稷	年%矣。赖天地之灵，社稷之福，方内安宁，靡有	制度
010_孝文本纪	山川	山川	9629	词表匹配	山川	使明知朕意。=霸陵=山川因其故，毋有所改。归	地名
010_孝文本纪	夫人	夫人	9641	词表匹配	夫人	因其故，毋有所改。归夫人以下至少使。"↵↵[	人名
010_孝文本纪	千人	千人	9714	词表匹配	千人	军$，发近县见卒万六千人，发$内史$卒万五千	时间
010_孝文本纪	万五千人	万五千人	9723	词表匹配	万五千人	六千人，发$内史$卒万五千人，藏郭穿复土属$将军	时间
010_孝文本纪	汉景帝	景帝	9829	词表匹配	景帝	$皇帝$。↵↵## 景帝追颂↵↵### 昭德	人名
010_孝文本纪	昭德之舞	昭德之舞	9839	词表匹配	昭德之舞	景帝追颂↵↵### 昭德之舞↵↵[43.1] $	制度
010_孝文本纪	汉文帝	文帝	9884	词表匹配	文帝	> NOTE: 追颂文帝诏↵> "盖闻古者祖	人名
010_孝文本纪	美人	美人	10057	词表匹配	美人	，不诛无罪。除刑，出美人，重绝人之世。朕既不	官职
010_孝文本纪	天地	天地	10098	词表匹配	天地	皇帝$亲行之。德厚侔天地，利泽施四海，靡不获	天文
010_孝文本纪	万世	万世	10170	词表匹配	万世	德著於*竹帛*，施于万世，永永无穷，朕甚嘉之	时间
010_孝文本纪	无穷	无穷	10175	词表匹配	无穷	帛*，施于万世，永永无穷，朕甚嘉之。其与$丞	地名
010_孝文本纪	韩列侯	列侯	10190	词表匹配	列侯	嘉之。其与$丞相$、列侯、中二千石、礼官具为	人名
010_孝文本纪	中二千石	中二千石	10193	词表匹配	中二千石	其与$丞相$、列侯、中二千石、礼官具为礼仪奏。"	官职
010_孝文本纪	礼官	礼官	10198	词表匹配	礼官	$、列侯、中二千石、礼官具为礼仪奏。"↵↵[	制度
010_孝文本纪	礼仪	礼仪	10202	词表匹配	礼仪	、中二千石、礼官具为礼仪奏。"↵↵[43.2	制度
010_孝文本纪	丞相	丞相	10237	词表匹配	丞相	↵↵> NOTE: 丞相等奏议↵> "陛下永	官职
010_孝文本纪	天子	天子	10343	词表匹配	天子	为帝者^太宗之庙^。天子宜世世献祖宗之庙。郡	官职
010_孝文本纪	韩列侯	列侯	10378	词表匹配	列侯	^太宗之庙^。诸侯王列侯使者侍祠天子，岁献祖	人名
010_孝文本纪	天子	天子	10384	词表匹配	天子	。诸侯王列侯使者侍祠天子，岁献祖宗之庙。请著	官职
010_孝文本纪	司马迁	太史公	10433	词表匹配	太史公	 "可。"↵↵## 太史公曰↵↵> NOTE:	人名
010_孝文本纪	司马迁	太史公	10447	词表匹配	太史公	↵↵> NOTE: 太史公论述↵>↵> [44	人名
010_孝文本纪	百年	百年	10488	词表匹配	百年	世然後仁。善人之治国百年，亦可以胜残去杀"。	时间
