章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
012_孝武本纪	汉武帝	孝武	6	词表匹配	孝武	# [0] 孝武本纪↵↵## 即位与	人名
012_孝武本纪	本纪	本纪	8	词表匹配	本纪	# [0] 孝武本纪↵↵## 即位与早年	制度
012_孝武本纪	鬼神	鬼神	190	词表匹配	鬼神	武皇帝$初即位，尤敬鬼神之祀。↵↵### 元	神话
012_孝武本纪	元年	元年	201	词表匹配	元年	神之祀。↵↵### 元年兴革↵↵[3.1] 	官职
012_孝武本纪	十馀岁	十馀岁	224	词表匹配	十馀岁	元年%，&汉&兴已六十馀岁矣，天下乂安，荐绅之	时间
012_孝武本纪	儒术	儒术	264	词表匹配	儒术	↵[3.2] 而上乡儒术，招贤良，@赵绾@、	制度
012_孝武本纪	贤良	贤良	268	词表匹配	贤良	2] 而上乡儒术，招贤良，@赵绾@、@王臧@	制度
012_孝武本纪	文学	文学	282	词表匹配	文学	赵绾@、@王臧@等以文学为公卿，欲议古立*明	官职
012_孝武本纪	公卿	公卿	285	词表匹配	公卿	、@王臧@等以文学为公卿，欲议古立*明堂*=	官职
012_孝武本纪	服色	服色	325	词表匹配	服色	^巡狩^^封禅^改历服色事未就。↵↵[3.4	制度
012_孝武本纪	黄老言	黄老言	346	词表匹配	黄老言	4] 会@窦太后@治黄老言，不好儒术，使人微得	制度
012_孝武本纪	儒术	儒术	352	词表匹配	儒术	太后@治黄老言，不好儒术，使人微得@赵绾@等	制度
012_孝武本纪	後六年	後六年	404	词表匹配	後六年	废。↵↵[4.1] 後六年，@窦太后@崩。↵↵	时间
012_孝武本纪	明年	明年	424	词表匹配	明年	。↵↵[4.2] 其明年，上徵文学之士@公孙	时间
012_孝武本纪	文学	文学	429	词表匹配	文学	.2] 其明年，上徵文学之士@公孙弘@等。↵	官职
012_孝武本纪	祭祀	祭祀	448	词表匹配	祭祀	等。↵↵## 求仙与祭祀↵↵### 神君与五	制度
012_孝武本纪	五畤	五畤	459	词表匹配	五畤	祀↵↵### 神君与五畤↵↵[5.1] 明年	制度
012_孝武本纪	明年	明年	469	词表匹配	明年	五畤↵↵[5.1] 明年，上初至=雍=，郊见	时间
012_孝武本纪	三岁	三岁	496	词表匹配	三岁	↵↵[5.2] 後常三岁一郊。↵↵[5.3]	时间
012_孝武本纪	李少君	李少君	654	词表匹配	李少君	其人云。↵↵### 李少君↵↵[6.1] 是时	人名
012_孝武本纪	祠灶	祠灶	675	词表匹配	祠灶	是时而@李少君@亦以祠灶、穀道、卻老方见上，	制度
012_孝武本纪	穀道	穀道	678	词表匹配	穀道	@李少君@亦以祠灶、穀道、卻老方见上，上尊之	制度
012_孝武本纪	卻老方	卻老方	681	词表匹配	卻老方	君@亦以祠灶、穀道、卻老方见上，上尊之。↵↵[	制度
012_孝武本纪	金钱	金钱	798	词表匹配	金钱	不死，更馈遗之，常馀金钱帛衣食。↵↵[6.7	器物
012_孝武本纪	九十馀	九十馀	883	词表匹配	九十馀	武安侯$饮，坐中有年九十馀老人，@少君@乃言与	时间
012_孝武本纪	老人	老人	886	词表匹配	老人	$饮，坐中有年九十馀老人，@少君@乃言与其大	天文
012_孝武本纪	老人	老人	903	词表匹配	老人	乃言与其大父游射处，老人为兒时从其大父行，识	天文
012_孝武本纪	百岁	百岁	1044	词表匹配	百岁	，以@少君@为神，数百岁人也。↵↵### 炼	时间
012_孝武本纪	祠灶	祠灶	1081	词表匹配	祠灶	言於上曰：↵↵> "祠灶则致物，致物而丹沙可	制度
012_孝武本纪	丹沙	丹沙	1090	词表匹配	丹沙	"祠灶则致物，致物而丹沙可化为黄金，黄金成以	器物
012_孝武本纪	黄金	黄金	1095	词表匹配	黄金	物，致物而丹沙可化为黄金，黄金成以为饮食器则	器物
012_孝武本纪	黄金	黄金	1098	词表匹配	黄金	物而丹沙可化为黄金，黄金成以为饮食器则益寿，	器物
012_孝武本纪	仙者	仙者	1121	词表匹配	仙者	寿而=海=中〚蓬莱〛仙者可见，见之以^封禅^	神话
012_孝武本纪	仙者	仙者	1172	词表匹配	仙者	，大如瓜。@安期生@仙者，通〚蓬莱〛中，合则	神话
012_孝武本纪	祠灶	祠灶	1209	词表匹配	祠灶	] 於是$天子$始亲祠灶，而遣方士入=海=求	制度
012_孝武本纪	方士	方士	1214	词表匹配	方士	天子$始亲祠灶，而遣方士入=海=求〚蓬莱〛@	制度
012_孝武本纪	丹沙	丹沙	1236	词表匹配	丹沙	安期生@之属，而事化丹沙诸药齐为黄金矣。↵↵	器物
012_孝武本纪	黄金	黄金	1242	词表匹配	黄金	，而事化丹沙诸药齐为黄金矣。↵↵[8.1] 	器物
012_孝武本纪	方士	方士	1338	词表匹配	方士	上=燕==齐=怪迂之方士多相效，更言神事矣。	制度
012_孝武本纪	少翁	少翁	1358	词表匹配	少翁	矣。↵↵## 祥瑞与少翁↵↵### 祠泰一↵	人名
012_孝武本纪	泰一	泰一	1367	词表匹配	泰一	与少翁↵↵### 祠泰一↵↵[9.1] =亳	神话
012_孝武本纪	太牢	太牢	1444	词表匹配	太牢	泰一〛=东南郊=，用太牢具，七日，为坛开八通	官职
012_孝武本纪	七日	七日	1448	词表匹配	七日	东南郊=，用太牢具，七日，为坛开八通之鬼道。	时间
012_孝武本纪	太牢	太牢	1531	词表匹配	太牢	$天子$%三年%一用太牢具祠神三一：〚天一〛	官职
012_孝武本纪	白鹿	白鹿	1728	词表匹配	白鹿	〛坛旁。↵↵### 白鹿与白金↵↵[10] 	动植物
012_孝武本纪	白金	白金	1731	词表匹配	白金	。↵↵### 白鹿与白金↵↵[10] 其後，	器物
012_孝武本纪	白鹿	白鹿	1749	词表匹配	白鹿	 其後，$天子$苑有白鹿，以其皮为币，以发瑞	动植物
012_孝武本纪	白金	白金	1764	词表匹配	白金	皮为币，以发瑞应，造白金焉。↵↵### 获麟	器物
012_孝武本纪	明年	明年	1786	词表匹配	明年	↵↵[11.1] 其明年，郊=雍=，获一角兽	时间
012_孝武本纪	获一角兽	获一角兽	1794	词表匹配	获一角兽	 其明年，郊=雍=，获一角兽，若麃然。↵↵[11	event
012_孝武本纪	有司	有司	1812	词表匹配	有司	。↵↵[11.2] 有司曰：↵↵> "陛下肃	官职
012_孝武本纪	郊祀	郊祀	1825	词表匹配	郊祀	：↵↵> "陛下肃祗郊祀，上帝报享，锡一角兽	制度
