章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
013_三代世表	三代	三代	6	词表匹配	三代	# [0] 三代世表↵↵## 太史公	时间
013_三代世表	司马迁	太史公	15	词表匹配	太史公	 三代世表↵↵## 太史公曰↵↵[1.1] $	人名
013_三代世表	元年	元年	103	词表匹配	元年	因史文次*春秋*，纪元年，正时日月，盖其详哉	官职
013_三代世表	日月	日月	108	词表匹配	日月	春秋*，纪元年，正时日月，盖其详哉。↵↵[1	制度
013_三代世表	周成王	成王	450	词表匹配	成王	|↵|  [r1] 成王诵  |  鲁周公旦	人名
013_三代世表	周公旦	周公旦	459	词表匹配	周公旦	 成王诵  |  鲁周公旦，武王弟。初封。  	人名
013_三代世表	周武王	武王	463	词表匹配	武王	  |  鲁周公旦，武王弟。初封。  |  	人名
013_三代世表	太公	太公	476	词表匹配	太公	。初封。  |  齐太公尚，文王、武王师。初	人名
013_三代世表	周文王	文王	480	词表匹配	文王	  |  齐太公尚，文王、武王师。初封。  	人名
013_三代世表	周武王	武王	483	词表匹配	武王	  齐太公尚，文王、武王师。初封。  |  	人名
013_三代世表	晋唐叔	晋唐叔	495	词表匹配	晋唐叔	师。初封。  |  晋唐叔虞，武王子。初封。 	人名
013_三代世表	周武王	武王	500	词表匹配	武王	  |  晋唐叔虞，武王子。初封。  |  	人名
013_三代世表	恶来革	恶来	513	词表匹配	恶来	。初封。  |  秦恶来，助纣。父飞廉，有力	人名
013_三代世表	熊绎	熊绎	532	词表匹配	熊绎	，有力。  |  楚熊绎。绎父鬻熊，事文王。	人名
013_三代世表	鬻熊	鬻熊	537	词表匹配	鬻熊	 |  楚熊绎。绎父鬻熊，事文王。初封。  	人名
013_三代世表	周文王	文王	541	词表匹配	文王	楚熊绎。绎父鬻熊，事文王。初封。  |  宋	人名
013_三代世表	微子启	微子启	553	词表匹配	微子启	。初封。  |  宋微子启，纣庶兄。初封。  	人名
013_三代世表	卫康叔	卫康叔	569	词表匹配	卫康叔	兄。初封。  |  卫康叔，武王弟。初封。  	人名
013_三代世表	周武王	武王	573	词表匹配	武王	。  |  卫康叔，武王弟。初封。  |  	人名
013_三代世表	陈胡公满	陈胡公满	585	词表匹配	陈胡公满	弟。初封。  |  陈胡公满，舜之后。初封。  	人名
013_三代世表	蔡叔度	蔡叔度	602	词表匹配	蔡叔度	后。初封。  |  蔡叔度，武王弟。初封。  	人名
013_三代世表	周武王	武王	606	词表匹配	武王	。  |  蔡叔度，武王弟。初封。  |  	人名
