章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
013_三代世表	天命	天命	1687	词表匹配	天命	稷〛人迹者，欲见其有天命精诚之意耳。"↵↵[	思想
013_三代世表	天下	天下	1804	词表匹配	天下	十馀世%至@汤@，王天下。"↵↵[4.4] 	思想
013_三代世表	天下	天下	1857	词表匹配	天下	岁%，至@文王@而有天下。"↵↵[5.1] 	思想
013_三代世表	天命	天命	2008	词表匹配	天命	之曰'&殷&社芒芒，天命〚玄鸟〛，降而生&商	思想
013_三代世表	大人	大人	2090	词表匹配	大人	〛母为@姜嫄@，出见大人迹而履践之，知於身，	典籍
013_三代世表	天命	天命	2388	词表匹配	天命	"↵↵[7.2] "天命难言，非圣人莫能见。	思想
013_三代世表	圣人	圣人	2394	词表匹配	圣人	2] "天命难言，非圣人莫能见。"↵↵[7.	思想
013_三代世表	天命	天命	2450	词表匹配	天命	.4] "〚黄帝〛策天命而治天下，德泽深後世	思想
013_三代世表	天下	天下	2454	词表匹配	天下	"〚黄帝〛策天命而治天下，德泽深後世，故其子	思想
013_三代世表	天下	天下	2519	词表匹配	天下	衣匹夫安能无故而起王天下乎？其有天命然。"↵	思想
013_三代世表	天命	天命	2525	词表匹配	天命	故而起王天下乎？其有天命然。"↵↵## 黄帝	思想
013_三代世表	天命	天命	2540	词表匹配	天命	↵↵## 黄帝后世与天命↵↵### 〚黄帝〛	思想
013_三代世表	天下	天下	2571	词表匹配	天下	 "〚黄帝〛後世何王天下之久远邪？"↵↵[8	思想
013_三代世表	天下	天下	2592	词表匹配	天下	8.2] 曰："传云天下之君王为万夫之黔首请	思想
013_三代世表	道德	道德	2734	词表匹配	道德	↵↵[8.5] "行道德岂可以忽乎哉！人君王	思想
013_三代世表	天下	天下	3082	词表匹配	天下	长，出&燕&之乡，持天下之政，时有婴兒主，欲	思想
013_三代世表	天命	天命	3195	词表匹配	天命	薏，=石纽=兴王。↵天命〚玄鸟〛，简狄生&商	思想
