章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
015_六国年表	六国	六国	6	词表匹配	六国	# [0] 六国年表↵↵## 太史公	制度
015_六国年表	司马迁	太史公	15	词表匹配	太史公	 六国年表↵↵## 太史公读秦记↵↵[1.1]	人名
015_六国年表	秦记	秦记	19	词表匹配	秦记	表↵↵## 太史公读秦记↵↵[1.1] $太	器物
015_六国年表	上帝	上帝	81	词表匹配	上帝	诸侯，作*西畤*用事上帝，僭端见矣。↵↵[1	神话
015_六国年表	天子	天子	103	词表匹配	天子	.2] ^礼^曰："天子祭天地，诸侯祭其域内	官职
015_六国年表	天地	天地	106	词表匹配	天地	 ^礼^曰："天子祭天地，诸侯祭其域内名山大	天文
015_六国年表	仁义	仁义	146	词表匹配	仁义	翟~之俗，先暴戾，後仁义，位在籓臣而胪於^郊	制度
015_六国年表	中国	中国	234	词表匹配	中国	@桓@、&晋&@文@中国侯伯侔矣。↵↵[2.	地名
015_六国年表	侯伯	侯伯	236	词表匹配	侯伯	@、&晋&@文@中国侯伯侔矣。↵↵[2.2]	官职
015_六国年表	陪臣	陪臣	251	词表匹配	陪臣	↵↵[2.2] 是後陪臣执政，$大夫$世禄，	官职
015_六国年表	执政	执政	253	词表匹配	执政	[2.2] 是後陪臣执政，$大夫$世禄，^六	官职
015_六国年表	六国	六国	355	词表匹配	六国	@亦灭&齐&而有之，六国之盛自此始。↵↵[3	制度
015_六国年表	剖符	剖符	412	词表匹配	剖符	出，誓盟不信，虽置质剖符犹不能约束也。↵↵[	制度
015_六国年表	诸夏	诸夏	438	词表匹配	诸夏	 &秦&始小国僻远，诸夏宾之，比於~戎翟~，	族群
015_六国年表	秦并天下	秦并天下	535	词表匹配	秦并天下	所助焉。↵↵↵## 秦并天下之论↵↵[5.1] 	event
015_六国年表	东方	东方	552	词表匹配	东方	↵[5.1] 或曰"东方物所始生，西方物之成	地名
015_六国年表	西方	西方	559	词表匹配	西方	或曰"东方物所始生，西方物之成孰"。↵↵[5	地名
015_六国年表	东南	东南	581	词表匹配	东南	.2] 夫作事者必於东南，收功实者常於西北。	地名
015_六国年表	西北	西北	590	词表匹配	西北	於东南，收功实者常於西北。↵↵[5.3] 故	地名
015_六国年表	杨得意	得意	672	词表匹配	得意	[6.1] &秦&既得意，烧天下*诗**书*	人名
015_六国年表	史记	史记	687	词表匹配	史记	下*诗**书*，诸侯史记尤甚，为其有所刺讥也	制度
015_六国年表	史记	史记	726	词表匹配	史记	复见者，多藏人家，而史记独藏&周&室，以故灭	制度
015_六国年表	日月	日月	763	词表匹配	日月	独有*秦记*，又不载日月，其文略不具。↵↵[	制度
015_六国年表	战国	战国	781	词表匹配	战国	。↵↵[6.4] 然战国之权变亦有可颇采者，	朝代
015_六国年表	司马迁	太史公	917	词表匹配	太史公	异。悲夫！↵↵## 太史公曰↵↵[8.1] 余	人名
015_六国年表	六国	六国	956	词表匹配	六国	起&周&$元王$，表六国时事，讫$二世$，凡	制度
015_六国年表	周元王	周元王	1142	词表匹配	周元王	元前476  |  周元王元年。  |  秦厉	人名
015_六国年表	元年	元年	1145	词表匹配	元年	76  |  周元王元年。  |  秦厉共公	官职
015_六国年表	厉共公	厉共公	1154	词表匹配	厉共公	王元年。  |  秦厉共公元年。  |  魏献	人名
015_六国年表	元年	元年	1157	词表匹配	元年	。  |  秦厉共公元年。  |  魏献子。	官职
015_六国年表	魏献子	魏献子	1165	词表匹配	魏献子	共公元年。  |  魏献子。卫出公辄后元年。 	人名
015_六国年表	卫出公	卫出公	1169	词表匹配	卫出公	。  |  魏献子。卫出公辄后元年。  |  	人名
015_六国年表	元年	元年	1174	词表匹配	元年	 魏献子。卫出公辄后元年。  |  韩宣子 	官职
015_六国年表	韩宣子	韩宣子	1182	词表匹配	韩宣子	辄后元年。  |  韩宣子  |  赵简子。四	人名
015_六国年表	赵简子	赵简子	1190	词表匹配	赵简子	  韩宣子  |  赵简子。四十二。  |  	人名
015_六国年表	楚惠王	楚惠王	1203	词表匹配	楚惠王	。四十二。  |  楚惠王章十三年。吴伐我。 	人名
015_六国年表	十三年	十三年	1207	词表匹配	十三年	。  |  楚惠王章十三年。吴伐我。  |  	时间
015_六国年表	秦献公	献公	1221	词表匹配	献公	吴伐我。  |  燕献公十七年。  |  齐	人名
015_六国年表	十七年	十七年	1223	词表匹配	十七年	我。  |  燕献公十七年。  |  齐平公骜	时间
015_六国年表	齐平公	齐平公	1232	词表匹配	齐平公	公十七年。  |  齐平公骜五年。  |↵| 	人名
015_六国年表	五年	五年	1236	词表匹配	五年	。  |  齐平公骜五年。  |↵|  [r	时间
015_六国年表	晋定公	晋定公	1277	词表匹配	晋定公	蜀人来赂。  |  晋定公卒。  |    |	人名
015_六国年表	晋出公	晋出公	1355	词表匹配	晋出公	 |  三  |  晋出公错元年。  |   	人名
