章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
016_秦楚之际月表	司马迁	太史公	17	词表匹配	太史公	楚之际月表↵↵## 太史公读秦楚之际↵↵[1.	人名
016_秦楚之际月表	六国	六国	292	词表匹配	六国	@孝@之後，稍以蚕食六国，%百有馀载%，至$	制度
016_秦楚之际月表	冠带	冠带	310	词表匹配	冠带	%，至$始皇$乃能并冠带之伦。↵↵[2.4]	器物
016_秦楚之际月表	万世	万世	391	词表匹配	万世	，销锋镝，鉏豪桀，维万世之安。↵↵[3.2]	时间
016_秦楚之际月表	合从	合从	415	词表匹配	合从	王迹之兴，起於闾巷，合从讨伐，轶於〚三代〛，	制度
016_秦楚之际月表	胡亥	二世	667	词表匹配	二世	] 209  |  二世元年  |    |	人名
016_秦楚之际月表	元年	元年	669	词表匹配	元年	209  |  二世元年  |    |  	官职
016_秦楚之际月表	七月	七月	728	词表匹配	七月	 [r2]  |  七月  |  楚隐王@陈	时间
016_秦楚之际月表	隐王	隐王	736	词表匹配	隐王	  七月  |  楚隐王@陈涉@起兵入秦。 	人名
016_秦楚之际月表	八月	八月	799	词表匹配	八月	 [r3]  |  八月  |  二。葛婴为	时间
016_秦楚之际月表	葛婴	葛婴	808	词表匹配	葛婴	 八月  |  二。葛婴为涉徇&九江&，立襄	人名
016_秦楚之际月表	襄彊	襄彊	819	词表匹配	襄彊	婴为涉徇&九江&，立襄彊为楚王。  |   	人名
016_秦楚之际月表	楚王	楚王	822	词表匹配	楚王	徇&九江&，立襄彊为楚王。  |    | 	人名
016_秦楚之际月表	武臣	武臣	835	词表匹配	武臣	  |    |  武臣始至=邯郸=，自立为	人名
016_秦楚之际月表	赵王	赵王	847	词表匹配	赵王	始至=邯郸=，自立为赵王，始。  |    	人名
016_秦楚之际月表	九月	九月	894	词表匹配	九月	 [r4]  |  九月。楚兵至戏。  | 	时间
016_秦楚之际月表	周文	周文	909	词表匹配	周文	至戏。  |  三。周文兵至戏，败。而葛婴闻	人名
016_秦楚之际月表	葛婴	葛婴	918	词表匹配	葛婴	。周文兵至戏，败。而葛婴闻涉王，即杀彊。  	人名
016_秦楚之际月表	武信君	武信君	938	词表匹配	武信君	  |  @项梁@号武信君。  |  二  |	官职
016_秦楚之际月表	齐王	齐王	953	词表匹配	齐王	 |  二  |  齐王田儋始。儋，狄人。诸	人名
016_秦楚之际月表	田儋	田儋	955	词表匹配	田儋	  二  |  齐王田儋始。儋，狄人。诸田宗	人名
016_秦楚之际月表	沛公初起	沛公初起	982	词表匹配	沛公初起	，荣弟横。  |  沛公初起。  |  韩广为赵	event
016_秦楚之际月表	韩广	韩广	992	词表匹配	韩广	沛公初起。  |  韩广为赵略地至蓟，自立为	人名
016_秦楚之际月表	燕王	燕王	1004	词表匹配	燕王	为赵略地至蓟，自立为燕王始。  |  魏王咎	人名
