章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
018_高祖功臣侯者年表	汉高祖	高祖	6	词表匹配	高祖	# [0] 高祖功臣侯者年表↵↵##	人名
018_高祖功臣侯者年表	功臣	功臣	8	词表匹配	功臣	# [0] 高祖功臣侯者年表↵↵## 太	官职
018_高祖功臣侯者年表	司马迁	太史公	19	词表匹配	太史公	臣侯者年表↵↵## 太史公曰↵↵### 功臣五	人名
018_高祖功臣侯者年表	功臣	功臣	29	词表匹配	功臣	太史公曰↵↵### 功臣五品↵↵[1.1] 	官职
018_高祖功臣侯者年表	五品	五品	31	词表匹配	五品	公曰↵↵### 功臣五品↵↵[1.1] $太	制度
018_高祖功臣侯者年表	人臣	人臣	50	词表匹配	人臣	 $太史公$曰：古者人臣功有^五品^，以德立	官职
018_高祖功臣侯者年表	宗庙	宗庙	62	词表匹配	宗庙	功有^五品^，以德立宗庙定社稷曰勋，以言曰劳	制度
018_高祖功臣侯者年表	社稷	社稷	65	词表匹配	社稷	五品^，以德立宗庙定社稷曰勋，以言曰劳，用力	制度
018_高祖功臣侯者年表	功臣	功臣	184	词表匹配	功臣	1] 余读$高祖$侯功臣，察其首封，所以失之	官职
018_高祖功臣侯者年表	侯伯	侯伯	294	词表匹配	侯伯	书*有〚唐〛〚虞〛之侯伯，历〚三代〛%千有馀	官职
018_高祖功臣侯者年表	天子	天子	314	词表匹配	天子	有馀载%，自全以蕃卫天子，岂非笃於仁义，奉上	官职
018_高祖功臣侯者年表	仁义	仁义	321	词表匹配	仁义	以蕃卫天子，岂非笃於仁义，奉上法哉？↵↵##	制度
018_高祖功臣侯者年表	功臣	功臣	337	词表匹配	功臣	哉？↵↵### 汉初功臣↵↵[3.1] &汉	官职
018_高祖功臣侯者年表	功臣	功臣	352	词表匹配	功臣	3.1] &汉&兴，功臣受封者%百有馀人%。	官职
018_高祖功臣侯者年表	帝王	帝王	606	词表匹配	帝王	同。↵↵[4.2] 帝王者各殊^礼^而异务，	官职
018_高祖功臣侯者年表	汉高祖	高祖	745	词表匹配	高祖	国名 | 侯功 | 高祖十二 | 孝惠七 |	人名
018_高祖功臣侯者年表	孝惠帝	孝惠	752	词表匹配	孝惠	 | 高祖十二 | 孝惠七 | 高后八 | 	人名
