章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
022_汉兴以来将相名臣年表	将相	将相	10	词表匹配	将相	# [0] 汉兴以来将相名臣年表↵↵## 太	官职
022_汉兴以来将相名臣年表	司马迁	太史公	21	词表匹配	太史公	相名臣年表↵↵## 太史公曰↵↵[1] $太史	人名
022_汉兴以来将相名臣年表	功臣	功臣	52	词表匹配	功臣	以来，$将相$名臣，功臣侯表载之矣。↵↵##	官职
022_汉兴以来将相名臣年表	高皇帝	高皇帝	161	词表匹配	高皇帝	] 206  |  高皇帝元年  |  春，沛	人名
022_汉兴以来将相名臣年表	元年	元年	164	词表匹配	元年	06  |  高皇帝元年  |  春，沛公为	官职
022_汉兴以来将相名臣年表	汉高祖	沛公	173	词表匹配	沛公	帝元年  |  春，沛公为汉王，之=南郑=。	人名
022_汉兴以来将相名臣年表	汉高祖	汉王	176	词表匹配	汉王	  |  春，沛公为汉王，之=南郑=。秋，还	人名
022_汉兴以来将相名臣年表	汉中	汉中	207	词表匹配	汉中	。$丞相$@萧何@守汉中。  |    | 	地名
022_汉兴以来将相名臣年表	周苛	周苛	226	词表匹配	周苛	 |  $御史大夫$周苛守=荥阳=。  |↵	人名
022_汉兴以来将相名臣年表	项羽	项籍	282	词表匹配	项籍	=、韩、殷国。夏，伐项籍，至=彭城=。立太子	人名
022_汉兴以来将相名臣年表	魏豹	魏豹	367	词表匹配	魏豹	 |  三  |  魏豹反。使@韩信@别定魏	人名
022_汉兴以来将相名臣年表	太公	太公	445	词表匹配	太公	@韩信@别定齐及燕，太公自楚归，与楚界洪渠。	人名
022_汉兴以来将相名臣年表	周苛	周苛	470	词表匹配	周苛	  四  |  三。周苛守=荥阳=，死。  	人名
022_汉兴以来将相名臣年表	汾阴侯	汾阴侯	491	词表匹配	汾阴侯	 |  $御史大夫$汾阴侯@周昌@。  |↵|	人名
022_汉兴以来将相名臣年表	项羽	项籍	535	词表匹配	项籍	冬，破楚=垓下=，杀项籍。春，王践皇帝位定陶	人名
022_汉兴以来将相名臣年表	皇帝	皇帝	542	词表匹配	皇帝	=，杀项籍。春，王践皇帝位定陶。入都=关中=	官职
022_汉兴以来将相名臣年表	定陶	定陶	545	词表匹配	定陶	项籍。春，王践皇帝位定陶。入都=关中=。  	地名
022_汉兴以来将相名臣年表	九月	九月	577	词表匹配	九月	官。  |  四。后九月，绾为燕王。  | 	时间
022_汉兴以来将相名臣年表	燕王	燕王	582	词表匹配	燕王	  四。后九月，绾为燕王。  |    |↵	人名
022_汉兴以来将相名臣年表	尊太公为太上皇	尊太公为太上皇	616	词表匹配	尊太公为太上皇	 |  六  |  尊太公为太上皇。刘仲为代王。立大市	event
022_汉兴以来将相名臣年表	刘仲	刘仲	624	词表匹配	刘仲	  尊太公为太上皇。刘仲为代王。立大市。更命	人名
022_汉兴以来将相名臣年表	代王	代王	627	词表匹配	代王	太公为太上皇。刘仲为代王。立大市。更命=咸阳	人名
022_汉兴以来将相名臣年表	长乐宫成	长乐宫成	704	词表匹配	长乐宫成	 |  七  |  长乐宫成，自=栎阳=徙=长安	event
022_汉兴以来将相名臣年表	匈奴	匈奴	721	词表匹配	匈奴	栎阳=徙=长安=。伐匈奴，匈奴围我=平城=。	朝代
022_汉兴以来将相名臣年表	匈奴	匈奴	724	词表匹配	匈奴	徙=长安=。伐匈奴，匈奴围我=平城=。  |	朝代
022_汉兴以来将相名臣年表	赵城	赵城	783	词表匹配	赵城	  击@韩信@反虏于赵城。贯高作乱，明年觉，	地名
022_汉兴以来将相名臣年表	贯高	贯高	786	词表匹配	贯高	@韩信@反虏于赵城。贯高作乱，明年觉，诛之。	人名
022_汉兴以来将相名臣年表	明年	明年	791	词表匹配	明年	虏于赵城。贯高作乱，明年觉，诛之。&匈奴&攻	时间
022_汉兴以来将相名臣年表	代王	代王	803	词表匹配	代王	觉，诛之。&匈奴&攻代王，代王弃国亡，废为郃	人名
022_汉兴以来将相名臣年表	代王	代王	806	词表匹配	代王	之。&匈奴&攻代王，代王弃国亡，废为郃阳侯。	人名
022_汉兴以来将相名臣年表	郃阳侯	郃阳侯	814	词表匹配	郃阳侯	王，代王弃国亡，废为郃阳侯。  |  八  |	官职
022_汉兴以来将相名臣年表	未央宫	未央宫	860	词表匹配	未央宫	 |  九  |  未央宫成，置酒前殿，太上皇	地名
022_汉兴以来将相名臣年表	前殿	前殿	867	词表匹配	前殿	|  未央宫成，置酒前殿，太上皇辇上坐，帝奉	器物
022_汉兴以来将相名臣年表	太上皇	太上皇	870	词表匹配	太上皇	未央宫成，置酒前殿，太上皇辇上坐，帝奉玉卮上寿	人名
022_汉兴以来将相名臣年表	玉卮	玉卮	879	词表匹配	玉卮	，太上皇辇上坐，帝奉玉卮上寿，曰：「始常以臣	器物
022_汉兴以来将相名臣年表	太上皇	太上皇	905	词表匹配	太上皇	，今臣功孰与仲多？」太上皇笑，殿上称万岁。徙齐	人名
022_汉兴以来将相名臣年表	万岁	万岁	913	词表匹配	万岁	？」太上皇笑，殿上称万岁。徙齐田，楚昭、屈、	时间
022_汉兴以来将相名臣年表	太上皇崩	太上皇崩	997	词表匹配	太上皇崩	 |  十  |  太上皇崩。陈豨反代地。  |	event
022_汉兴以来将相名臣年表	陈豨反代地	陈豨反代地	1002	词表匹配	陈豨反代地	  |  太上皇崩。陈豨反代地。  |  十  |	event
022_汉兴以来将相名臣年表	江邑侯赵尧	江邑侯赵尧	1030	词表匹配	江邑侯赵尧	 |  $御史大夫$江邑侯赵尧。  |↵|  [r	人名
022_汉兴以来将相名臣年表	韩信	淮阴	1065	词表匹配	淮阴	  十一  |  诛淮阴、@彭越@。黥布反。	人名
022_汉兴以来将相名臣年表	黥布	黥布	1073	词表匹配	黥布	 诛淮阴、@彭越@。黥布反。  |  十一 	人名
022_汉兴以来将相名臣年表	长陵	长陵	1154	词表匹配	长陵	还过沛。夏，上崩，葬长陵。  |  十二  	地名
022_汉兴以来将相名臣年表	孝惠帝	孝惠	1195	词表匹配	孝惠	] 194  |  孝惠元年  |  赵隐王	人名
022_汉兴以来将相名臣年表	元年	元年	1197	词表匹配	元年	194  |  孝惠元年  |  赵隐王如意	官职
022_汉兴以来将相名臣年表	赵隐王	赵隐王	1204	词表匹配	赵隐王	 孝惠元年  |  赵隐王如意死。始作=长安=	官职
022_汉兴以来将相名臣年表	刘如意	如意	1207	词表匹配	如意	元年  |  赵隐王如意死。始作=长安=城西	人名
022_汉兴以来将相名臣年表	北方	北方	1219	词表匹配	北方	死。始作=长安=城西北方。除诸侯$丞相$为相	地名
022_汉兴以来将相名臣年表	楚元王	楚元王	1276	词表匹配	楚元王	 |  二  |  楚元王、齐悼惠王来朝。七月	人名
022_汉兴以来将相名臣年表	齐悼惠王	齐悼惠王	1280	词表匹配	齐悼惠王	二  |  楚元王、齐悼惠王来朝。七月辛未，何薨	官职
022_汉兴以来将相名臣年表	七月	七月	1287	词表匹配	七月	元王、齐悼惠王来朝。七月辛未，何薨。  | 	时间
022_汉兴以来将相名臣年表	七月	七月	1303	词表匹配	七月	薨。  |  十四。七月癸巳，齐相平阳侯@曹	时间
022_汉兴以来将相名臣年表	癸巳	癸巳	1305	词表匹配	癸巳	  |  十四。七月癸巳，齐相平阳侯@曹参@	时间
022_汉兴以来将相名臣年表	齐相	齐相	1308	词表匹配	齐相	  十四。七月癸巳，齐相平阳侯@曹参@为$相	官职
022_汉兴以来将相名臣年表	平阳侯	平阳侯	1310	词表匹配	平阳侯	十四。七月癸巳，齐相平阳侯@曹参@为$相国$。	人名
022_汉兴以来将相名臣年表	三月	三月	1419	词表匹配	三月	 |  四  |  三月甲子，赦，无所复作。	时间
022_汉兴以来将相名臣年表	甲子	甲子	1421	词表匹配	甲子	  四  |  三月甲子，赦，无所复作。  	时间
022_汉兴以来将相名臣年表	汉高祖	高祖	1475	词表匹配	高祖	|  五  |  为高祖立庙于沛城成，置歌儿	人名
022_汉兴以来将相名臣年表	十人	十人	1490	词表匹配	十人	沛城成，置歌儿一百二十人。八月乙丑，参卒。 	时间
022_汉兴以来将相名臣年表	八月	八月	1493	词表匹配	八月	，置歌儿一百二十人。八月乙丑，参卒。  | 	时间
022_汉兴以来将相名臣年表	乙丑	乙丑	1495	词表匹配	乙丑	歌儿一百二十人。八月乙丑，参卒。  |  四	时间
022_汉兴以来将相名臣年表	七月	七月	1544	词表匹配	七月	 |  六  |  七月，齐悼惠王薨。立太仓	时间
022_汉兴以来将相名臣年表	齐悼惠王	齐悼惠王	1547	词表匹配	齐悼惠王	 六  |  七月，齐悼惠王薨。立太仓、西市。 	官职
022_汉兴以来将相名臣年表	太仓	太仓	1554	词表匹配	太仓	七月，齐悼惠王薨。立太仓、西市。  |  一	地名
022_汉兴以来将相名臣年表	十月	十月	1567	词表匹配	十月	西市。  |  一。十月己巳，安国侯王陵为$	时间
022_汉兴以来将相名臣年表	己巳	己巳	1569	词表匹配	己巳	。  |  一。十月己巳，安国侯王陵为$右丞	时间
