章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
023_礼书	司马迁	太史公	13	词表匹配	太史公	0] 礼书↵↵## 太史公序论↵↵### 礼仪	人名
023_礼书	礼仪	礼仪	24	词表匹配	礼仪	史公序论↵↵### 礼仪之本↵↵[1.1] 	制度
023_礼书	规矩	规矩	142	词表匹配	规矩	1] 人道经纬万端，规矩无所不贯，诱进以^仁	器物
023_礼书	钟磬	钟磬	238	词表匹配	钟磬	文章*以表其能；耳乐钟磬，为之调谐*八音*以	器物
023_礼书	宫室	宫室	366	词表匹配	宫室	序，下及黎庶车舆衣服宫室饮食嫁娶丧祭之分，事	制度
023_礼书	中庸	中庸	580	词表匹配	中庸	↵↵[3.4] 而况中庸以下，渐渍於失教，被	制度
023_礼书	正名	正名	614	词表匹配	正名	] @孔子@曰"必也正名"，於&卫&所居不合	制度
023_礼书	礼仪	礼仪	691	词表匹配	礼仪	礼制↵↵### 秦制礼仪↵↵[4.1] 至&	制度
023_礼书	六国	六国	711	词表匹配	六国	至&秦&有天下，悉内六国^礼仪^，采择其善，	制度
023_礼书	天子	天子	806	词表匹配	天子	。↵↵[5.2] 自天子称号下至$佐僚$及宫	官职
023_礼书	宫室	宫室	817	词表匹配	宫室	子称号下至$佐僚$及宫室官名，少所变改。↵↵	制度
023_礼书	汉文帝	孝文	833	词表匹配	孝文	所变改。↵↵### 孝文罢礼↵↵[6.1] 	人名
023_礼书	孝景	孝景	907	词表匹配	孝景	罢去之。↵↵### 孝景削藩↵↵[7.1] 	人名
023_礼书	刑名	刑名	939	词表匹配	刑名	夫$@晁错@明於世务刑名，数干谏$孝景$曰：	制度
023_礼书	六国	六国	1011	词表匹配	六国	 $孝景$用其计，而六国畔逆，以@错@首名，	制度
023_礼书	天子	天子	1023	词表匹配	天子	畔逆，以@错@首名，天子诛@错@以解难。↵↵	官职
023_礼书	汉武帝	今上	1082	词表匹配	今上	敢复议。↵↵### 今上定礼↵↵[8.1] 	人名
023_礼书	儒术	儒术	1103	词表匹配	儒术	 $今上$即位，招致儒术之士，令共定^仪^，	制度
023_礼书	先王	先王	1399	词表匹配	先王	乱。↵↵[9.3] 先王恶其乱，故制^礼义^	官职
023_礼书	天子	天子	1644	词表匹配	天子	↵↵[11.3] 故天子*大路*越席，所以养	官职
023_礼书	和鸾	和鸾	1681	词表匹配	和鸾	有错衡，所以养目也；和鸾之声，步中^武象^，	器物
023_礼书	礼义	礼义	1824	词表匹配	礼义	之所以养安也，孰知夫礼义文理之所以养情也。↵	制度
023_礼书	儒墨	儒墨	1841	词表匹配	儒墨	养情也。↵↵### 儒墨之分↵↵[12.1]	制度
023_礼书	儒者	儒者	1947	词表匹配	儒者	↵↵[12.3] 故儒者将使人两得之者也，墨	制度
023_礼书	墨者	墨者	1958	词表匹配	墨者	者将使人两得之者也，墨者将使人两失之者也。是	制度
023_礼书	儒墨	儒墨	1970	词表匹配	儒墨	将使人两失之者也。是儒墨之分。↵↵## 礼之	制度
023_礼书	王公	王公	2036	词表匹配	王公	。↵↵[13.2] 王公由之，所以一天下，臣	人名
023_礼书	社稷	社稷	2059	词表匹配	社稷	侯也；弗由之，所以捐社稷也。↵↵### 楚国	制度
023_礼书	楚国	楚国	2069	词表匹配	楚国	社稷也。↵↵### 楚国之鉴↵↵[14.1]	地名
023_礼书	二人	二人	2727	词表匹配	二人	治天下也，盖杀一人刑二人而天下治。↵↵[17	时间
023_礼书	天地	天地	2781	词表匹配	天地	礼之三本↵↵### 天地祖宗君师↵↵[18.	天文
023_礼书	天地	天地	2796	词表匹配	天地	师↵↵[18.1] 天地者，生之本也；先祖者	天文
023_礼书	天地	天地	2833	词表匹配	天地	↵↵[18.2] 无天地恶生？无先祖恶出？无	天文
023_礼书	祭祀	祭祀	2905	词表匹配	祭祀	三本也。↵↵### 祭祀之分↵↵[19.1]	制度
023_礼书	天子	天子	2973	词表匹配	天子	9.2] ^郊^畴乎天子，^社^至乎诸侯，函	官职
023_礼书	七世	七世	3030	词表匹配	七世	.3] 故有天下者事七世，有一国者事五世，有	时间
023_礼书	五世	五世	3038	词表匹配	五世	者事七世，有一国者事五世，有五乘之地者事三世	时间
023_礼书	五乘	五乘	3042	词表匹配	五乘	，有一国者事五世，有五乘之地者事三世，有三乘	器物
023_礼书	三世	三世	3048	词表匹配	三世	五世，有五乘之地者事三世，有三乘之地者事二世	时间
023_礼书	胡亥	二世	3058	词表匹配	二世	三世，有三乘之地者事二世，有^特牲^而食者不	人名
023_礼书	祭祀	祭祀	3110	词表匹配	祭祀	礼之仪节↵↵### 祭祀之礼↵↵[20.1]	制度
023_礼书	太一	太一	3246	词表匹配	太一	，两者合而成文，以归太一，是谓大隆。↵↵##	制度
023_礼书	礼仪	礼仪	3260	词表匹配	礼仪	谓大隆。↵↵### 礼仪之同↵↵[21.1]	制度
023_礼书	太一	太一	3530	词表匹配	太一	代胜；其下，复情以归太一。↵↵[22.3] 	制度
023_礼书	天地	天地	3542	词表匹配	天地	。↵↵[22.3] 天地以合，!日月!以明，	天文
023_礼书	四时	四时	3554	词表匹配	四时	以合，!日月!以明，四时以序，!星辰!以行，	时间
023_礼书	司马迁	太史公	3617	词表匹配	太史公	为上则明。↵↵## 太史公再论↵↵### 礼之	人名
023_礼书	无穷	无穷	4111	词表匹配	无穷	日月!者，明之极也；无穷者，广大之极也；圣人	地名
023_礼书	子上	子上	4246	词表匹配	子上	↵↵[27.3] 君子上致其隆，下尽其杀，而	人名
