章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
024_乐书	司马迁	太史公	13	词表匹配	太史公	0] 乐书↵↵## 太史公序论↵↵[1.1] 	人名
024_乐书	天子	天子	329	词表匹配	天子	教。↵↵[1.8] 天子躬於=明堂=临观，而	官职
024_乐书	礼乐	礼乐	450	词表匹配	礼乐	然之势也？↵↵## 礼乐衰微↵↵[2.1] 	制度
024_乐书	六国	六国	552	词表匹配	六国	[2.3] 陵迟以至六国，流沔沈佚，遂往不返	制度
024_乐书	胡亥	秦二世	594	词表匹配	秦二世	秦汉乐制↵↵### 秦二世之乐↵↵[3.1] 	人名
024_乐书	一世	一世	758	词表匹配	一世	不通，解泽不流，亦各一世之化，度时之^乐^，	时间
024_乐书	騄耳	騄耳	777	词表匹配	騄耳	乐^，何必=华山=之騄耳而后行远乎？"↵↵[	动植物
024_乐书	乐府	乐府	809	词表匹配	乐府	之。↵↵### 汉初乐府↵↵[4.1] $高	制度
024_乐书	四时	四时	861	词表匹配	四时	祖$崩，令=沛=得以四时歌鳷^宗庙^。↵↵[	时间
024_乐书	汉武帝	今上	915	词表匹配	今上	旧而已。↵↵### 今上定乐↵↵[5.1] 	人名
024_乐书	祭祀	祭祀	1022	词表匹配	祭祀	*之文。↵↵### 祭祀之歌↵↵[6.1] 	制度
024_乐书	十人	十人	1093	词表匹配	十人	祠坛上。使僮男僮女七十人俱歌。↵↵[6.3]	时间
024_乐书	天马	天马	1156	词表匹配	天马	故不论。↵↵### 天马之歌↵↵[7.1] 	器物
024_乐书	千里	千里	1263	词表匹配	千里	3] 後伐&大宛&得千里〘马〙，〘马〙名蒲梢	时间
024_乐书	西极	西极	1306	词表匹配	西极	> "天〘马〙来兮从西极，经万里兮归有德。承	地名
024_乐书	四夷	四夷	1331	词表匹配	四夷	降外国，涉=流沙=兮四夷服。"↵↵[7.5]	族群
024_乐书	诽谤	诽谤	1445	词表匹配	诽谤	曰：↵↵> "@黯@诽谤圣制，当族。"↵↵#	制度
024_乐书	先王	先王	1708	词表匹配	先王	，感於物而后动，是故先王慎所以感之。↵↵[9	官职
024_乐书	於中	於中	1811	词表匹配	於中	者，生人心者也。情动於中，故形於声，声成文谓	地名
024_乐书	五德	五德	1902	词表匹配	五德	矣。↵↵### 五音五德↵↵[11.1] *	制度
024_乐书	礼乐	礼乐	2117	词表匹配	礼乐	而不可止。↵↵## 礼乐之道↵↵[12] （	制度
024_乐书	礼乐	礼乐	2133	词表匹配	礼乐	[12] （略，包含礼乐理论、制度、天地之道	制度
024_乐书	制度	制度	2138	词表匹配	制度	（略，包含礼乐理论、制度、天地之道等内容）↵	制度
024_乐书	天地	天地	2141	词表匹配	天地	包含礼乐理论、制度、天地之道等内容）↵↵##	天文
024_乐书	魏文侯	魏文侯	2154	词表匹配	魏文侯	道等内容）↵↵## 魏文侯问乐↵↵### 古乐	人名
024_乐书	古乐	古乐	2165	词表匹配	古乐	文侯问乐↵↵### 古乐与新乐↵↵[13.1	器物
024_乐书	新乐	新乐	2168	词表匹配	新乐	乐↵↵### 古乐与新乐↵↵[13.1] &	器物
024_乐书	孔子	孔子	2589	词表匹配	孔子	不用也。"↵↵## 孔子论乐↵↵[15] （	人名
024_乐书	师旷	师旷	2633	词表匹配	师旷	乐的内容）↵↵## 师旷之谏↵↵### 亡国	人名
024_乐书	上舍	上舍	2680	词表匹配	上舍	晋&，至於=濮水=之上舍。↵↵[16.2] 	官职
024_乐书	夜半	夜半	2692	词表匹配	夜半	。↵↵[16.2] 夜半时闻鼓*琴*声，问左	时间
024_乐书	鬼神	鬼神	2755	词表匹配	鬼神	左右，皆不闻。其状似鬼神，为我听而写之。"↵	神话
024_乐书	黄帝	黄帝	2822	词表匹配	黄帝	=之中）↵↵### 黄帝之乐↵↵[17.1]	人名
024_乐书	鬼神	鬼神	2857	词表匹配	鬼神	。昔者〚黄帝〛以大合鬼神，今君德义薄，不足以	神话
024_乐书	西北	西北	2949	词表匹配	西北	。一奏之，有白☁️从西北起；再奏之，大风至而	地名
024_乐书	司马迁	太史公	3041	词表匹配	太史公	可妄兴也。↵↵## 太史公再论↵↵[19.1]	人名
024_乐书	明王	明王	3065	词表匹配	明王	$太史公$曰：夫上古明王举^乐^者，非以娱心	官职
024_乐书	制度	制度	3261	词表匹配	制度	也。↵↵### 琴之制度↵↵[20.1] *	制度
024_乐书	八尺	八尺	3276	词表匹配	八尺	20.1] *琴*长八尺一寸，正度也。↵↵[	时间
024_乐书	王温舒	温舒	3356	词表匹配	温舒	 故闻*宫音*，使人温舒而广大；闻*商音*，	人名
024_乐书	礼乐	礼乐	3428	词表匹配	礼乐	^礼^。↵↵### 礼乐之功↵↵[21.1]	制度
024_乐书	天子	天子	3551	词表匹配	天子	21.4] 夫古者，天子诸侯听*钟磬*未尝离	官职
