章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
025_律书	司马迁	太史公	13	词表匹配	太史公	0] 律书↵↵## 太史公序论↵↵### 律历	人名
025_律书	律历	律历	24	词表匹配	律历	史公序论↵↵### 律历与兵法↵↵[1.1]	制度
025_律书	兵法	兵法	27	词表匹配	兵法	论↵↵### 律历与兵法↵↵[1.1] 王者	制度
025_律书	兵法	兵法	186	词表匹配	兵法	足怪哉？↵↵### 兵法的正当性↵↵[2.1	制度
025_律书	三代	三代	503	词表匹配	三代	↵[4.3] 虽不及三代之诰誓，然身宠君尊，	时间
025_律书	汉高祖	高祖	818	词表匹配	高祖	军事政策↵↵### 高祖时期↵↵[6.1] 	人名
025_律书	汉文帝	孝文帝	913	词表匹配	孝文帝	縻不备。↵↵### 孝文帝的军事决策↵↵[7.	人名
025_律书	陈武	陈武	960	词表匹配	陈武	↵↵> NOTE: 陈武等建议征讨↵> "&	人名
025_律书	汉文帝	文帝	1082	词表匹配	文帝	↵↵> NOTE: 文帝答复↵> "朕能任衣	人名
025_律书	衣冠	衣冠	1093	词表匹配	衣冠	帝答复↵> "朕能任衣冠，念不到此。会&吕氏	器物
025_律书	功臣	功臣	1109	词表匹配	功臣	此。会&吕氏&之乱，功臣宗室共不羞耻，误居正	官职
025_律书	军吏	军吏	1187	词表匹配	军吏	能？今~匈奴~内侵，军吏无功，边民父子荷兵%	官职
025_律书	司马迁	太史公	1312	词表匹配	太史公	乐者乎！↵↵### 太史公评论↵↵[8.1] 	人名
025_律书	司马迁	太史公	1342	词表匹配	太史公	↵↵> NOTE: 太史公评文帝↵> $文帝$	人名
025_律书	汉文帝	文帝	1346	词表匹配	文帝	NOTE: 太史公评文帝↵> $文帝$时，会	人名
025_律书	律历	律历	1428	词表匹配	律历	君子者邪！↵↵## 律历详解↵↵### 七正	制度
025_律书	七正	七正	1438	词表匹配	七正	律历详解↵↵### 七正二十八舍↵↵[9.1	制度
025_律书	二十八舍	二十八舍	1440	词表匹配	二十八舍	详解↵↵### 七正二十八舍↵↵[9.1] ^书	制度
025_律书	十二月	十二月	1538	词表匹配	十二月	舒气也。↵↵### 十二月律历详解↵↵####	时间
025_律书	律历	律历	1541	词表匹配	律历	。↵↵### 十二月律历详解↵↵#### 十	制度
025_律书	十月	十月	1552	词表匹配	十月	历详解↵↵#### 十月：亥月↵↵[10.1	时间
025_律书	阳气	阳气	1635	词表匹配	阳气	 !营室!者，主营胎阳气而产之。↵↵[10.	制度
025_律书	阳气	阳气	1665	词表匹配	阳气	!。!危!，垝也。言阳气之垝，故曰!危!。↵	制度
025_律书	阳气	阳气	1713	词表匹配	阳气	.6] ^应锺^者，阳气之应，不用事也。↵↵	制度
025_律书	阳气	阳气	1749	词表匹配	阳气	为亥。亥者，该也。言阳气藏於下，故该也。↵↵	制度
025_律书	十一月	十一月	1766	词表匹配	十一月	该也。↵↵#### 十一月：子月↵↵[11.1	时间
025_律书	阳气	阳气	1808	词表匹配	阳气	2] !广莫!者，言阳气在下，阴莫阳广大也，	制度
025_律书	阳气	阳气	1854	词表匹配	阳气	虚!者，能实能虚，言阳气冬则宛藏於虚，!日冬	制度
025_律书	阴阳	阴阳	1910	词表匹配	阴阳	!。言万物变动其所，阴阳气未相离，尚相胥也，	制度
025_律书	阳气	阳气	1967	词表匹配	阳气	.6] ^黄锺^者，阳气踵黄泉而出也。↵↵[	制度
025_律书	阳气	阳气	2039	词表匹配	阳气	癸。壬之为言任也，言阳气任养万物於下也。癸之	制度
025_律书	阳气	阳气	2090	词表匹配	阳气	牛!。!牵牛!者，言阳气牵引万物出之也。〘牛	制度
025_律书	律历	律历	2205	词表匹配	律历	子^为丑。↵↵## 律历详解：春季↵↵###	制度
025_律书	正月	正月	2219	词表匹配	正月	：春季↵↵#### 正月：寅月↵↵[12.1	时间
025_律书	二月	二月	2485	词表匹配	二月	出矣。↵↵#### 二月：卯月↵↵[13.1	时间
025_律书	阴阳	阴阳	2570	词表匹配	阴阳	4] ^夹锺^者，言阴阳相夹厕也。↵↵[13	制度
025_律书	剖符	剖符	2634	词表匹配	剖符	为甲乙。甲者，言万物剖符甲而出也；乙者，言万	制度
025_律书	律历	律历	2811	词表匹配	律历	物之蜄也。↵↵## 律历详解：夏季↵↵###	制度
025_律书	四月	四月	2825	词表匹配	四月	：夏季↵↵#### 四月：巳月↵↵[14.1	时间
025_律书	阳气	阳气	2988	词表匹配	阳气	二子^为巳。巳者，言阳气之已尽也。↵↵[14	制度
