章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
029_河渠书	九州	九州	84	词表匹配	九州	，山行即*桥*。以别九州，随山浚川，任土作贡	地名
029_河渠书	故道	故道	131	词表匹配	故道	=也尤甚。唯是为务。故道=河=自=积石=历=	地名
029_河渠书	诸夏	诸夏	270	词表匹配	诸夏	九川既疏，九泽既洒，诸夏艾安，功施于三代。↵	族群
029_河渠书	三代	三代	278	词表匹配	三代	洒，诸夏艾安，功施于三代。↵↵## 战国至秦	时间
029_河渠书	战国	战国	286	词表匹配	战国	施于三代。↵↵## 战国至秦代诸国水利工程↵	朝代
029_河渠书	东南	东南	317	词表匹配	东南	，=荥阳=下引=河=东南为=鸿沟=，以通=宋	地名
029_河渠书	西方	西方	374	词表匹配	西方	=泗=会。于=楚=，西方则通渠=汉水=、=云	地名
029_河渠书	东方	东方	391	词表匹配	东方	水=、=云梦之野=，东方则通沟=江淮=之间。	地名
029_河渠书	西门豹引漳溉邺	西门豹引漳溉邺	528	词表匹配	西门豹引漳溉邺	莫足数也。↵↵## 西门豹引漳溉邺↵↵[3] @西门豹	event
029_河渠书	郑国渠	郑国渠	572	词表匹配	郑国渠	=河内=。↵↵## 郑国渠建成使秦富强↵↵[4	地名
029_河渠书	百馀里	百馀里	654	词表匹配	百馀里	=北山=东注=洛=三百馀里，欲以溉田。中作而觉	时间
029_河渠书	万馀	万馀	730	词表匹配	万馀	阏之水，溉泽卤之地四万馀顷，收皆亩一钟。於是	时间
029_河渠书	汉文帝	汉文帝	780	词表匹配	汉文帝	郑国渠=。↵↵## 汉文帝时黄河决酸枣↵↵[5	人名
029_河渠书	酸枣	酸枣	787	词表匹配	酸枣	## 汉文帝时黄河决酸枣↵↵[5] =汉=兴	地名
029_河渠书	汉武帝	汉武帝	844	词表匹配	汉武帝	兴卒塞之。↵↵## 汉武帝初期河决瓠子未能塞↵	人名
029_河渠书	河决瓠子	河决瓠子	849	词表匹配	河决瓠子	↵↵## 汉武帝初期河决瓠子未能塞↵↵[6] 其	event
029_河渠书	今天子	今天子	872	词表匹配	今天子	其後%四十有馀年%，今天子%元光之中%，而=河	人名
029_河渠书	东南	东南	893	词表匹配	东南	=河=决於=瓠子=，东南注=钜野=，通於=淮	地名
029_河渠书	天子	天子	913	词表匹配	天子	=淮=、=泗=。於是天子使@汲黯@、@郑当时	官职
029_河渠书	望气	望气	1026	词表匹配	望气	，塞之未必应天。"而望气用数者亦以为然。於是	制度
029_河渠书	天子	天子	1038	词表匹配	天子	用数者亦以为然。於是天子久之不事复塞也。↵↵	官职
029_河渠书	郑当时	郑当时	1053	词表匹配	郑当时	事复塞也。↵↵## 郑当时建议开凿漕渠↵↵[7	人名
029_河渠书	六月	六月	1101	词表匹配	六月	漕粟从=渭=中上，度六月而罢，而漕水道九百馀	时间
029_河渠书	百馀里	百馀里	1111	词表匹配	百馀里	六月而罢，而漕水道九百馀里，时有难处。引=渭=	时间
029_河渠书	百馀里	百馀里	1144	词表匹配	百馀里	南山=下，至=河=三百馀里，径，易漕，度可令三	时间
029_河渠书	三月	三月	1156	词表匹配	三月	里，径，易漕，度可令三月罢；而渠下民田万馀顷	时间
029_河渠书	万馀	万馀	1165	词表匹配	万馀	令三月罢；而渠下民田万馀顷，又可得以溉田：此	时间
029_河渠书	天子	天子	1196	词表匹配	天子	关中=之地，得穀。"天子以为然，令@齐人@水	官职
029_河渠书	数万人	数万人	1218	词表匹配	数万人	工@徐伯@表，悉发卒数万人穿漕渠，%三岁%而通	时间
029_河渠书	河东渠田工程失败	河东渠田工程失败	1264	词表匹配	河东渠田工程失败	以溉田矣。↵↵## 河东渠田工程失败↵↵[8] 其後@河	event
029_河渠书	百馀万	百馀万	1299	词表匹配	百馀万	"漕从=山东=西，岁百馀万石，更=砥柱=之限，	时间
029_河渠书	万石君	万石	1393	词表匹配	万石	溉田之，度可得穀二百万石以上。穀从=渭=上，	人名
029_河渠书	天子	天子	1426	词表匹配	天子	柱=之东可无复漕。"天子以为然，发卒数万人作	官职
029_河渠书	数万人	数万人	1434	词表匹配	数万人	。"天子以为然，发卒数万人作渠田。%数岁%，=	时间
029_河渠书	四百里	四百里	1584	词表匹配	四百里	=襃斜道=，少阪，近四百里；而=襃水=通=沔=	时间
029_河渠书	百馀里	百馀里	1643	词表匹配	百馀里	=之绝水至=斜=，间百馀里，以*车*转，从=斜	时间
029_河渠书	竹箭	竹箭	1702	词表匹配	竹箭	之漕。且=襃斜=材木竹箭之饶，拟於=巴蜀=。	动植物
029_河渠书	天子	天子	1715	词表匹配	天子	饶，拟於=巴蜀=。"天子以为然，拜@汤@子@	官职
029_河渠书	数万人	数万人	1737	词表匹配	数万人	卬@为=汉中=守，发数万人作=襃斜道=五百馀里	时间
029_河渠书	百馀里	百馀里	1747	词表匹配	百馀里	数万人作=襃斜道=五百馀里。道果便近，而水湍石	时间
029_河渠书	龙首渠开凿	龙首渠开凿	1770	词表匹配	龙首渠开凿	，不可漕。↵↵## 龙首渠开凿工程↵↵[10] 其	event
029_河渠书	万馀	万馀	1812	词表匹配	万馀	洛=以溉=重泉=以东万馀顷故卤地。诚得水，可	时间
029_河渠书	万馀人	万馀人	1835	词表匹配	万馀人	亩十石。"於是为发卒万馀人穿渠，自=徵=引=洛	时间
029_河渠书	四十馀	四十馀	1870	词表匹配	四十馀	崩，乃凿*井*，深者四十馀丈。往往为*井*，*	时间
029_河渠书	下相	下相	1885	词表匹配	下相	往往为*井*，*井*下相通行水。水穨以绝=商	地名
029_河渠书	十馀里	十馀里	1904	词表匹配	十馀里	绝=商颜=，东至山岭十馀里间。*井渠*之生自此	时间
029_河渠书	龙骨	龙骨	1922	词表匹配	龙骨	*之生自此始。穿渠得龙骨，故名曰=龙首渠=。	地名
029_河渠书	汉武帝	武帝	1957	词表匹配	武帝	未得其饶。↵↵## 武帝亲临决河成功堵塞瓠子	人名
029_河渠书	瓠子	瓠子	1967	词表匹配	瓠子	武帝亲临决河成功堵塞瓠子↵↵[11] 自=河	地名
029_河渠书	天子	天子	2013	词表匹配	天子	=、=楚=之地尤甚。天子既^封禅^巡祭山川，	官职
029_河渠书	山川	山川	2022	词表匹配	山川	。天子既^封禅^巡祭山川，其明年，旱，=乾封	地名
029_河渠书	明年	明年	2026	词表匹配	明年	^封禅^巡祭山川，其明年，旱，=乾封=少雨。	时间
029_河渠书	天子	天子	2038	词表匹配	天子	，旱，=乾封=少雨。天子乃使@汲仁@、@郭昌	官职
029_河渠书	数万人	数万人	2053	词表匹配	数万人	汲仁@、@郭昌@发卒数万人塞=瓠子=决。於是天	时间
029_河渠书	天子	天子	2065	词表匹配	天子	人塞=瓠子=决。於是天子已用事=万里沙=，则	官职
029_河渠书	汉武帝	武帝	2156	词表匹配	武帝	为*楗*。↵↵## 武帝作歌悼治河之艰↵↵[	人名
029_河渠书	天子	天子	2172	词表匹配	天子	河之艰↵↵[12] 天子既临=河=决，悼功之	官职
029_河渠书	蛟龙	蛟龙	2261	词表匹配	蛟龙	日。延道弛兮离常流，蛟龙骋兮方远游。归旧川兮	神话
029_河渠书	河伯	河伯	2290	词表匹配	河伯	禅^兮安知外！为我谓河伯兮何不仁，泛滥不止兮	神话
029_河渠书	齧桑	齧桑	2306	词表匹配	齧桑	，泛滥不止兮愁吾人？齧桑浮兮=淮=、=泗=满	地名
029_河渠书	河伯	河伯	2360	词表匹配	河伯	搴长茭兮沈美*玉*，河伯许兮*薪*不属。*薪	神话
029_河渠书	各地水利工程大兴	各地水利工程大兴	2475	词表匹配	各地水利工程大兴	，无水灾。↵↵## 各地水利工程大兴↵↵[13] 自是之	event
029_河渠书	万馀	万馀	2595	词表匹配	万馀	=：皆穿渠为溉田，各万馀顷。佗小渠披山通道者	时间
029_河渠书	司马迁	太史公	2628	词表匹配	太史公	=宣房=。↵↵## 太史公游历总结作河渠书↵↵	人名
029_河渠书	司马迁	太史公	2646	词表匹配	太史公	河渠书↵↵[14] 太史公曰：余南登=庐山=，	人名
