章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
030_平准书	平准	平准	6	词表匹配	平准	# [0] 平准书↵↵## 汉初经济	制度
030_平准书	天子	天子	59	词表匹配	天子	饟，作业剧而财匮，自天子不能具钧驷，而将相或	官职
030_平准书	将相	将相	68	词表匹配	将相	自天子不能具钧驷，而将相或乘牛车，齐民无藏盖	官职
030_平准书	牛车	牛车	72	词表匹配	牛车	能具钧驷，而将相或乘牛车，齐民无藏盖。於是为	器物
030_平准书	黄金	黄金	97	词表匹配	黄金	难用，更令民铸钱，一黄金一斤，约法省禁。而不	器物
030_平准书	百金	百金	139	词表匹配	百金	米至石万钱，马一匹则百金。↵↵## 高祖至文	器物
030_平准书	汉高祖	高祖	147	词表匹配	高祖	匹则百金。↵↵## 高祖至文景时期的商业政策	人名
030_平准书	乘车	乘车	182	词表匹配	乘车	祖@乃令贾人不得衣丝乘车，重租税以困辱之。@	器物
030_平准书	山川	山川	245	词表匹配	山川	度官用，以赋於民。而山川园池市井租税之入，自	地名
030_平准书	天子	天子	257	词表匹配	天子	园池市井租税之入，自天子以至于封君汤沐邑，皆	官职
030_平准书	中都官	中都官	295	词表匹配	中都官	漕转=山东=粟，以给中都官，岁不过数十万石。↵	官职
030_平准书	数十万	数十万	302	词表匹配	数十万	，以给中都官，岁不过数十万石。↵↵## 文帝币	时间
030_平准书	汉文帝	文帝	312	词表匹配	文帝	数十万石。↵↵## 文帝币制改革与私铸问题↵	人名
030_平准书	天子	天子	386	词表匹配	天子	也，以即山铸钱，富埒天子，其後卒以叛逆。@邓	官职
030_平准书	募民输粟拜爵制度	募民输粟拜爵制度	444	词表匹配	募民输粟拜爵制度	禁^生焉。↵↵## 募民输粟拜爵制度↵↵[4] 匈奴数侵	event
030_平准书	匈奴	匈奴	458	词表匹配	匈奴	拜爵制度↵↵[4] 匈奴数侵盗北边，屯戍者多	朝代
030_平准书	北边	北边	463	词表匹配	北边	↵[4] 匈奴数侵盗北边，屯戍者多，边粟不足	地名
030_平准书	汉景帝	景帝	512	词表匹配	景帝	大庶长$。↵↵## 景帝时期的赈济措施↵↵[	人名
