章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
030_平准书	天下	天下	165	词表匹配	天下	商业政策↵↵[2] 天下已平，@高祖@乃令贾	思想
030_平准书	天下	天下	205	词表匹配	天下	惠@、@高后@时，为天下初定，复弛商贾之律，	思想
030_平准书	天下	天下	279	词表匹配	天下	各为私奉养焉，不领於天下之经费。漕转=山东=	思想
030_平准书	天下	天下	426	词表匹配	天下	=吴=、@邓氏@钱布天下，而^铸钱之禁^生焉	思想
030_平准书	天下	天下	1005	词表匹配	天下	扰北边，兵连而不解，天下苦其劳，而干戈日滋。	思想
030_平准书	廉耻	廉耻	1068	词表匹配	廉耻	者除罪^，选举陵迟，廉耻相冒，武力进用，法严	思想
030_平准书	贤王	贤王	1387	词表匹配	贤王	将军，军十馀万，击右贤王，获首虏万五千级。明	思想
030_平准书	斩首	斩首	1425	词表匹配	斩首	，得首虏万九千级。捕斩首虏之士受赐黄金二十馀	刑法
030_平准书	斩首	斩首	1574	词表匹配	斩首	，$大将军$攻匈奴，斩首虏万九千级，留蹛无所	刑法
030_平准书	法治	法治	1715	词表匹配	法治	官职秏废。↵↵## 法治严苛与淮南王案↵↵[	思想
030_平准书	春秋	春秋	1738	词表匹配	春秋	0] 自@公孙弘@以春秋之义绳臣下取汉相，@	典籍
030_平准书	天下	天下	1903	词表匹配	天下	，布被，食不重味，为天下先。然无益於俗，稍骛	思想
030_平准书	朝觐	朝觐	2699	词表匹配	朝觐	，直四十万。王侯宗室朝觐聘享，必以^皮币^荐	礼仪
030_平准书	天地	天地	3310	词表匹配	天地	@咸阳@言："山海，天地之藏也，皆宜属$少府	思想
030_平准书	天下	天下	3445	词表匹配	天下	@东郭咸阳@乘传举行天下^盐铁^，作官府，除	思想
030_平准书	没入	没入	3761	词表匹配	没入	田，以便农。敢犯令，没入田僮。"↵↵## 卜	刑法
030_平准书	忠义	忠义	3775	词表匹配	忠义	。"↵↵## 卜式的忠义↵↵[24] 天子乃	思想
030_平准书	天下	天下	3820	词表匹配	天下	长$，赐田十顷，布告天下，使明知之。↵↵##	思想
030_平准书	天下	天下	4575	词表匹配	天下	7] 而@孔仅@之使天下铸作器，三年中拜为$	思想
030_平准书	天下	天下	4743	词表匹配	天下	万人。然不能半自出，天下大抵无虑皆铸金钱矣。	思想
030_平准书	论死	论死	5068	词表匹配	论死	，不入言而^腹诽^，论死。自是之後，有^腹诽	刑法
030_平准书	天下	天下	5316	词表匹配	天下	三官铸。钱既多，而令天下非三官钱不得行，诸郡	思想
030_平准书	天下	天下	5409	词表匹配	天下	而@杨可@^告缗^遍天下，中家以上大抵皆遇告	思想
030_平准书	上林	上林	5571	词表匹配	上林	↵↵## 水衡都尉与上林苑↵↵[35] 初，	典籍
030_平准书	没入	没入	5779	词表匹配	没入	置农官，往往即郡县比没入田田之。其没入奴婢，	刑法
030_平准书	没入	没入	5786	词表匹配	没入	郡县比没入田田之。其没入奴婢，分诸苑养狗马禽	刑法
030_平准书	封禅	封禅	6194	词表匹配	封禅	仞新秦中。↵↵## 封禅准备↵↵[40] 既	礼仪
030_平准书	封禅	封禅	6221	词表匹配	封禅	后土、太一祠，公卿议封禅事，而天下郡国皆豫治	礼仪
030_平准书	天下	天下	6226	词表匹配	天下	祠，公卿议封禅事，而天下郡国皆豫治道桥，缮故	思想
030_平准书	天下	天下	6309	词表匹配	天下	子为=山东=不赡，赦天下，因南方楼船卒二十馀	思想
030_平准书	天下	天下	6483	词表匹配	天下	石以上吏，以差出牝马天下亭，亭有畜牸马，岁课	思想
030_平准书	天下	天下	6591	词表匹配	天下	有馀辄助县官之用。今天下不幸有急，而@式@奋	思想
030_平准书	赐爵	赐爵	6620	词表匹配	赐爵	未战，可谓义形於内。赐爵$关内侯$，金六十斤	礼仪
030_平准书	天下	天下	6640	词表匹配	天下	十斤，田十顷。"布告天下，天下莫应。列侯以百	思想
030_平准书	天下	天下	6643	词表匹配	天下	田十顷。"布告天下，天下莫应。列侯以百数，皆	思想
030_平准书	天下	天下	7036	词表匹配	天下	大农$，尽代@仅@筦天下^盐铁^。@弘羊@以	思想
030_平准书	天下	天下	7064	词表匹配	天下	相与争，物故腾跃，而天下赋输或不偿其僦费，乃	思想
030_平准书	天下	天下	7143	词表匹配	天下	准^于=京师=，都受天下委输。召工官治车诸器	思想
030_平准书	天下	天下	7173	词表匹配	天下	。$大农$之诸官尽笼天下之货物，贵即卖之，贱	思想
030_平准书	天下	天下	7216	词表匹配	天下	而万物不得腾踊。故抑天下物，名曰"^平准^"	思想
030_平准书	天下	天下	7424	词表匹配	天下	五百万匹。民不益赋而天下用饶。於是@弘羊@赐	思想
030_平准书	赐爵	赐爵	7435	词表匹配	赐爵	下用饶。於是@弘羊@赐爵$左庶长$，黄金再百	礼仪
030_平准书	礼义	礼义	7635	词表匹配	礼义	长庠序，先本绌末，以礼义防于利；事变多故而亦	思想
030_平准书	天下	天下	7796	词表匹配	天下	，为彊君。自是以後，天下争於战国，贵诈力而贱	思想
030_平准书	仁义	仁义	7808	词表匹配	仁义	争於战国，贵诈力而贱仁义，先富有而後推让。故	思想
030_平准书	天下	天下	8011	词表匹配	天下	绩不足衣服。古者尝竭天下之资财以奉其上，犹自	思想
030_平准书	天下	天下	8072	词表匹配	天下	 ^平准^之立，通货天下。↵既入县官，或振华	思想
