章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
032_齐太公世家	太公	太公	7	词表匹配	太公	# 032_齐太公世家↵↵[0] **	人名
032_齐太公世家	世家	世家	9	词表匹配	世家	# 032_齐太公世家↵↵[0] **=齐	器物
032_齐太公世家	太公	太公	35	词表匹配	太公	@世家**↵↵## 太公建国↵↵[1] @太	人名
032_齐太公世家	霸王	霸王	225	词表匹配	霸王	〚虎〛非〚罴〛；所获霸王之辅"。於是@周西伯	官职
032_齐太公世家	三人	三人	447	词表匹配	三人	又善养老，盍往焉"。三人者为@西伯@求美女奇	时间
032_齐太公世家	八百诸侯	八百诸侯	767	词表匹配	八百诸侯	津=。诸侯不期而会者八百诸侯。诸侯皆曰："@纣@	时间
032_齐太公世家	太公	太公	1076	词表匹配	太公	$谋居多。↵↵## 太公封齐↵↵[7] 於是	人名
032_齐太公世家	胡公	胡公	1468	词表匹配	胡公	不辰@立。↵↵## 胡公之乱↵↵[10] @	人名
032_齐太公世家	十人	十人	1816	词表匹配	十人	，而诛杀@厉公@者七十人。↵↵[14] @文	时间
032_齐太公世家	齐釐公	釐公	1961	词表匹配	釐公	禄甫@立。↵↵## 釐公襄公时期↵↵[17]	人名
032_齐太公世家	秦襄公	襄公	1963	词表匹配	襄公	@立。↵↵## 釐公襄公时期↵↵[17] @	人名
032_齐太公世家	夫人	夫人	2245	词表匹配	夫人	四年%，@鲁桓公@与夫人如=齐=。@齐襄公@	人名
032_齐太公世家	夫人	夫人	2321	词表匹配	夫人	。@鲁桓公@知之，怒夫人，夫人以告@齐襄公@	人名
032_齐太公世家	夫人	夫人	2324	词表匹配	夫人	桓公@知之，怒夫人，夫人以告@齐襄公@。@齐	人名
032_齐太公世家	二人	二人	2519	词表匹配	二人	为请代，公弗许。故此二人怒，因@公孙无知@谋	时间
032_齐太公世家	夫人	夫人	2567	词表匹配	夫人	"事成以女为@无知@夫人"。%冬十二月%，@	人名
032_齐太公世家	齐桓公	齐桓公	2853	词表匹配	齐桓公	=齐=君。↵↵## 齐桓公称霸↵↵[25] @	人名
032_齐太公世家	夫人	夫人	2992	词表匹配	夫人	醉杀@鲁桓公@，通其夫人，杀诛数不当，淫於妇	人名
032_齐太公世家	别将	别将	3168	词表匹配	别将	@纠@，而使@管仲@别将兵遮=莒=道，射中@	人名
032_齐太公世家	霸王	霸王	3513	词表匹配	霸王	@叔牙@足也。君且欲霸王，非@管夷吾@不可。	官职
032_齐太公世家	诸侯相	诸侯相	4147	词表匹配	诸侯相	@曰："非$天子$，诸侯相送不出境，吾不可以无	官职
032_齐太公世家	夫人	夫人	4385	词表匹配	夫人	十九年%，@桓公@与夫人@蔡姬@戏*船*中。	人名
032_齐太公世家	东方	东方	4800	词表匹配	东方	涛涂@诈=齐=，令出东方，觉。%秋%，=齐=	地名
032_齐太公世家	夫人	夫人	5018	词表匹配	夫人	卓子@，@秦穆公@以夫人入$公子$@夷吾@为	人名
032_齐太公世家	中国	中国	5127	词表匹配	中国	@秦穆公@辟远，不与中国会盟。@楚成王@初收	地名
032_齐太公世家	中国	中国	5159	词表匹配	中国	~自置。唯独=齐=为中国会盟，而@桓公@能宣	地名
032_齐太公世家	管仲	管仲	5401	词表匹配	管仲	伐&周&，=齐=使@管仲@平~戎~於&周&。	人名
032_齐太公世家	管仲	管仲	5424	词表匹配	管仲	周&欲以$上卿$礼@管仲@，@管仲@顿首曰：	人名
032_齐太公世家	管仲	管仲	5429	词表匹配	管仲	上卿$礼@管仲@，@管仲@顿首曰："臣$陪臣	人名
032_齐太公世家	周襄王弟	周襄王弟	5468	词表匹配	周襄王弟	见。%三十九年%，@周襄王弟@带@来奔=齐=。=	人名
032_齐太公世家	郑桓公	桓公	5778	词表匹配	桓公	公@妻之。↵↵## 桓公之死与内乱↵↵[42	人名
032_齐太公世家	夫人	夫人	5807	词表匹配	夫人	%。初，@齐桓公@之夫人三：曰@王姬@、@徐	人名
032_齐太公世家	夫人	夫人	5843	词表匹配	夫人	公@好内，多内宠，如夫人者六人，长@卫姬@，	人名
