章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
033_鲁周公世家	天下	天下	390	词表匹配	天下	$克&殷&%二年%,天下未集,$@武王@$有	思想
033_鲁周公世家	天下	天下	925	词表匹配	天下	强葆之中。@周公@恐天下闻$@武王@$崩而畔	思想
033_鲁周公世家	天下	天下	1022	词表匹配	天下	以弗辟而摄行政者,恐天下畔&周&,无以告我〚	思想
033_鲁周公世家	天下	天下	1065	词表匹配	天下	@$。〚三王〛之忧劳天下久矣,於今而后成。$	思想
033_鲁周公世家	天下	天下	1181	词表匹配	天下	成王@$之叔父,我於天下亦不贱矣。然我一沐三	思想
033_鲁周公世家	天下	天下	1210	词表匹配	天下	哺,起以待士,犹恐失天下之贤人。子之&鲁&,	思想
033_鲁周公世家	天下	天下	2242	词表匹配	天下	@成王@$在=丰=,天下已安,&周&之官政未	思想
033_鲁周公世家	君子	君子	4437	词表匹配	君子	邑=祊=及=许田=,君子讥之。↵↵[11.2	思想
033_鲁周公世家	君子	君子	4766	词表匹配	君子	赂鼎*入於*太庙*,君子讥之。↵↵[11.4	思想
033_鲁周公世家	君子	君子	8127	词表匹配	君子	,以$相$三$君$。君子曰:"@季文子@廉忠	思想
033_鲁周公世家	君子	君子	8603	词表匹配	君子	比及葬,三易*衰*。君子曰:"是不终也。"↵	思想
