章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
038_宋微子世家	圣人	圣人	711	词表匹配	圣人	。@纣@怒曰："吾闻圣人之心有七窍，信有诸乎	思想
038_宋微子世家	天下	天下	1868	词表匹配	天下	天子$作民父母，以为天下$王$。↵↵[7.1	思想
038_宋微子世家	大同	大同	2126	词表匹配	大同	$从，庶民从，是之谓大同，而身其康彊，而子孙	思想
038_宋微子世家	天下	天下	3532	词表匹配	天下	父死子继，兄死弟及，天下通义也。我其立@和@	思想
038_宋微子世家	君子	君子	3766	词表匹配	君子	，是为$@殇公@$。君子闻之，曰："&宋&$	思想
038_宋微子世家	君子	君子	5494	词表匹配	君子	$公$。$公$曰："君子不困人於戹，不鼓不成	思想
038_宋微子世家	君子	君子	6802	词表匹配	君子	公瑕@$立。始厚葬。君子讥@华元@不臣矣。↵	思想
038_宋微子世家	仁义	仁义	8398	词表匹配	仁义	@襄公@$之时，修行仁义，欲为^盟主^。其$	思想
038_宋微子世家	君子	君子	8464	词表匹配	君子	@$既败於=泓=，而君子或以为多，伤中国阙礼	思想
038_宋微子世家	礼义	礼义	8475	词表匹配	礼义	子或以为多，伤中国阙礼义，襃之也，&宋&$@	思想
