章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
039_晋世家	世家	世家	7	词表匹配	世家	# 039 晋世家↵↵## 标题↵晋世	器物
039_晋世家	世家	世家	18	词表匹配	世家	家↵↵## 标题↵晋世家↵↵↵## 唐叔虞受	器物
039_晋世家	唐叔虞受封	唐叔虞受封	26	词表匹配	唐叔虞受封	↵晋世家↵↵↵## 唐叔虞受封↵↵[1.1] &晋	event
039_晋世家	桐叶封弟	桐叶封弟	131	词表匹配	桐叶封弟	之曰虞。↵↵↵## 桐叶封弟与早期世系↵↵[2.	event
039_晋世家	天子	天子	247	词表匹配	天子	耳。"@史佚@曰："天子无戏言。言则$史$书	官职
039_晋世家	百里	百里	298	词表匹配	百里	河=、=汾=之东，方百里，故曰@唐叔虞@。姓	人名
039_晋世家	五世	五世	434	词表匹配	五世	自@唐叔@至@靖侯@五世，无其年数。↵↵↵#	时间
039_晋世家	靖侯	靖侯	448	词表匹配	靖侯	其年数。↵↵↵## 靖侯时周厉王乱↵↵[3.	人名
039_晋世家	周厉王	周厉王	451	词表匹配	周厉王	。↵↵↵## 靖侯时周厉王乱↵↵[3.4] @	人名
039_晋世家	燕釐侯	釐侯	519	词表匹配	釐侯	和^"。↵↵↵## 釐侯至穆侯命子↵↵[4.	人名
039_晋世家	晋穆侯	穆侯	522	词表匹配	穆侯	。↵↵↵## 釐侯至穆侯命子↵↵[4.5] 	人名
039_晋世家	夫人	夫人	646	词表匹配	夫人	取&齐&女@姜氏@为夫人。%七年%，伐=条=	人名
039_晋世家	成师	成师	731	词表匹配	成师	也。少子曰@成师@，成师大号，成之者也。名，	人名
039_晋世家	晋穆侯	穆侯	778	词表匹配	穆侯	乱乎？"↵↵↵## 穆侯卒殇叔自立↵↵[5.	人名
039_晋世家	殇叔	殇叔	781	词表匹配	殇叔	"↵↵↵## 穆侯卒殇叔自立↵↵[5.7] 	人名
039_晋世家	文侯申	文侯	876	词表匹配	文侯	文侯@。↵↵↵## 文侯时周东徙↵↵[6.8	人名
039_晋世家	昭侯封曲沃桓叔	昭侯封曲沃桓叔	941	词表匹配	昭侯封曲沃桓叔	为诸侯。↵↵↵## 昭侯封曲沃桓叔↵↵[7.9] %三	event
039_晋世家	成师	成师	1006	词表匹配	成师	元年%，封@文侯弟@成师@于=曲沃=。=曲沃	人名
039_晋世家	成师	成师	1039	词表匹配	成师	，&晋&君都邑也。@成师@封=曲沃=，号为@	人名
039_晋世家	桓叔	桓叔	1051	词表匹配	桓叔	@封=曲沃=，号为@桓叔@。@靖侯@庶孙@栾	人名
039_晋世家	靖侯	靖侯	1056	词表匹配	靖侯	=，号为@桓叔@。@靖侯@庶孙@栾宾@相@桓	人名
039_晋世家	桓叔	桓叔	1067	词表匹配	桓叔	侯@庶孙@栾宾@相@桓叔@。@桓叔@是时年五	人名
039_晋世家	桓叔	桓叔	1072	词表匹配	桓叔	栾宾@相@桓叔@。@桓叔@是时年五十八矣，好	人名
039_晋世家	年五十八	年五十八	1077	词表匹配	年五十八	桓叔@。@桓叔@是时年五十八矣，好德，&晋&国之	时间
039_晋世家	曲沃	曲沃	1135	词表匹配	曲沃	何待！"↵↵↵## 曲沃攻晋与孝侯鄂侯↵↵[	地名
039_晋世家	孝侯	孝侯	1140	词表匹配	孝侯	↵↵## 曲沃攻晋与孝侯鄂侯↵↵[9.11]	人名
039_晋世家	鄂侯	鄂侯	1142	词表匹配	鄂侯	## 曲沃攻晋与孝侯鄂侯↵↵[9.11] %	人名
039_晋世家	鄂侯	鄂侯	1388	词表匹配	鄂侯	鄂侯@。↵↵↵## 鄂侯至哀侯↵↵[11.1	人名
039_晋世家	燕哀侯	哀侯	1391	词表匹配	哀侯	。↵↵↵## 鄂侯至哀侯↵↵[11.13] 	人名
039_晋世家	小子侯	小子侯	1529	词表匹配	小子侯	哀侯@。↵↵↵## 小子侯被杀↵↵[13.15	人名
039_晋世家	鲁武公	武公	1748	词表匹配	武公	如之何。↵↵↵## 武公灭晋侯缗↵↵[15.	人名
039_晋世家	晋侯	晋侯	1751	词表匹配	晋侯	。↵↵↵## 武公灭晋侯缗↵↵[15.17]	人名
039_晋世家	曲沃武公并晋	曲沃武公并晋	1924	词表匹配	曲沃武公并晋	襄公@。↵↵↵## 曲沃武公并晋↵↵[17.19] 	event
039_晋世家	鲁武公	武公	2037	词表匹配	武公	而有之。↵↵↵## 武公始都晋国↵↵[18.	人名
