章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
040_楚世家	世家	世家	7	词表匹配	世家	# 040 楚世家↵↵## 标题↵楚世	器物
040_楚世家	世家	世家	18	词表匹配	世家	家↵↵## 标题↵楚世家↵↵## 楚之先祖↵	器物
040_楚世家	帝颛顼高阳	高阳	44	词表匹配	高阳	之先祖出自@帝颛顼@高阳。@高阳@者，@黄帝	人名
040_楚世家	帝喾高辛	高辛	105	词表匹配	高辛	。@重黎@为@帝喾@高辛居$火正$，甚有功，	人名
040_楚世家	而以	而以	171	词表匹配	而以	庚寅%日诛@重黎@，而以其弟@吴回@为@重黎	人名
040_楚世家	鬻熊	鬻熊	392	词表匹配	鬻熊	能纪其世。↵↵## 鬻熊事文王↵↵[1.3]	人名
040_楚世家	周文王	文王	395	词表匹配	文王	世。↵↵## 鬻熊事文王↵↵[1.3] @周	人名
040_楚世家	熊绎	熊绎	473	词表匹配	熊绎	@熊绎@。↵↵## 熊绎受封与早期世系↵↵[	人名
040_楚世家	熊渠兴兵称王	熊渠兴兵称王	669	词表匹配	熊渠兴兵称王	@熊渠@。↵↵## 熊渠兴兵称王↵↵[3.6] @熊	event
040_楚世家	三年	三年	689	词表匹配	三年	.6] @熊渠@生子三年。当@周夷王@之时，	时间
040_楚世家	卫长子	长子	778	词表匹配	长子	国=之号谥。"乃立其长子@康@为$句亶王$，	人名
040_楚世家	中子	中子	790	词表匹配	中子	@康@为$句亶王$，中子@红@为$鄂王$，少	官职
040_楚世家	熊渠	熊渠	862	词表匹配	熊渠	其$王$。↵↵## 熊渠后世系↵↵[4.7]	人名
040_楚世家	熊严	熊严	998	词表匹配	熊严	严@为後。↵↵## 熊严至若敖↵↵[6.9]	人名
040_楚世家	若敖	若敖	1001	词表匹配	若敖	後。↵↵## 熊严至若敖↵↵[6.9] @熊	人名
040_楚世家	卫长子	长子	1027	词表匹配	长子	年%，卒。有子四人，长子@伯霜@，中子@仲雪	人名
040_楚世家	中子	中子	1034	词表匹配	中子	四人，长子@伯霜@，中子@仲雪@，次子@叔堪	官职
040_楚世家	卫长子	长子	1061	词表匹配	长子	季徇@。@熊严@卒，长子@伯霜@代立，是为@	人名
040_楚世家	周幽王	周幽王	1226	词表匹配	周幽王	@若敖@。↵↵## 周幽王被杀↵↵[8.11]	人名
040_楚世家	霄敖	霄敖	1286	词表匹配	霄敖	列为诸侯。↵↵## 霄敖至蚡冒↵↵[9.12	人名
040_楚世家	蚡冒	蚡冒	1289	词表匹配	蚡冒	侯。↵↵## 霄敖至蚡冒↵↵[9.12] %	人名
040_楚世家	周武王	武王	1414	词表匹配	武王	楚武王@。↵↵## 武王时诸国之乱↵↵[10	人名
040_楚世家	天子	天子	1492	词表匹配	天子	二十一年%，&郑&侵天子之田。%二十三年%，	官职
040_楚世家	楚伐随自立为武王	楚伐随自立为武王	1564	词表匹配	楚伐随自立为武王	@殇公@。↵↵## 楚伐随自立为武王↵↵[11.14] 	event
040_楚世家	令居	令居	1739	词表匹配	令居	先公，乃以$子男$田令居&楚&，~蛮夷~皆率	地名
040_楚世家	武王卒文王始都郢	武王卒文王始都郢	1800	词表匹配	武王卒文王始都郢	地而有之。↵↵## 武王卒文王始都郢↵↵[12.15] 	event
040_楚世家	文王伐蔡始大	文王伐蔡始大	1895	词表匹配	文王伐蔡始大	都=郢=。↵↵## 文王伐蔡始大↵↵[13.16] 	event
040_楚世家	张释之	释之	1972	词表匹配	释之	@蔡哀侯@以归，已而释之。&楚&彊，陵=江=	人名
040_楚世家	庄敖	庄敖	2027	词表匹配	庄敖	大。↵↵## 灭邓与庄敖↵↵[14.17] 	人名
040_楚世家	成王布德千里	成王布德千里	2126	词表匹配	成王布德千里	@成王@。↵↵## 成王布德千里↵↵[15.18] 	event
040_楚世家	天子	天子	2173	词表匹配	天子	结旧好於诸侯。使人献天子，天子赐*胙*，曰：	官职
040_楚世家	天子	天子	2176	词表匹配	天子	於诸侯。使人献天子，天子赐*胙*，曰："镇尔	官职
040_楚世家	南方	南方	2188	词表匹配	南方	赐*胙*，曰："镇尔南方~夷越~之乱，无侵=	地名
040_楚世家	千里	千里	2211	词表匹配	千里	国=。"於是&楚&地千里。↵↵## 齐桓公侵	时间
040_楚世家	齐桓公侵楚	齐桓公侵楚	2219	词表匹配	齐桓公侵楚	&地千里。↵↵## 齐桓公侵楚↵↵[16.19] 	event
040_楚世家	张释之	释之	2355	词表匹配	释之	，@许君@肉袒谢，乃释之。%二十二年%，伐&	人名
040_楚世家	败宋于泓	败宋于泓	2387	词表匹配	败宋于泓	灭&英&。↵↵## 败宋于泓↵↵[18.21] 	event
040_楚世家	盟会	盟会	2415	词表匹配	盟会	年%，@宋襄公@欲为盟会，召&楚&。@楚王@	制度
040_楚世家	晋文公	重耳	2521	词表匹配	重耳	遂病创死。↵↵## 重耳过楚↵↵[19.22	人名
040_楚世家	城濮之战楚败	城濮之战楚败	2702	词表匹配	城濮之战楚败	熊@故也。↵↵## 城濮之战楚败↵↵[21.24] 	event
040_楚世家	商臣弑成王	商臣弑成王	2843	词表匹配	商臣弑成王	@子玉@。↵↵## 商臣弑成王↵↵[22.25] 	event
040_楚世家	周穆王	穆王	3191	词表匹配	穆王	@穆王@。↵↵## 穆王灭江灭六↵↵[24.	人名
040_楚世家	庄王一鸣惊人	庄王一鸣惊人	3311	词表匹配	庄王一鸣惊人	@侣@立。↵↵## 庄王一鸣惊人↵↵[25.28] 	event
040_楚世家	三年	三年	3418	词表匹配	三年	"曰："有鸟在於阜，三年不蜚不鸣，是何鸟也？	时间
040_楚世家	三年	三年	3438	词表匹配	三年	也？"@庄王@曰："三年不蜚，蜚将冲天；三年	时间
040_楚世家	三年	三年	3448	词表匹配	三年	三年不蜚，蜚将冲天；三年不鸣，鸣将惊人。举退	时间
040_楚世家	数月	数月	3469	词表匹配	数月	退矣，吾知之矣。"居数月，淫益甚。$大夫$@	时间
040_楚世家	数百人	数百人	3528	词表匹配	数百人	罢淫乐，听政，所诛者数百人，所进者数百人，任@	时间
040_楚世家	数百人	数百人	3535	词表匹配	数百人	所诛者数百人，所进者数百人，任@伍举@、@苏从	时间
040_楚世家	百乘	百乘	3576	词表匹配	百乘	年%，伐&宋&，获五百乘。↵↵## 问鼎中原	时间
040_楚世家	问鼎中原	问鼎中原	3584	词表匹配	问鼎中原	获五百乘。↵↵## 问鼎中原↵↵[26.29] 	event
040_楚世家	九牧	九牧	3737	词表匹配	九牧	，远方皆至，贡*金*九牧，铸*鼎*象物，百物	制度
040_楚世家	伐陈杀夏徵舒复国陈	伐陈杀夏徵舒复国陈	3949	词表匹配	伐陈杀夏徵舒复国陈	灭&舒&。↵↵## 伐陈杀夏徵舒复国陈↵↵[28.31] 	event
040_楚世家	牵牛	牵牛	4039	词表匹配	牵牛	问，对曰："鄙语曰，牵牛径人田，田主取其牛。	天文
040_楚世家	臣妾	臣妾	4218	词表匹配	臣妾	！宾之=南海=，若以臣妾赐诸侯，亦惟命是听。	器物
040_楚世家	社稷	社稷	4253	词表匹配	社稷	桓@、@武@，不绝其社稷，使改事君，孤之原也	制度
040_楚世家	三十里	三十里	4335	词表匹配	三十里	*，左右麾军，引兵去三十里而舍，遂许之平。@潘	时间
040_楚世家	河上	河上	4388	词表匹配	河上	楚&战，大败&晋&师河上，遂至=衡雍=而归。	地名
040_楚世家	围宋五月	围宋五月	4405	词表匹配	围宋五月	雍=而归。↵↵## 围宋五月↵↵[30.33] 	event
040_楚世家	周庄王	庄王	4496	词表匹配	庄王	遂罢兵去。↵↵## 庄王卒共王立↵↵[31.	人名
040_楚世家	周共王	共王	4499	词表匹配	共王	去。↵↵## 庄王卒共王立↵↵[31.34]	人名
040_楚世家	鄢陵之战	鄢陵之战	4540	词表匹配	鄢陵之战	@审@立。↵↵## 鄢陵之战↵↵[32.35] 	event
040_楚世家	周康王	康王	4666	词表匹配	康王	遂罢兵归。↵↵## 康王至郏敖↵↵[33.3	人名
040_楚世家	郏敖	郏敖	4669	词表匹配	郏敖	归。↵↵## 康王至郏敖↵↵[33.36] 	人名
040_楚世家	公子围	公子围	4734	词表匹配	公子围	@郏敖@。↵↵## 公子围弑郏敖↵↵[34.3	人名
040_楚世家	郏敖	郏敖	4738	词表匹配	郏敖	。↵↵## 公子围弑郏敖↵↵[34.37] 	人名
040_楚世家	公子围	公子围	4795	词表匹配	公子围	，以其季父@康王弟@公子围@为$令尹$，主兵事	人名
040_楚世家	灵王会诸侯于申	灵王会诸侯于申	4949	词表匹配	灵王会诸侯于申	@灵王@。↵↵## 灵王会诸侯于申↵↵[35.38] 	event
040_楚世家	方与	方与	5255	词表匹配	方与	终！"↵↵## 灭朱方与章华台↵↵[36.3	地名
040_楚世家	章华台	章华台	5257	词表匹配	章华台	"↵↵## 灭朱方与章华台↵↵[36.39] 	地名
040_楚世家	周灵王	灵王	5384	词表匹配	灵王	@而代之立！"於是@灵王@使疾杀之。↵↵[3	人名
040_楚世家	灵王求九鼎	灵王求九鼎	5500	词表匹配	灵王求九鼎	&蔡&公。↵↵## 灵王求九鼎↵↵[38.42] 	event
040_楚世家	先王	先王	5615	词表匹配	先王	："其予君王哉！昔我先王@熊绎@辟在=荆山=	官职
040_楚世家	天子	天子	5644	词表匹配	天子	处草莽，跋涉山林以事天子，唯是*桃弧棘矢*以	官职
040_楚世家	周共王	共王	5656	词表匹配	共王	，唯是*桃弧棘矢*以共王事。&齐&，王舅也；	人名
040_楚世家	千乘	千乘	5830	词表匹配	千乘	蔡&、=不羹=，赋皆千乘，诸侯畏我乎？"对曰	地名
