章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
041_越王句践世家	越王勾践	越王句践	6	词表匹配	越王句践	# [0] 越王句践世家↵↵## 越国起	人名
041_越王句践世家	世家	世家	10	词表匹配	世家	# [0] 越王句践世家↵↵## 越国起源与	器物
041_越王句践世家	允常	允常	22	词表匹配	允常	↵↵## 越国起源与允常时期↵↵### 句践	人名
041_越王句践世家	越王勾践	句践	32	词表匹配	句践	允常时期↵↵### 句践家世↵↵[1.1] 	人名
041_越王句践世家	允常	允常	171	词表匹配	允常	声也。"↵↵### 允常与吴战↵↵[2.1]	人名
041_越王句践世家	槜李之战	槜李之战	251	词表匹配	槜李之战	争霸初期↵↵### 槜李之战↵↵[3.1] %元	event
041_越王句践世家	三行	三行	313	词表匹配	三行	$句践$使死士挑战，三行，至&吴&陈，呼而自	制度
041_越王句践世家	夫椒之败	夫椒之败	418	词表匹配	夫椒之败	越&。"↵↵### 夫椒之败↵↵[4.1] %三	event
041_越王句践世家	上帝	上帝	534	词表匹配	上帝	用凶器，试身於所末，上帝禁之，行者不利。"↵	神话
041_越王句践世家	五千人	五千人	630	词表匹配	五千人	] $越王$乃以馀兵五千人保栖於=会稽=。↵↵	时间
041_越王句践世家	会稽	会稽	663	词表匹配	会稽	追而围之。↵↵## 会稽之耻↵↵### 范蠡	地名
041_越王句践世家	范蠡	范蠡	673	词表匹配	范蠡	会稽之耻↵↵### 范蠡献策↵↵[5.1] 	人名
041_越王句践世家	文种求和	文种求和	799	词表匹配	文种求和	"诺。"↵↵### 文种求和↵↵[6.1] 乃令	event
041_越王句践世家	陪臣	陪臣	849	词表匹配	陪臣	君王$亡臣@句践@使陪臣@种@敢告下执事：@	官职
041_越王句践世家	太宰嚭	太宰嚭	955	词表匹配	太宰嚭	句践@。↵↵### 太宰嚭受贿↵↵[7.1] 	人名
041_越王句践世家	五千人	五千人	1168	词表匹配	五千人	子，燔其*宝器*，悉五千人触战，必有当也。"↵	时间
041_越王句践世家	伍子胥	子胥	1230	词表匹配	子胥	利也。"↵↵### 子胥谏阻↵↵[8.1] 	人名
041_越王句践世家	卧薪尝胆	卧薪尝胆	1462	词表匹配	卧薪尝胆	为福乎？"↵↵## 卧薪尝胆↵↵### 苦身焦思	event
041_越王句践世家	夫人	夫人	1576	词表匹配	夫人	0.3] 身自耕作，夫人自织，食不加肉，衣不	人名
041_越王句践世家	逢同献策	逢同献策	1764	词表匹配	逢同献策	@蠡@。↵↵### 逢同献策↵↵[12.1] @	event
041_越王句践世家	子胥殉国	子胥殉国	2023	词表匹配	子胥殉国	伐吴复仇↵↵### 子胥殉国↵↵[13.1] 居	event
041_越王句践世家	黄池	黄池	2747	词表匹配	黄池	灭吴称霸↵↵### 黄池会盟↵↵[14.1]	地名
041_越王句践世家	千人	千人	2921	词表匹配	千人	4.5] 乃发习流二千人，教士四万人，君子六	时间
041_越王句践世家	万人	万人	2927	词表匹配	万人	发习流二千人，教士四万人，君子六千人，诸御千	时间
041_越王句践世家	千人	千人	2933	词表匹配	千人	，教士四万人，君子六千人，诸御千人，伐&吴&	时间
041_越王句践世家	千人	千人	2938	词表匹配	千人	人，君子六千人，诸御千人，伐&吴&。↵↵[1	时间
041_越王句践世家	一旦	一旦	3418	词表匹配	一旦	？谋之%二十二年%，一旦而弃之，可乎？且夫天	时间
041_越王句践世家	中原	中原	3721	词表匹配	中原	嚭$。↵↵## 称霸中原↵↵### 会盟徐州	地名
041_越王句践世家	徐州	徐州	3731	词表匹配	徐州	中原↵↵### 会盟徐州↵↵[16.1] @	地名
041_越王句践世家	上地	上地	3840	词表匹配	上地	渡=淮=南，以=淮=上地与&楚&，归&吴&所	地名
041_越王句践世家	百里	百里	3871	词表匹配	百里	，与&鲁&=泗东=方百里。↵↵[16.4] 	人名
041_越王句践世家	范蠡去国	范蠡去国	3921	词表匹配	范蠡去国	霸王$。↵↵### 范蠡去国↵↵[17.1] @	event
