章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
042_郑世家	世家	世家	7	词表匹配	世家	# [0] 郑世家↵↵## 桓公封郑↵	器物
042_郑世家	郑桓公	桓公	14	词表匹配	桓公	] 郑世家↵↵## 桓公封郑↵↵### 桓公	人名
042_郑世家	郑桓公	桓公	24	词表匹配	桓公	桓公封郑↵↵### 桓公受封↵↵[1.1] 	人名
042_郑世家	太史伯	太史伯	174	词表匹配	太史伯	便思之。↵↵### 太史伯谋↵↵[2.1] 为	官职
042_郑世家	西方	西方	547	词表匹配	西方	曰：↵↵> "吾欲居西方，何如？"↵↵[2.	地名
042_郑世家	鲁武公	武公	908	词表匹配	武公	$武公$。↵↵## 武公庄公时期↵↵### 	人名
042_郑世家	郑庄公	庄公	910	词表匹配	庄公	公$。↵↵## 武公庄公时期↵↵### 武姜	人名
042_郑世家	武姜	武姜	920	词表匹配	武姜	庄公时期↵↵### 武姜生子↵↵[4.1] 	人名
042_郑世家	夫人	夫人	948	词表匹配	夫人	年%，娶@申侯@女为夫人，曰@武姜@。↵↵[	人名
042_郑世家	夫人	夫人	982	词表匹配	夫人	生$，生之难，及生，夫人弗爱。↵↵[4.3]	人名
042_郑世家	夫人	夫人	1010	词表匹配	夫人	叔段@，@段@生易，夫人爱之。↵↵[4.4]	人名
042_郑世家	夫人	夫人	1044	词表匹配	夫人	疾。↵↵[4.5] 夫人请公，欲立@段@为$	人名
042_郑世家	共叔段之乱	共叔段之乱	1100	词表匹配	共叔段之乱	庄公$。↵↵### 共叔段之乱↵↵[5.1] $庄	event
042_郑世家	掘地见母	掘地见母	1356	词表匹配	掘地见母	=共=。↵↵### 掘地见母↵↵[6.1] 於是	event
042_郑世家	岁馀	岁馀	1416	词表匹配	岁馀	"↵↵[6.2] 居岁馀，已悔思母。↵↵[6	时间
042_郑世家	郑庄公	庄公	1566	词表匹配	庄公	之，见母。↵↵## 庄公称霸↵↵### 侵周	人名
042_郑世家	天子	天子	1932	词表匹配	天子	"犯长且难之，况敢陵天子乎？"↵↵[7.12	官职
042_郑世家	太子忽	太子忽	1974	词表匹配	太子忽	问王疾。↵↵### 太子忽辞婚↵↵[8.1] 	人名
042_郑世家	齐昭公	昭公	2166	词表匹配	昭公	子亹@也。↵↵## 昭公厉公之争↵↵### 	人名
042_郑世家	郑厉公	厉公	2168	词表匹配	厉公	@也。↵↵## 昭公厉公之争↵↵### 庄公	人名
042_郑世家	郑庄公	庄公	2178	词表匹配	庄公	厉公之争↵↵### 庄公身后↵↵[9.1] 	人名
042_郑世家	祭仲	祭仲	2275	词表匹配	祭仲	昭公$。↵↵### 祭仲立突↵↵[10.1]	人名
042_郑世家	雍纠之死	雍纠之死	2534	词表匹配	雍纠之死	厉公$。↵↵### 雍纠之死↵↵[11.1] $	event
042_郑世家	高渠弥	高渠弥	2807	词表匹配	高渠弥	，即位。↵↵### 高渠弥弑君↵↵[12.1]	人名
042_郑世家	子亹	子亹	3103	词表匹配	子亹	，无谥号。↵↵## 子亹郑子之立↵↵### 	人名
042_郑世家	郑子	郑子	3105	词表匹配	郑子	谥号。↵↵## 子亹郑子之立↵↵### 子亹	官职
042_郑世家	子亹	子亹	3115	词表匹配	子亹	郑子之立↵↵### 子亹被杀↵↵[14.1]	人名
042_郑世家	厉公复入	厉公复入	3474	词表匹配	厉公复入	桓公$。↵↵### 厉公复入↵↵[15.1] $	event
042_郑世家	人臣	人臣	3852	词表匹配	人臣	↵> "事君无二心，人臣之职也。原知罪矣。"	官职
042_郑世家	郑厉公	厉公	3965	词表匹配	厉公	然哉！"↵↵### 厉公复立↵↵[17.1]	人名
042_郑世家	周文公	文公	4240	词表匹配	文公	十八年%。↵↵## 文公缪公时期↵↵### 	人名
042_郑世家	缪公	缪公	4242	词表匹配	缪公	年%。↵↵## 文公缪公时期↵↵### 文公	人名
042_郑世家	周文公	文公	4252	词表匹配	文公	缪公时期↵↵### 文公无礼↵↵[18.1]	人名
042_郑世家	周襄王	襄王	4611	词表匹配	襄王	$弗听。↵↵### 襄王出奔↵↵[20.1]	人名
042_郑世家	周文公	文公	4909	词表匹配	文公	=成周=。↵↵## 文公末年↵↵### 晋秦	人名
042_郑世家	晋秦围郑	晋秦围郑	4919	词表匹配	晋秦围郑	文公末年↵↵### 晋秦围郑↵↵[21.1] %	event
042_郑世家	夫人	夫人	5053	词表匹配	夫人	 初，$郑文公$有三夫人，宠子五人，皆以罪蚤	人名
042_郑世家	夫人	夫人	5522	词表匹配	夫人	子兰@母，其後也。且夫人子尽已死，馀庶子无如	人名
042_郑世家	缪公	缪公	5602	词表匹配	缪公	乃罢去。↵↵### 缪公即位↵↵[22.1]	人名
042_郑世家	弑其父	弑其父	5829	词表匹配	弑其父	楚&$太子$$商臣$弑其父$成王$代立。↵↵[	官职
042_郑世家	晋灵公	灵公	6003	词表匹配	灵公	$灵公$。↵↵## 灵公襄公时期↵↵### 	人名
042_郑世家	秦襄公	襄公	6005	词表匹配	襄公	公$。↵↵## 灵公襄公时期↵↵### 染指	人名
042_郑世家	去疾	去疾	6282	词表匹配	去疾	灵公$。↵↵### 去疾让位↵↵[25.1]	人名
042_郑世家	秦襄公	襄公	6524	词表匹配	襄公	$大夫$。↵↵## 襄公降楚↵↵### 肉袒	人名
042_郑世家	社稷	社稷	6871	词表匹配	社稷	$武公$，哀不忍绝其社稷，锡不毛之地，使复得	制度
042_郑世家	三十里	三十里	6928	词表匹配	三十里	.4] $庄王$为卻三十里而後舍。↵↵[27.	时间
042_郑世家	秦襄公	襄公	7218	词表匹配	襄公	&楚&也。↵↵## 襄公晚年↵↵### 解扬	人名
042_郑世家	解扬	解扬	7228	词表匹配	解扬	襄公晚年↵↵### 解扬守信↵↵[28.1]	人名
042_郑世家	人臣	人臣	7691	词表匹配	人臣	&军曰：↵↵> "为人臣无忘尽忠得死者！"↵	官职
042_郑世家	悼公成	悼公成	7792	词表匹配	悼公成	$晞$立。↵↵## 悼公成公时期↵↵### 悼	人名
042_郑世家	晋悼公	悼公	7804	词表匹配	悼公	成公时期↵↵### 悼公短命↵↵[29.1]	人名
042_郑世家	晋成公	成公	8003	词表匹配	成公	成公$。↵↵### 成公两属↵↵[30.1]	人名
042_郑世家	齐釐公	釐公	8489	词表匹配	釐公	$釐公$。↵↵## 釐公简公时期↵↵### 	人名
042_郑世家	齐简公	简公	8491	词表匹配	简公	公$。↵↵## 釐公简公时期↵↵### 子驷	人名
042_郑世家	子驷	子驷	8501	词表匹配	子驷	简公时期↵↵### 子驷弑君↵↵[32.1]	人名
042_郑世家	田不礼	不礼	8541	词表匹配	不礼	朝$釐公$，$釐公$不礼。↵↵[32.2] 	人名
042_郑世家	厨人	厨人	8560	词表匹配	厨人	2] @子驷@怒，使厨人药杀$釐公$，赴诸侯	器物
042_郑世家	子孔	子孔	8630	词表匹配	子孔	简公$。↵↵### 子孔专权↵↵[33.1]	人名
042_郑世家	子产	子产	8996	词表匹配	子产	郑&使者。↵↵## 子产执政↵↵### 子产	人名
042_郑世家	执政	执政	8998	词表匹配	执政	使者。↵↵## 子产执政↵↵### 子产为卿	官职
042_郑世家	子产	子产	9006	词表匹配	子产	子产执政↵↵### 子产为卿↵↵[34.1]	人名
042_郑世家	而以	而以	9042	词表匹配	而以	子孔@专国权，诛之，而以@子产@为$卿$。↵	人名
042_郑世家	执政	执政	9169	词表匹配	执政	：↵↵> "&郑&之执政者侈，难将至，政将及	官职
042_郑世家	子产	子产	9319	词表匹配	子产	 乃止。↵↵### 子产博识↵↵[35.1]	人名
042_郑世家	史官	史官	9394	词表匹配	史官	沈!、〚台骀〛为祟，史官莫知，敢问？"↵↵[	官职
042_郑世家	大泽	大泽	9715	词表匹配	大泽	宣=汾=、=洮=，障大泽，以处=太原=。帝用	地名
042_郑世家	申不害	不害	9795	词表匹配	不害	=洮=神也。然是二者不害君身。山川之神，则水	人名
042_郑世家	山川	山川	9800	词表匹配	山川	。然是二者不害君身。山川之神，则水旱之菑禜之	地名
042_郑世家	齐简公	简公	9906	词表匹配	简公	子产@。↵↵### 简公终年↵↵[36.1]	人名
042_郑世家	终年	终年	9908	词表匹配	终年	@。↵↵### 简公终年↵↵[36.1] %	时间
042_郑世家	晋定公	定公	10080	词表匹配	定公	晋昭公$。↵↵## 定公献公时期↵↵### 	人名
042_郑世家	秦献公	献公	10082	词表匹配	献公	公$。↵↵## 定公献公时期↵↵### 定公	人名
042_郑世家	晋定公	定公	10092	词表匹配	定公	献公时期↵↵### 定公初立↵↵[37.1]	人名
042_郑世家	太子建	太子建	10309	词表匹配	太子建	修德。"↵↵### 太子建奔郑↵↵[38.1]	人名
042_郑世家	声公	声公	10560	词表匹配	声公	郑&遂弱。↵↵## 声公以降↵↵### 子产	人名
042_郑世家	子产	子产	10570	词表匹配	子产	声公以降↵↵### 子产之死↵↵[39.1]	人名
042_郑世家	郑国	郑国	10951	词表匹配	郑国	，取九邑。↵↵## 郑国末世↵↵### 末世	人名
042_郑世家	韩灭郑国	韩灭郑国	11406	词表匹配	韩灭郑国	郑君$。↵↵### 韩灭郑国↵↵[43.1] $	event
