章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
043_赵世家	世家	世家	7	词表匹配	世家	# 043 赵世家↵↵## 标题↵@赵	器物
043_赵世家	世家	世家	20	词表匹配	世家	↵## 标题↵@赵@世家↵↵## [1] 赵	器物
043_赵世家	赵氏起源	赵氏起源	31	词表匹配	赵氏起源	家↵↵## [1] 赵氏起源与秦同祖↵↵[1.1	event
043_赵世家	二人	二人	86	词表匹配	二人	。其後世@蜚廉@有子二人，而命其一子曰@恶来	时间
043_赵世家	巡狩	巡狩	272	词表匹配	巡狩	@$使@造父@御，西巡狩，见〚西王母〛，乐之	制度
043_赵世家	六世	六世	355	词表匹配	六世	3] 自@造父@已下六世至@奄父@，曰$@公	时间
043_赵世家	五世	五世	490	词表匹配	五世	以下，@赵@宗益兴，五世而至@赵夙@。↵↵#	时间
043_赵世家	赵夙	赵夙	508	词表匹配	赵夙	。↵↵## [2] 赵夙至赵衰↵↵[2.1]	人名
043_赵世家	赵衰	赵衰	511	词表匹配	赵衰	## [2] 赵夙至赵衰↵↵[2.1] @赵	人名
043_赵世家	而以	而以	971	词表匹配	而以	之妻固要迎&翟&妻，而以其子@盾@为適嗣，&	人名
043_赵世家	大夫	大夫	1142	词表匹配	大夫	赵盾@患之，恐其宗与大夫袭诛之，乃遂立$太子	官职
043_赵世家	赵盾	赵盾	1210	词表匹配	赵盾	。↵↵## [3] 赵盾与晋灵公↵↵[3.1	人名
043_赵世家	晋灵公	晋灵公	1213	词表匹配	晋灵公	## [3] 赵盾与晋灵公↵↵[3.1] $@	人名
043_赵世家	下宫之难	下宫之难	1460	词表匹配	下宫之难	。↵↵## [4] 下宫之难与赵氏孤儿↵↵[4.	制度
043_赵世家	赵氏	赵氏	1465	词表匹配	赵氏	 [4] 下宫之难与赵氏孤儿↵↵[4.1] 	人名
043_赵世家	夫人	夫人	1539	词表匹配	夫人	娶$@晋成公@$姊为夫人。↵↵[4.2] $	人名
043_赵世家	夫人	夫人	2077	词表匹配	夫人	贾@闻之，索於宫中。夫人置兒*绔*中，祝曰：	人名
043_赵世家	二人	二人	2222	词表匹配	二人	其易者，请先死。"乃二人谋取他人婴兒负之，衣	时间
043_赵世家	千金	千金	2276	词表匹配	千金	立@赵@孤。谁能与我千金，吾告@赵@氏孤处。	器物
043_赵世家	兒良	兒良	2425	词表匹配	兒良	。诸将以为@赵@氏孤兒良已死，皆喜。然@赵@	人名
043_赵世家	大业	大业	2482	词表匹配	大业	晋景公@$疾，卜之，大业之後不遂者为祟。$@	人名
043_赵世家	大业	大业	2518	词表匹配	大业	@赵@孤在，乃曰："大业之後在&晋&绝祀者，	人名
043_赵世家	天子	天子	2577	词表匹配	天子	@大戊@$，及&周&天子，皆有明德。下及$@	官职
043_赵世家	大夫	大夫	2919	词表匹配	大夫	成人，@程婴@乃辞诸大夫，谓@赵武@曰："昔	官职
043_赵世家	春秋	春秋	3090	词表匹配	春秋	%三年%，为之祭邑，春秋祠之，世世勿绝。↵↵	时间
