章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
046_田敬仲完世家	田敬仲完	田敬仲完	6	词表匹配	田敬仲完	# 046 田敬仲完世家↵↵## 标题↵	人名
046_田敬仲完世家	世家	世家	10	词表匹配	世家	# 046 田敬仲完世家↵↵## 标题↵@田	器物
046_田敬仲完世家	世家	世家	26	词表匹配	世家	 标题↵@田敬仲完@世家↵↵## [1] 陈	器物
046_田敬仲完世家	陈完出生与预言	陈完出生与预言	37	词表匹配	陈完出生与预言	家↵↵## [1] 陈完出生与预言↵↵[1.1] @陈	event
046_田敬仲完世家	观之否	观之否	102	词表匹配	观之否	@$使卜@完@，卦得观之否："是为观国之光，利	制度
046_田敬仲完世家	观国之光	观国之光	109	词表匹配	观国之光	，卦得观之否："是为观国之光，利用宾于王。此其代	制度
046_田敬仲完世家	陈厉公之乱	陈厉公之乱	199	词表匹配	陈厉公之乱	"↵↵## [2] 陈厉公之乱↵↵[2.1] $@	event
046_田敬仲完世家	陈完奔齐	陈完奔齐	489	词表匹配	陈完奔齐	。↵↵## [3] 陈完奔齐↵↵[3.1] $@	event
046_田敬仲完世家	田氏	田氏	795	词表匹配	田氏	。↵↵## [4] 田氏世代↵↵[4.1] 	人名
046_田敬仲完世家	田釐子行阴德	田釐子行阴德	978	词表匹配	田釐子行阴德	。↵↵## [5] 田釐子行阴德↵↵[5.1] $@	event
046_田敬仲完世家	阴德	阴德	1064	词表匹配	阴德	禀予民以大*斗*，行阴德於民，而$@景公@$	天文
046_田敬仲完世家	田乞立阳生	田乞立阳生	1293	词表匹配	田乞立阳生	。↵↵## [6] 田乞立阳生↵↵[6.1] $@	event
046_田敬仲完世家	田成子常	田成子	2054	词表匹配	田成子	。↵↵## [7] 田成子专权↵↵[7.1] 	人名
046_田敬仲完世家	率其徒攻	率其徒攻	2569	词表匹配	率其徒攻	击@子我@。@子我@率其徒攻@田@氏，不胜，出亡	人名
046_田敬仲完世家	田常自封	田常自封	2763	词表匹配	田常自封	。↵↵## [8] 田常自封↵↵[8.1] $@	event
046_田敬仲完世家	刑罚	刑罚	2897	词表匹配	刑罚	人之所欲，君其行之；刑罚人之所恶，臣请行之。	制度
046_田敬仲完世家	公族	公族	2955	词表匹配	公族	、@晏@、@监止@及公族之彊者，而割&齐&自	制度
046_田敬仲完世家	子长	子长	3020	词表匹配	子长	@$乃选&齐&国中女子长七尺以上为後宫，後宫	人名
046_田敬仲完世家	七尺	七尺	3022	词表匹配	七尺	乃选&齐&国中女子长七尺以上为後宫，後宫以百	时间
046_田敬仲完世家	舍人	舍人	3040	词表匹配	舍人	後宫以百数，而使宾客舍人出入後宫者不禁。及$	人名
046_田敬仲完世家	七十馀	七十馀	3060	词表匹配	七十馀	及$@田常@$卒，有七十馀男。↵↵[8.4] 	时间
046_田敬仲完世家	田氏	田氏	3118	词表匹配	田氏	。↵↵## [9] 田氏势强↵↵[9.1] 	人名
046_田敬仲完世家	明年	明年	3273	词表匹配	明年	黄城=，围=阳狐=。明年，伐&鲁&、=葛=及	时间
046_田敬仲完世家	明年	明年	3290	词表匹配	明年	、=葛=及=安陵=。明年，取&鲁&之一城。↵	时间
046_田敬仲完世家	明年	明年	3365	词表匹配	明年	，取&鲁&之=郕=。明年，$@宣公@$与&郑	时间
046_田敬仲完世家	田和代齐	田和代齐	3433	词表匹配	田和代齐	↵↵## [10] 田和代齐↵↵[10.1] $	event
046_田敬仲完世家	明年	明年	3518	词表匹配	明年	食一城，以奉其先祀。明年，&鲁&败&齐&=平	时间
046_田敬仲完世家	齐侯	齐侯	3663	词表匹配	齐侯	↵↵## [11] 齐侯太公与桓公↵↵[11	人名
046_田敬仲完世家	太公	太公	3665	词表匹配	太公	## [11] 齐侯太公与桓公↵↵[11.1	人名
046_田敬仲完世家	郑桓公	桓公	3668	词表匹配	桓公	[11] 齐侯太公与桓公↵↵[11.1] $	人名
046_田敬仲完世家	齐威王	齐威王	4023	词表匹配	齐威王	↵↵## [12] 齐威王初期↵↵[12.1]	人名
046_田敬仲完世家	齐威王	威王	4157	词表匹配	威王	↵↵## [13] 威王选贤任能↵↵[13.	人名
046_田敬仲完世家	东方	东方	4273	词表匹配	东方	，民人给，官无留事，东方以宁。是子不事吾左右	地名
046_田敬仲完世家	万家	万家	4293	词表匹配	万家	左右以求誉也。"封之万家。召$=阿=大夫$语	时间
046_田敬仲完世家	驺忌鼓琴见威王	驺忌鼓琴见威王	4518	词表匹配	驺忌鼓琴见威王	↵↵## [14] 驺忌鼓琴见威王↵↵[14.1] $	event
046_田敬仲完世家	四时	四时	4693	词表匹配	四时	益，回邪而不相害者，四时也：吾是以知其善也。	时间
046_田敬仲完世家	四时	四时	4856	词表匹配	四时	益，回邪而不相害者，四时也。夫复而不乱者，所	时间
046_田敬仲完世家	淳于髡	淳于髡	4931	词表匹配	淳于髡	↵↵## [15] 淳于髡与驺忌↵↵[15.1	人名
046_田敬仲完世家	驺忌	驺忌	4935	词表匹配	驺忌	 [15] 淳于髡与驺忌↵↵[15.1] $	人名
046_田敬仲完世家	魏惠王论宝	魏惠王论宝	5355	词表匹配	魏惠王论宝	↵↵## [16] 魏惠王论宝↵↵[16.1] $	event
046_田敬仲完世家	北门	北门	5609	词表匹配	北门	徐州=，则&燕&人祭北门，@赵@人祭西门，徙	地名
046_田敬仲完世家	千馀家	千馀家	5625	词表匹配	千馀家	人祭西门，徙而从者七千馀家。吾臣有@种首@者，	时间
046_田敬仲完世家	千里	千里	5652	词表匹配	千里	，则道不拾遗。将以照千里，岂特十二乘哉！"$	时间
046_田敬仲完世家	桂陵之战	桂陵之战	5687	词表匹配	桂陵之战	↵↵## [17] 桂陵之战↵↵[17.1] %	event
046_田敬仲完世家	而乘	而乘	5873	词表匹配	而乘	弊@魏@，=邯郸=拔而乘@魏@之弊。"$@威	器物
046_田敬仲完世家	齐宣王	齐宣王	6268	词表匹配	齐宣王	↵↵## [18] 齐宣王时期↵↵[18.1]	人名
046_田敬仲完世家	明年	明年	6737	词表匹配	明年	王@$会=平阿南=。明年，复会=甄=。$@魏	时间
046_田敬仲完世家	明年	明年	6755	词表匹配	明年	。$@魏惠王@$卒。明年，与$@魏襄王@$会	时间
046_田敬仲完世家	诸侯相	诸侯相	6772	词表匹配	诸侯相	襄王@$会=徐州=，诸侯相王也。%十年%，&楚	官职
046_田敬仲完世家	稷下学宫	稷下学宫	6856	词表匹配	稷下学宫	↵↵## [19] 稷下学宫↵↵[19.1] $	event
046_田敬仲完世家	文学	文学	6876	词表匹配	文学	1] $@宣王@$喜文学游说之士，自如@驺衍	官职
046_田敬仲完世家	数百	数百	6955	词表匹配	数百	=稷下=学士复盛，且数百千人。↵↵[19.2	时间
046_田敬仲完世家	千人	千人	6957	词表匹配	千人	下=学士复盛，且数百千人。↵↵[19.2] 	时间
046_田敬仲完世家	齐湣王	齐湣王	7003	词表匹配	齐湣王	↵↵## [20] 齐湣王时期↵↵[20.1]	人名
046_田敬仲完世家	田轸	田轸	7108	词表匹配	田轸	↵↵## [21] 田轸之谋↵↵[21.1]	人名
046_田敬仲完世家	利公	利公	7179	词表匹配	利公	其为事甚完，使&楚&利公，成为福，不成亦为福	人名
046_田敬仲完世家	苏代	苏代	8045	词表匹配	苏代	↵↵## [22] 苏代谏帝号↵↵[22.1	人名
046_田敬仲完世家	东门	东门	8103	词表匹配	东门	&齐&，见於=章华=东门。$齐王$曰："嘻，	地名
