章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
047_孔子世家	孔子	孔子	6	词表匹配	孔子	# 047 孔子世家↵↵## 标题↵	人名
047_孔子世家	世家	世家	8	词表匹配	世家	# 047 孔子世家↵↵## 标题↵@孔	器物
047_孔子世家	世家	世家	22	词表匹配	世家	## 标题↵@孔子@世家↵↵## [1] 孔	器物
047_孔子世家	孔子	孔子	33	词表匹配	孔子	家↵↵## [1] 孔子的出生与家世↵↵[1	人名
047_孔子世家	问礼老子	问礼老子	794	词表匹配	问礼老子	。↵↵## [3] 问礼老子↵↵[3.1] &鲁	event
047_孔子世家	人臣	人臣	973	词表匹配	人臣	为人子者毋以有己，为人臣者毋以有己。""@孔	官职
047_孔子世家	中国	中国	1062	词表匹配	中国	楚灵王@$兵彊，陵轹中国；&齐&大而近於&鲁	地名
047_孔子世家	齐景公问政	齐景公问政	1130	词表匹配	齐景公问政	。↵↵## [5] 齐景公问政↵↵[5.1] &鲁	event
047_孔子世家	中正	中正	1244	词表匹配	中正	，其志大；处虽辟，行中正。身举@五羖@，爵之	官职
047_孔子世家	初適齐国	初適齐国	1312	词表匹配	初適齐国	。↵↵## [6] 初適齐国↵↵[6.1] @孔	event
047_孔子世家	儒者	儒者	1669	词表匹配	儒者	。@晏婴@进曰："夫儒者滑稽而不可轨^法^；	制度
047_孔子世家	厚葬	厚葬	1699	词表匹配	厚葬	为下；崇丧遂哀，破产厚葬，不可以为俗；游说乞	制度
047_孔子世家	鲁定公	鲁定公	1932	词表匹配	鲁定公	。↵↵## [7] 鲁定公时期↵↵[7.1] 	人名
047_孔子世家	山川	山川	2244	词表匹配	山川	"$@仲尼@$曰："山川之〚神〛足以纲纪天下	地名
047_孔子世家	社稷	社稷	2264	词表匹配	社稷	天下，其守为〚神〛，社稷为公侯，皆属於王者。	制度
047_孔子世家	公侯	公侯	2267	词表匹配	公侯	其守为〚神〛，社稷为公侯，皆属於王者。"客曰	官职
047_孔子世家	三尺	三尺	2383	词表匹配	三尺	@$曰："~僬侥氏~三尺，短之至也。长者不过	制度
047_孔子世家	阳虎之乱	阳虎之乱	2428	词表匹配	阳虎之乱	"↵↵## [8] 阳虎之乱↵↵[8.1] $@	event
047_孔子世家	陪臣	陪臣	2554	词表匹配	陪臣	季氏@$亦僭於公室，陪臣执国政，是以&鲁&自	官职
047_孔子世家	杨得意	得意	2639	词表匹配	得意	年%，@公山不狃@不得意於$@季氏@$，因@	人名
047_孔子世家	东周	东周	2871	词表匹配	东周	岂徒哉？如用我，其为东周乎！"然亦卒不行。↵	朝代
047_孔子世家	出仕为政	出仕为政	2891	词表匹配	出仕为政	。↵↵## [9] 出仕为政↵↵[9.1] 其後	event
047_孔子世家	有司	有司	3188	词表匹配	有司	酬之^礼^毕，&齐&有司趋而进曰："请奏四方	官职
047_孔子世家	有司	有司	3284	词表匹配	有司	*乐*何为於此！请命有司！"有司卻之，不去，	官职
047_孔子世家	有司	有司	3288	词表匹配	有司	为於此！请命有司！"有司卻之，不去，则左右视	官职
047_孔子世家	有司	有司	3332	词表匹配	有司	而去之。有顷，&齐&有司趋而进曰："请奏宫中	官职
047_孔子世家	有司	有司	3408	词表匹配	有司	惑诸侯者罪当诛！请命有司！"有司加^法^焉，	官职
047_孔子世家	有司	有司	3412	词表匹配	有司	罪当诛！请命有司！"有司加^法^焉，手足异处	官职
047_孔子世家	有司	有司	3493	词表匹配	有司	鲁&君，为之柰何？"有司进对曰："君子有过则	官职
047_孔子世家	有过	有过	3502	词表匹配	有过	"有司进对曰："君子有过则谢以质，小人有过则	朝代
047_孔子世家	有过	有过	3511	词表匹配	有过	子有过则谢以质，小人有过则谢以文。君若悼之，	朝代
047_孔子世家	堕三都	堕三都	3574	词表匹配	堕三都	↵↵## [10] 堕三都↵↵[10.1] $	event
047_孔子世家	堕三都	堕三都	3649	词表匹配	堕三都	@季氏@$$宰$，将堕三都。於是$@叔孙氏@$	event
047_孔子世家	北门	北门	3828	词表匹配	北门	成=，&齐&人必至于北门。且=成=，$@孟氏	地名
047_孔子世家	有司	有司	4049	词表匹配	有司	四方之客至乎邑者不求有司，皆予之以归。↵↵[	官职
047_孔子世家	十人	十人	4147	词表匹配	十人	&齐&国中女子好者八十人，皆衣*文衣*而舞*	时间
047_孔子世家	十驷	十驷	4168	词表匹配	十驷	*康乐*，*文马*三十驷，遗&鲁&君。陈*女	时间
047_孔子世家	城南	城南	4191	词表匹配	城南	*、*文马*於&鲁&城南=高门=外，$@季桓	地名
047_孔子世家	道游	道游	4224	词表匹配	道游	受，乃语&鲁&君为周道游，往观终日，怠於政事	器物
047_孔子世家	终日	终日	4229	词表匹配	终日	鲁&君为周道游，往观终日，怠於政事。@子路@	时间
