章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
047_孔子世家	圣人	圣人	436	词表匹配	圣人	@$曰："@孔丘@，圣人之後，灭於&宋&。其	思想
047_孔子世家	圣人	圣人	556	词表匹配	圣人	口。"其恭如是。吾闻圣人之後，虽不当世，必有	思想
047_孔子世家	老子	老子	796	词表匹配	老子	↵## [3] 问礼老子↵↵[3.1] &鲁	典籍
047_孔子世家	富贵	富贵	893	词表匹配	富贵	老子@送之曰："吾闻富贵者送人以*财*，仁人	思想
047_孔子世家	富贵	富贵	914	词表匹配	富贵	人者送人以言。吾不能富贵，窃仁人之号，送子以	思想
047_孔子世家	天下	天下	2254	词表匹配	天下	山川之〚神〛足以纲纪天下，其守为〚神〛，社稷	思想
047_孔子世家	社稷	社稷	2264	词表匹配	社稷	天下，其守为〚神〛，社稷为公侯，皆属於王者。	礼仪
047_孔子世家	圣人	圣人	2415	词表匹配	圣人	是&吴&客曰："善哉圣人！"↵↵## [8]	思想
047_孔子世家	君子	君子	3456	词表匹配	君子	其群臣曰："&鲁&以君子之道辅其君，而子独以	思想
047_孔子世家	君子	君子	3500	词表匹配	君子	何？"有司进对曰："君子有过则谢以质，小人有	思想
047_孔子世家	君子	君子	3950	词表匹配	君子	有喜色。门人曰："闻君子祸至不惧，福至不喜。	思想
047_孔子世家	获罪	获罪	4607	词表匹配	获罪	一出一入。@孔子@恐获罪焉，居%十月%，去&	刑法
047_孔子世家	君子	君子	4961	词表匹配	君子	@孔子@曰："四方之君子不辱欲与寡君为兄弟者	思想
047_孔子世家	君子	君子	6414	词表匹配	君子	，"其身亲为不善者，君子不入也"。今@佛肸@	思想
047_孔子世家	阴阳	阴阳	7013	词表匹配	阴阳	泽涸渔则〚蛟龙〛不合阴阳，覆巢毁卵则〚凤皇〛	思想
047_孔子世家	君子	君子	7031	词表匹配	君子	〚凤皇〛不翔。何则？君子讳伤其类也。夫〘鸟〙	思想
047_孔子世家	获罪	获罪	7488	词表匹配	获罪	"昔此国几兴矣，以吾获罪於@孔子@，故不兴也	刑法
047_孔子世家	天下	天下	8194	词表匹配	天下	@桀溺@曰："悠悠者天下皆是也，而谁以易之？	思想
047_孔子世家	天下	天下	8262	词表匹配	天下	〙〘兽〙不可与同群。天下有道，@丘@不与易也	思想
047_孔子世家	君子	君子	8623	词表匹配	君子	。@子路@愠见曰："君子亦有穷乎？"@孔子@	思想
047_孔子世家	君子	君子	8638	词表匹配	君子	乎？"@孔子@曰："君子固穷，小人穷斯滥矣。	思想
047_孔子世家	天下	天下	8951	词表匹配	天下	"夫子之道至大也，故天下莫能容夫子。夫子盖少	思想
047_孔子世家	君子	君子	8998	词表匹配	君子	良工能巧而不能为顺。君子能脩其道，纲而纪之，	思想
047_孔子世家	天下	天下	9123	词表匹配	天下	："夫子之道至大，故天下莫能容。虽然，夫子推	思想
047_孔子世家	君子	君子	9149	词表匹配	君子	不容何病，不容然後见君子！夫道之不脩也，是吾	思想
047_孔子世家	君子	君子	9192	词表匹配	君子	不容何病，不容然後见君子！"@孔子@欣然而笑	思想
047_孔子世家	天下	天下	9518	词表匹配	天下	=镐=，百里之君卒王天下。今@孔丘@得据土壤	思想
047_孔子世家	君子	君子	10007	词表匹配	君子	则民无所错手足矣。夫君子为之必可名，言之必可	思想
047_孔子世家	君子	君子	10021	词表匹配	君子	必可名，言之必可行。君子於其言，无所苟而已矣	思想
047_孔子世家	宗庙	宗庙	11233	词表匹配	宗庙	恂恂似不能言者。其於宗庙朝廷，辩辩言，唯谨尔	礼仪
047_孔子世家	天道	天道	11515	词表匹配	天道	章，可得闻也。夫子言天道与性命，弗可得闻也已	思想
047_孔子世家	春秋	春秋	11977	词表匹配	春秋	↵## [32] 作春秋↵↵[32.1] 子	典籍
047_孔子世家	君子	君子	11997	词表匹配	君子	 子曰："弗乎弗乎，君子病没世而名不称焉。吾	思想
047_孔子世家	天下	天下	12183	词表匹配	天下	。^春秋^之义行，则天下乱臣贼子惧焉。↵↵[	思想
047_孔子世家	天下	天下	12414	词表匹配	天下	下。谓@子贡@曰："天下无道久矣，莫能宗予。	思想
047_孔子世家	葬礼	葬礼	12681	词表匹配	葬礼	↵↵## [35] 葬礼与纪念↵↵[35.1	礼仪
047_孔子世家	天下	天下	13480	词表匹配	天下	余祗回留之不能去云。天下君王至于贤人众矣，当	思想
