章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
048_陈涉世家	陈涉	陈涉	6	词表匹配	陈涉	# 048 陈涉世家↵↵## 标题↵	人名
048_陈涉世家	世家	世家	8	词表匹配	世家	# 048 陈涉世家↵↵## 标题↵@陈	器物
048_陈涉世家	世家	世家	22	词表匹配	世家	## 标题↵@陈涉@世家↵↵## [1] 陈	器物
048_陈涉世家	陈涉	陈涉	33	词表匹配	陈涉	家↵↵## [1] 陈涉与吴广↵↵[1.1]	人名
048_陈涉世家	吴广	吴广	36	词表匹配	吴广	## [1] 陈涉与吴广↵↵[1.1] @陈	人名
048_陈涉世家	大泽乡起义	大泽乡起义	177	词表匹配	大泽乡起义	"↵↵## [2] 大泽乡起义↵↵[2.1] $@	event
048_陈涉世家	将相	将相	790	词表匹配	将相	，死即举大名耳，王侯将相宁有种乎！"徒属皆曰	官职
048_陈涉世家	百乘	百乘	954	词表匹配	百乘	至&陈&，*车*六七百乘，骑千馀，卒数万人。	时间
048_陈涉世家	千馀	千馀	958	词表匹配	千馀	，*车*六七百乘，骑千馀，卒数万人。攻&陈&	时间
048_陈涉世家	数万人	数万人	962	词表匹配	数万人	六七百乘，骑千馀，卒数万人。攻&陈&，&陈&$	时间
048_陈涉世家	数日	数日	1011	词表匹配	数日	$死，乃入据&陈&。数日，号令召三老、豪杰与	时间
048_陈涉世家	三老	三老	1017	词表匹配	三老	&陈&。数日，号令召三老、豪杰与皆来会计事。	制度
048_陈涉世家	三老	三老	1029	词表匹配	三老	、豪杰与皆来会计事。三老、豪杰皆曰："$将军	制度
048_陈涉世家	社稷	社稷	1069	词表匹配	社稷	秦&，复立&楚&国之社稷，功宜为王。"@陈涉	制度
048_陈涉世家	各地响应	各地响应	1103	词表匹配	各地响应	。↵↵## [3] 各地响应↵↵[3.1] 当此	event
048_陈涉世家	长吏	长吏	1132	词表匹配	长吏	苦&秦&吏者，皆刑其长吏，杀之以应@陈涉@。	官职
048_陈涉世家	数千人	数千人	1219	词表匹配	数千人	=。当此时，&楚&兵数千人为聚者，不可胜数。↵	时间
048_陈涉世家	周文伐秦	周文伐秦	1397	词表匹配	周文伐秦	。↵↵## [4] 周文伐秦↵↵[4.1] @周	event
048_陈涉世家	千乘	千乘	1475	词表匹配	千乘	收兵至=关=，*车*千乘，卒数十万，至=戏=	地名
048_陈涉世家	数十万	数十万	1479	词表匹配	数十万	关=，*车*千乘，卒数十万，至=戏=，军焉。&	时间
048_陈涉世家	武臣立为赵王	武臣立为赵王	1606	词表匹配	武臣立为赵王	。↵↵## [5] 武臣立为赵王↵↵[5.1] @武	event
048_陈涉世家	张敖	张敖	1763	词表匹配	张敖	属宫中，而封@耳@子张敖@为$@成都君@$，	人名
048_陈涉世家	成都君	成都君	1769	词表匹配	成都君	@耳@子张敖@为$@成都君@$，趣@赵@兵亟入	官职
048_陈涉世家	赵王	赵王	1788	词表匹配	赵王	@兵亟入=关=。$@赵王@$$将相$相与谋曰	人名
048_陈涉世家	赵王	赵王	1925	词表匹配	赵王	以得志於天下。"$@赵王@$以为然，因不西兵	人名
048_陈涉世家	卒史	卒史	1947	词表匹配	卒史	，而遣故$=上谷=@卒史@韩广@$将兵北徇&	官职
048_陈涉世家	韩广立为燕王	韩广立为燕王	1972	词表匹配	韩广立为燕王	。↵↵## [6] 韩广立为燕王↵↵[6.1] &燕	event
048_陈涉世家	贵人	贵人	1990	词表匹配	贵人	[6.1] &燕&故贵人豪杰谓@韩广@曰："	官职
048_陈涉世家	数月	数月	2150	词表匹配	数月	乃自立为$燕王$。居数月，@赵@奉$燕王$母	时间
048_陈涉世家	周市	周市	2180	词表匹配	周市	。↵↵## [7] 周市与魏咎↵↵[7.1]	人名
048_陈涉世家	魏咎	魏咎	2183	词表匹配	魏咎	## [7] 周市与魏咎↵↵[7.1] 当此	人名
048_陈涉世家	田臧杀吴叔	田臧杀吴叔	2385	词表匹配	田臧杀吴叔	。↵↵## [8] 田臧杀吴叔↵↵[8.1] $将	event
048_陈涉世家	别将	别将	2653	词表匹配	别将	兵居=郯=，@章邯@别将击破之，@邓说@军散	人名
048_陈涉世家	秦嘉叛陈	秦嘉叛陈	2724	词表匹配	秦嘉叛陈	。↵↵## [9] 秦嘉叛陈↵↵[9.1] $陈	event
048_陈涉世家	下军	下军	2840	词表匹配	下军	为$将军$，监=郯=下军。@秦嘉@不受命，@	官职
048_陈涉世家	军吏	军吏	2874	词表匹配	军吏	属$@武平君@$。告军吏曰："$@武平君@$	官职
048_陈涉世家	陈胜之死	陈胜之死	2923	词表匹配	陈胜之死	↵↵## [10] 陈胜之死↵↵[10.1] @	event
048_陈涉世家	吕臣复陈	吕臣复陈	3072	词表匹配	吕臣复陈	↵↵## [11] 吕臣复陈↵↵[11.1] $	event
048_陈涉世家	吕臣	吕臣	3098	词表匹配	吕臣	$故$涓人$@将军@吕臣@$为$仓头军$，起	人名
048_陈涉世家	庄贾	庄贾	3124	词表匹配	庄贾	，攻&陈&下之，杀@庄贾@，复以&陈&为&楚	人名
048_陈涉世家	宋留	宋留	3148	词表匹配	宋留	↵↵## [12] 宋留降秦↵↵[12.1]	人名
048_陈涉世家	景驹	景驹	3292	词表匹配	景驹	↵↵## [13] 景驹为楚王↵↵[13.1	人名
048_陈涉世家	楚王	楚王	3295	词表匹配	楚王	# [13] 景驹为楚王↵↵[13.1] @	人名
048_陈涉世家	陈王	陈王	3582	词表匹配	陈王	↵↵## [14] 陈王为王之事↵↵[14.	人名
048_陈涉世家	无知	无知	3787	词表匹配	无知	说$陈王$曰："客愚无知，颛妄言，轻威。"$	人名
048_陈涉世家	陈涉	陈胜	3930	词表匹配	陈胜	↵↵## [15] 陈胜之后↵↵[15.1]	人名
048_陈涉世家	褚先生	褚先生	4014	词表匹配	褚先生	↵↵## [16] 褚先生曰↵↵[16.1] 	人名
048_陈涉世家	先王	先王	4065	词表匹配	先王	治也。犹未足恃也。夫先王以仁义为本，而以固塞	官职
048_陈涉世家	仁义	仁义	4068	词表匹配	仁义	犹未足恃也。夫先王以仁义为本，而以固塞文^法	制度
048_陈涉世家	而以	而以	4073	词表匹配	而以	。夫先王以仁义为本，而以固塞文^法^为枝叶，	人名
048_陈涉世家	贾谊	贾谊	4110	词表匹配	贾谊	↵↵## [17] 贾谊过秦论(上)↵↵[1	人名
048_陈涉世家	而取	而取	4237	词表匹配	而取	侯。於是&秦&人拱手而取=西河=之外。↵↵[	器物
048_陈涉世家	六国	六国	4485	词表匹配	六国	、&中山&之众。於是六国之士有@甯越@、@徐	制度
048_陈涉世家	七百馀	七百馀	4914	词表匹配	七百馀	而守籓篱，卻~匈奴~七百馀里，~胡~人不敢南下	时间
048_陈涉世家	先王	先王	4948	词表匹配	先王	*弓*而报怨。於是废先王之道，燔百家之言，以	官职
048_陈涉世家	千里	千里	5087	词表匹配	千里	关中=之固，*金城*千里，子孙帝王万世之业也	时间
