章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
050_楚元王世家	楚元王	楚元王	6	词表匹配	楚元王	# 050 楚元王世家↵↵## 标题↵	人名
050_楚元王世家	世家	世家	9	词表匹配	世家	# 050 楚元王世家↵↵## 标题↵$@	器物
050_楚元王世家	世家	世家	26	词表匹配	世家	标题↵$@楚元王@$世家↵↵## [1] 楚	器物
050_楚元王世家	楚元王刘交	楚元王刘交	37	词表匹配	楚元王刘交	家↵↵## [1] 楚元王刘交↵↵[1.1] $@	人名
050_楚元王世家	楚王戊叛乱	楚王戊叛乱	370	词表匹配	楚王戊叛乱	。↵↵## [2] 楚王戊叛乱↵↵[2.1] $王	event
050_楚元王世家	楚文王立	楚文王立	566	词表匹配	楚文王立	。↵↵## [3] 楚文王立↵↵[3.1] &汉	event
050_楚元王世家	老人	老人	645	词表匹配	老人	曰："$@吴王@$，老人也，宜为宗室顺善。今	天文
050_楚元王世家	七国	七国	660	词表匹配	七国	为宗室顺善。今乃首率七国，纷乱天下，柰何续其	朝代
050_楚元王世家	宗庙	宗庙	720	词表匹配	宗庙	王$，奉$@元王@$宗庙，是为$@楚文王@$	制度
050_楚元王世家	楚王	楚王	742	词表匹配	楚王	。↵↵## [4] 楚王世系↵↵[4.1] 	人名
050_楚元王世家	中人	中人	840	词表匹配	中人	$立，%地节二年%，中人上书告$楚王$谋反，	地名
050_楚元王世家	赵王刘遂	赵王刘遂	879	词表匹配	赵王刘遂	。↵↵## [5] 赵王刘遂↵↵[5.1] $@	人名
050_楚元王世家	中子	中子	909	词表匹配	中子	者，其父$@高祖@$中子，名@友@，谥曰"@	官职
050_楚元王世家	河间王	河间王	1015	词表匹配	河间王	。↵↵## [6] 河间王辟彊↵↵[6.1] 	人名
050_楚元王世家	张辟彊	辟彊	1018	词表匹配	辟彊	## [6] 河间王辟彊↵↵[6.1] $@	人名
050_楚元王世家	赵王遂叛乱	赵王遂叛乱	1127	词表匹配	赵王遂叛乱	。↵↵## [7] 赵王遂叛乱↵↵[7.1] @遂	event
050_楚元王世家	司马迁	太史公	1413	词表匹配	太史公	。↵↵## [8] 太史公曰↵↵[8.1] $	人名
050_楚元王世家	司马迁	太史公	1558	词表匹配	太史公	！↵↵## [9] 太史公赞↵↵[9.1] &	人名
