章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
052_齐悼惠王世家	天下	天下	315	词表匹配	天下	帝@崩，吕太后称制，天下事皆决於高后。%二年	思想
052_齐悼惠王世家	无为	无为	1472	词表匹配	无为	决计。今大$王$留臣无为也，不如使我入关计事	思想
052_齐悼惠王世家	天下	天下	1565	词表匹配	天下	书曰：“@高帝@平定天下，$王$诸子弟，悼惠	思想
052_齐悼惠王世家	诸子	诸子	1571	词表匹配	诸子	帝@平定天下，$王$诸子弟，悼惠$王$於=齐	思想
052_齐悼惠王世家	天下	天下	1705	词表匹配	天下	春%%秋%富，未能治天下，固恃大臣诸。今诸吕	思想
052_齐悼惠王世家	天下	天下	1742	词表匹配	天下	$忠臣，矫制以^令^天下，^宗庙^所以危。今	思想
052_齐悼惠王世家	诛灭	诛灭	1936	词表匹配	诛灭	以待约。↵↵### 诛灭诸吕↵↵[14] @	刑法
052_齐悼惠王世家	天下	天下	2088	词表匹配	天下	。方以&吕氏&故几乱天下，今又立=齐=王，是	思想
052_齐悼惠王世家	君子	君子	2118	词表匹配	君子	。=代=王母家薄氏，君子长者；且=代=王又亲	思想
052_齐悼惠王世家	大人	大人	2265	词表匹配	大人	“失火之家，岂暇先言大人而後救火乎！”因退立	典籍
052_齐悼惠王世家	诛灭	诛灭	3541	词表匹配	诛灭	济南=、=菑川=王咸诛灭，地入于&汉&。徙=	刑法
052_齐悼惠王世家	天下	天下	4328	词表匹配	天下	&汉&，非诛偃无以塞天下之望。”遂诛偃。↵↵	思想
052_齐悼惠王世家	祭祀	祭祀	4477	词表匹配	祭祀	川=，以奉悼惠$王$祭祀。↵↵[33] =城	礼仪
052_齐悼惠王世家	诸子	诸子	5009	词表匹配	诸子	。及%二年%，$王$诸子，乃割=齐=二郡以$	思想
