章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
054_曹相国世家	相国	相国	7	词表匹配	相国	# [0] 曹相国世家↵↵↵## 从征	官职
054_曹相国世家	世家	世家	9	词表匹配	世家	# [0] 曹相国世家↵↵↵## 从征天下	器物
054_曹相国世家	平阳侯	平阳侯	27	词表匹配	平阳侯	从征天下↵↵[1] 平阳侯@曹参@者，=沛=人	人名
054_曹相国世家	中涓	中涓	91	词表匹配	中涓	沛=公而初起也，参以中涓从。将击~胡~陵、方	官职
054_曹相国世家	方与	方与	102	词表匹配	方与	涓从。将击~胡~陵、方与，攻&秦&监$公$军	地名
054_曹相国世家	方与	方与	150	词表匹配	方与	~胡~陵，取之。徙守方与。方与反为=魏=，击	地名
054_曹相国世家	方与	方与	153	词表匹配	方与	陵，取之。徙守方与。方与反为=魏=，击之。=	地名
054_曹相国世家	狐父	狐父	207	词表匹配	狐父	东，破之，取=砀=、狐父、祁善置。又攻下邑以	地名
054_曹相国世家	下邑	下邑	216	词表匹配	下邑	、狐父、祁善置。又攻下邑以西，至虞，击章邯*	地名
054_曹相国世家	章邯	章邯	225	词表匹配	章邯	攻下邑以西，至虞，击章邯*车*骑。攻爰戚及亢	人名
054_曹相国世家	亢父	亢父	236	词表匹配	亢父	邯*车*骑。攻爰戚及亢父，先登。迁为五$大夫	地名
054_曹相国世家	章邯	章邯	255	词表匹配	章邯	$大夫$。北救阿，击章邯军，陷陈，追至濮阳。	人名
054_曹相国世家	濮阳	濮阳	264	词表匹配	濮阳	击章邯军，陷陈，追至濮阳。攻=定陶=，取临济	地名
054_曹相国世家	临济	临济	274	词表匹配	临济	濮阳。攻=定陶=，取临济。南救雍丘。击李由军	地名
054_曹相国世家	雍丘	雍丘	279	词表匹配	雍丘	定陶=，取临济。南救雍丘。击李由军，破之，杀	地名
054_曹相国世家	李由	李由	283	词表匹配	李由	取临济。南救雍丘。击李由军，破之，杀李由，虏	人名
054_曹相国世家	李由	李由	291	词表匹配	李由	。击李由军，破之，杀李由，虏&秦&候一人。&	人名
054_曹相国世家	章邯	章邯	306	词表匹配	章邯	秦&候一人。&秦&将章邯破杀项=梁=也，=沛	人名
054_曹相国世家	代成君	成君	369	词表匹配	成君	参为执*帛*，号曰建成君。迁为戚$公$，属=	人名
054_曹相国世家	东郡尉	东郡尉	395	词表匹配	东郡尉	↵↵[3] 其後从攻东郡尉军，破之成武南。击$	官职
054_曹相国世家	成武	成武	402	词表匹配	成武	後从攻东郡尉军，破之成武南。击$王$离军成阳	地名
054_曹相国世家	成阳	成阳	412	词表匹配	成阳	成武南。击$王$离军成阳南，复攻之杠里，大破	地名
054_曹相国世家	杠里	杠里	419	词表匹配	杠里	$离军成阳南，复攻之杠里，大破之。追北，西至	地名
054_曹相国世家	开封	开封	431	词表匹配	开封	，大破之。追北，西至开封，击=赵=贲军，破之	地名
054_曹相国世家	开封	开封	449	词表匹配	开封	军，破之，围=赵=贲开封城中。西击将杨〘熊〙	地名
054_曹相国世家	曲遇	曲遇	463	词表匹配	曲遇	。西击将杨〘熊〙军於曲遇，破之，虏&秦&司*	地名
054_曹相国世家	执珪	执珪	488	词表匹配	执珪	$御史$各一人。迁为执珪。从攻阳武，下轘辕、	制度
054_曹相国世家	阳武	阳武	493	词表匹配	阳武	一人。迁为执珪。从攻阳武，下轘辕、缑氏，绝河	地名
054_曹相国世家	轘辕	轘辕	497	词表匹配	轘辕	为执珪。从攻阳武，下轘辕、缑氏，绝河津，还击	地名
054_曹相国世家	缑氏	缑氏	500	词表匹配	缑氏	。从攻阳武，下轘辕、缑氏，绝河津，还击=赵=	地名
054_曹相国世家	河津	河津	504	词表匹配	河津	武，下轘辕、缑氏，绝河津，还击=赵=贲军尸北	地名
054_曹相国世家	南阳守	南阳守	526	词表匹配	南阳守	，破之。从南攻犨，与南阳守齮战阳城郭东，陷陈，	官职
054_曹相国世家	阳城	阳城	531	词表匹配	阳城	南攻犨，与南阳守齮战阳城郭东，陷陈，取宛，虏	地名
054_曹相国世家	南阳郡	南阳郡	547	词表匹配	南阳郡	陈，取宛，虏齮，尽定南阳郡。从西攻=武关=、峣	地名
054_曹相国世家	蓝田	蓝田	571	词表匹配	蓝田	，取之。前攻&秦&军蓝田南，又夜击其北，&秦	地名
054_曹相国世家	故道	故道	663	词表匹配	故道	三&秦&，初攻下辩、故道、雍、斄。击章平军於	地名
054_曹相国世家	章平	章平	671	词表匹配	章平	辩、故道、雍、斄。击章平军於好畤南，破之，围	人名
054_曹相国世家	好畤	好畤	675	词表匹配	好畤	、雍、斄。击章平军於好畤南，破之，围好畤，取	地名
054_曹相国世家	好畤	好畤	683	词表匹配	好畤	军於好畤南，破之，围好畤，取壤乡。击三&秦&	地名
054_曹相国世家	壤东	壤东	696	词表匹配	壤东	取壤乡。击三&秦&军壤东及高栎，破之。复围章	地名
054_曹相国世家	章平	章平	707	词表匹配	章平	东及高栎，破之。复围章平，章平出好畤走。因击	人名
054_曹相国世家	章平	章平	710	词表匹配	章平	栎，破之。复围章平，章平出好畤走。因击=赵=	人名
054_曹相国世家	好畤	好畤	713	词表匹配	好畤	之。复围章平，章平出好畤走。因击=赵=贲、内	地名
054_曹相国世家	内史	内史	724	词表匹配	内史	畤走。因击=赵=贲、内史保军，破之。东取=咸	地名
054_曹相国世家	新城	新城	742	词表匹配	新城	东取=咸阳=，更名曰新城。参将兵守景陵二十日	地名
054_曹相国世家	兵守	兵守	747	词表匹配	兵守	=，更名曰新城。参将兵守景陵二十日，三&秦&	官职
054_曹相国世家	二十日	二十日	751	词表匹配	二十日	曰新城。参将兵守景陵二十日，三&秦&使章平等攻	时间
054_曹相国世家	章平	章平	760	词表匹配	章平	陵二十日，三&秦&使章平等攻参，参出击，大破	人名
054_曹相国世家	章邯	章邯	792	词表匹配	章邯	。参以$将军$引兵围章邯於废丘。以$中尉$从	人名
054_曹相国世家	废丘	废丘	795	词表匹配	废丘	$将军$引兵围章邯於废丘。以$中尉$从汉$王	地名
054_曹相国世家	临晋关	临晋关	809	词表匹配	临晋关	$中尉$从汉$王$出临晋关。至=河内=，下脩武	地名
054_曹相国世家	脩武	脩武	820	词表匹配	脩武	晋关。至=河内=，下脩武，渡围津，东击@龙且	地名
054_曹相国世家	项他	项他	834	词表匹配	项他	围津，东击@龙且@、项他=定陶=，破之。东取	官职
054_曹相国世家	项羽	项籍	858	词表匹配	项籍	=、萧、=彭城=。击项籍军，&汉&军大败走。	人名
054_曹相国世家	雍丘	雍丘	878	词表匹配	雍丘	走。参以$中尉$围取雍丘。$王$武反於黄，程	地名
054_曹相国世家	程处	程处	889	词表匹配	程处	丘。$王$武反於黄，程处反於=燕=，往击，尽	人名
054_曹相国世家	衍氏	衍氏	911	词表匹配	衍氏	破之。柱天$侯$反於衍氏，又进破取衍氏。击羽	地名
054_曹相国世家	衍氏	衍氏	918	词表匹配	衍氏	$反於衍氏，又进破取衍氏。击羽婴於昆阳，追至	地名
054_曹相国世家	昆阳	昆阳	925	词表匹配	昆阳	进破取衍氏。击羽婴於昆阳，追至叶。还攻武彊，	地名
054_曹相国世家	中尉	中尉	955	词表匹配	中尉	自&汉&中为$将军$中尉，从击诸$侯$，及@	官职
