章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
055_留侯世家	天下	天下	243	词表匹配	天下	&秦&皇帝大怒，大索天下，求贼甚急，为@张良	思想
055_留侯世家	天下	天下	1319	词表匹配	天下	=沛=公得至此。夫为天下除残贼，宜缟素为资。	思想
055_留侯世家	天下	天下	1825	词表匹配	天下	何不烧绝所过栈道，示天下无还心，以固项$王$	思想
055_留侯世家	圣人	圣人	2771	词表匹配	圣人	比干之墓。今陛下能封圣人之墓，表贤者之闾，式	思想
055_留侯世家	天下	天下	2885	词表匹配	天下	，覆以〘虎〙皮，以示天下不复用兵。今陛下能偃	思想
055_留侯世家	天下	天下	3014	词表匹配	天下	。”“其不可七矣。且天下游士离其亲戚，弃坟墓	思想
055_留侯世家	天下	天下	3079	词表匹配	天下	=齐=、=楚=之後，天下游士各归事其主，从其	思想
055_留侯世家	天下	天下	3106	词表匹配	天下	故旧坟墓，陛下与谁取天下乎？其不可八矣。且夫	思想
055_留侯世家	天下	天下	3577	词表匹配	天下	此谋反耳。”上曰：“天下属安定，何故反乎？”	思想
055_留侯世家	天下	天下	3608	词表匹配	天下	起*布*衣，以此属取天下，今陛下为天子，而所	思想
055_留侯世家	天下	天下	3649	词表匹配	天下	仇怨。今军吏计功，以天下不足遍封，此属畏陛下	思想
055_留侯世家	天下	天下	4034	词表匹配	天下	$侯$安定，河渭漕輓天下，西给京师；诸$侯$	思想
055_留侯世家	天下	天下	4292	词表匹配	天下	急之中，幸用臣筴。今天下安定，以爱欲易太子，	思想
055_留侯世家	天下	天下	4355	词表匹配	天下	也。顾上有不能致者，天下有四人。四人者年老矣	思想
055_留侯世家	天下	天下	4630	词表匹配	天下	与俱诸将，皆尝与上定天下枭将也，今使太子将之	思想
055_留侯世家	天下	天下	4749	词表匹配	天下	上泣言：‘@黥布@，天下猛将也，善用兵，今诸	思想
055_留侯世家	天下	天下	5265	词表匹配	天下	为人仁孝，恭敬爱士，天下莫不延颈欲为太子死者	思想
055_留侯世家	天下	天下	5533	词表匹配	天下	@相国，所与上从容言天下事甚众，非天下所以存	思想
055_留侯世家	天下	天下	5540	词表匹配	天下	从容言天下事甚众，非天下所以存亡，故不著。留	思想
055_留侯世家	天下	天下	5593	词表匹配	天下	=韩=报雠彊&秦&，天下振动。今以三寸舌为帝	思想
