章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
056_陈丞相世家	丞相	丞相	7	词表匹配	丞相	# [0] 陈丞相世家↵↵↵## 早年	官职
056_陈丞相世家	世家	世家	9	词表匹配	世家	# [0] 陈丞相世家↵↵↵## 早年贫困	器物
056_陈丞相世家	阳武	阳武	35	词表匹配	阳武	] 陈$丞相$平者，阳武户牖乡人也。少时家贫	地名
056_陈丞相世家	户牖	户牖	37	词表匹配	户牖	陈$丞相$平者，阳武户牖乡人也。少时家贫，好	地名
056_陈丞相世家	及平	及平	149	词表匹配	及平	而弃之。↵↵[2] 及平长，可娶妻，富人莫肯	人名
056_陈丞相世家	户牖	户牖	174	词表匹配	户牖	贫者平亦耻之。久之，户牖富人有张负，张负女孙	地名
056_陈丞相世家	子仲	子仲	280	词表匹配	子仲	车*辙。张负归，谓其子仲曰：“吾欲以女孙予@	人名
056_陈丞相世家	张仲	张仲	297	词表匹配	张仲	以女孙予@陈平@。”张仲曰：“平贫不事事，一	人名
056_陈丞相世家	张氏	张氏	404	词表匹配	张氏	，事嫂如母。”平既娶张氏女，赍用益饶，游道日	人名
056_陈丞相世家	晏孺子	孺子	446	词表匹配	孺子	均。父老曰：“善，陈孺子之为宰！”平曰：“嗟	人名
056_陈丞相世家	陈涉	陈涉	490	词表匹配	陈涉	数易其主↵↵[4] 陈涉起而$王$陈，使&周	人名
056_陈丞相世家	临济	临济	530	词表匹配	临济	王，与&秦&军相攻於临济。@陈平@固已前谢其	地名
056_陈丞相世家	临济	临济	556	词表匹配	临济	少年往事=魏=王咎於临济。=魏=王以为$太仆	地名
056_陈丞相世家	河上	河上	606	词表匹配	河上	久之，@项羽@略地至河上，@陈平@往归之，从	地名
056_陈丞相世家	信武侯	信武	672	词表匹配	信武	=。@项羽@乃以平为信武君，将=魏=王咎客在	人名
056_陈丞相世家	项悍	项悍	705	词表匹配	项悍	王$而还。项$王$使项悍拜平为$都尉$，赐*	人名
056_陈丞相世家	宝器	宝器	818	词表匹配	宝器	将，要中当有金*玉*宝器，目之，欲杀平。平恐	器物
056_陈丞相世家	无知	无知	885	词表匹配	无知	武降&汉&，因=魏=无知求见汉$王$，汉$王	人名
056_陈丞相世家	万石君	万石君	903	词表匹配	万石君	，汉$王$召入。是时万石君奋为汉$王$中涓，受	人名
056_陈丞相世家	中涓	中涓	912	词表匹配	中涓	时万石君奋为汉$王$中涓，受平谒，入见平。平	官职
056_陈丞相世家	今日	今日	961	词表匹配	今日	为事来，所言不可以过今日。”於是汉$王$与语	时间
056_陈丞相世家	参乘	参乘	1014	词表匹配	参乘	拜平为$都尉$，使为参乘，典护军。诸将尽讙，	官职
056_陈丞相世家	护军	护军	1018	词表匹配	护军	都尉$，使为参乘，典护军。诸将尽讙，曰：“大	官职
056_陈丞相世家	一日	一日	1033	词表匹配	一日	尽讙，曰：“大$王$一日得=楚=之亡卒，未知	时间
056_陈丞相世家	护军	护军	1058	词表匹配	护军	，而即与同载，反使监护军长者！”汉$王$闻之	官职
056_陈丞相世家	亚将	亚将	1114	词表匹配	亚将	兵至=荥阳=，以平为亚将，属於=韩=王信，军	官职
056_陈丞相世家	广武	广武	1126	词表匹配	广武	，属於=韩=王信，军广武。↵↵[7] 绛$侯	地名
056_陈丞相世家	今日	今日	1212	词表匹配	今日	不中，又亡归&汉&。今日大$王$尊官之，^令	时间
056_陈丞相世家	护军	护军	1225	词表匹配	护军	$王$尊官之，^令^护军。臣闻平受诸将*金*	官职
056_陈丞相世家	无知	无知	1284	词表匹配	无知	王$疑之，召让=魏=无知。无知曰：“臣所言者	人名
056_陈丞相世家	无知	无知	1287	词表匹配	无知	之，召让=魏=无知。无知曰：“臣所言者，能也	人名
056_陈丞相世家	护军	护军	1567	词表匹配	护军	王$乃谢，厚赐，拜为护军$中尉$，尽护诸将。	官职
056_陈丞相世家	甬道	甬道	1617	词表匹配	甬道	=楚=急攻，绝&汉&甬道，围汉$王$於=荥阳	地名
056_陈丞相世家	亚父	亚父	1840	词表匹配	亚父	，彼项$王$骨鲠之臣亚父、锺离眛、@龙且@、	人名
056_陈丞相世家	锺离眛	锺离眛	1843	词表匹配	锺离眛	$王$骨鲠之臣亚父、锺离眛、@龙且@、@周殷@	人名
056_陈丞相世家	数人	数人	1861	词表匹配	数人	、@周殷@之属，不过数人耳。大$王$诚能出捐	时间
056_陈丞相世家	数万	数万	1873	词表匹配	数万	耳。大$王$诚能出捐数万斤*金*，行反间，间	时间
056_陈丞相世家	锺离眛	锺离眛	1991	词表匹配	锺离眛	於=楚=军，宣言诸将锺离眛等为项$王$将，功多	人名
056_陈丞相世家	项氏	项氏	2028	词表匹配	项氏	欲与&汉&为一，以灭项氏而分$王$其地。@项	人名
056_陈丞相世家	锺离	锺离	2046	词表匹配	锺离	地。@项羽@果意不信锺离眜等。项$王$既疑之	地名
056_陈丞相世家	太牢	太牢	2071	词表匹配	太牢	至&汉&。汉$王$为太牢具，举进。见=楚=使	官职
056_陈丞相世家	亚父	亚父	2093	词表匹配	亚父	，即详惊曰：“吾以为亚父使，乃项$王$使！”	人名
056_陈丞相世家	亚父	亚父	2141	词表匹配	亚父	王$。项$王$果大疑亚父。亚父欲急攻下=荥阳	人名
056_陈丞相世家	亚父	亚父	2144	词表匹配	亚父	项$王$果大疑亚父。亚父欲急攻下=荥阳=城，	人名
056_陈丞相世家	亚父	亚父	2167	词表匹配	亚父	$王$不信，不肯听。亚父闻项$王$疑之，乃怒	人名
056_陈丞相世家	千人	千人	2228	词表匹配	千人	@陈平@乃夜出女子二千人=荥阳=城东门，=楚	时间
056_陈丞相世家	东门	东门	2235	词表匹配	东门	女子二千人=荥阳=城东门，=楚=因击之，@陈	地名
056_陈丞相世家	明年	明年	2292	词表匹配	明年	擒韩↵↵[10] 其明年，淮阴$侯$破=齐=	时间
056_陈丞相世家	韩信	淮阴	2295	词表匹配	淮阴	↵[10] 其明年，淮阴$侯$破=齐=，自立	人名
056_陈丞相世家	张子房	张子房	2357	词表匹配	张子房	，乃厚遇=齐=使，使张子房卒立信为=齐=王。封	人名
056_陈丞相世家	户牖	户牖	2372	词表匹配	户牖	信为=齐=王。封平以户牖乡。用其奇计策，卒灭	地名
056_陈丞相世家	护军	护军	2390	词表匹配	护军	策，卒灭=楚=。常以护军$中尉$从定=燕=王	官职
056_陈丞相世家	竖子	竖子	2452	词表匹配	竖子	，诸将曰：“亟发兵阬竖子耳。”@高帝@默然。	器物
056_陈丞相世家	天子	天子	2645	词表匹配	天子	柰何？”平曰：“古者天子巡狩，会诸$侯$。南	官职
056_陈丞相世家	巡狩	巡狩	2647	词表匹配	巡狩	？”平曰：“古者天子巡狩，会诸$侯$。南方有	制度
056_陈丞相世家	南方	南方	2656	词表匹配	南方	子巡狩，会诸$侯$。南方有云梦，陛下弟出伪游	地名
056_陈丞相世家	云梦	云梦	2659	词表匹配	云梦	，会诸$侯$。南方有云梦，陛下弟出伪游云梦，	地名
056_陈丞相世家	云梦	云梦	2668	词表匹配	云梦	有云梦，陛下弟出伪游云梦，会诸$侯$於陈。陈	地名
056_陈丞相世家	天子	天子	2690	词表匹配	天子	，=楚=之西界，信闻天子以好出游，其势必无事	官职
056_陈丞相世家	力士	力士	2719	词表匹配	力士	而陛下因禽之，此特一力士之事耳。”@高帝@以	官职
056_陈丞相世家	云梦	云梦	2750	词表匹配	云梦	侯$会陈，“吾将南游云梦”。上因随以行。行未	地名
056_陈丞相世家	韩信	淮阴	2872	词表匹配	淮阴	至=雒阳=，赦信以为淮阴$侯$，而与功臣剖*	人名
056_陈丞相世家	功臣	功臣	2880	词表匹配	功臣	以为淮阴$侯$，而与功臣剖*符*定封。↵↵↵	官职
