章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
058_梁孝王世家	天下	天下	739	词表匹配	天下	，有功，又为大国，居天下膏腴地。地北界=泰山	思想
058_梁孝王世家	上林	上林	1121	词表匹配	上林	同*车*游猎，射禽兽上林中。=梁=之$侍中$	典籍
058_梁孝王世家	孝经	孝经	3512	词表匹配	孝经	敢有戏言，言必行之。孝经曰：“非^法^不言，	典籍
058_梁孝王世家	圣人	圣人	3531	词表匹配	圣人	不言，非道不行。”此圣人之^法^言也。今主上	思想
058_梁孝王世家	朝见	朝见	3616	词表匹配	朝见	] 又$诸$侯$王$朝见天子，&汉&法凡当四	礼仪
058_梁孝王世家	朝见	朝见	3816	词表匹配	朝见	今&汉&之仪^法^，朝见贺%正月%者，常一$	礼仪
058_梁孝王世家	朝见	朝见	3836	词表匹配	朝见	一$王$与四$侯$俱朝见，十馀岁一至。今=梁	礼仪
058_梁孝王世家	朝见	朝见	3854	词表匹配	朝见	。今=梁=王常比年入朝见，久留。鄙语曰“骄子	礼仪
058_梁孝王世家	君子	君子	4316	词表匹配	君子	。故%春%%秋%曰“君子大居正，宋之祸宣$公	思想
058_梁孝王世家	大义	大义	4413	词表匹配	大义	後五世不绝，小不忍害大义状报太后。太后乃解说	思想
058_梁孝王世家	伏诛	伏诛	4746	词表匹配	伏诛	孙诡之属为之耳。谨以伏诛死，=梁=王无恙也。	刑法
