章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
059_五宗世家	世家	世家	8	词表匹配	世家	# [0] 五宗世家↵↵↵## 景帝诸子	器物
059_五宗世家	汉景帝	景帝	16	词表匹配	景帝	五宗世家↵↵↵## 景帝诸子↵↵[1] @孝	人名
059_五宗世家	皇帝	皇帝	30	词表匹配	皇帝	↵↵[1] @孝景@皇帝子凡十三人为$王$，	官职
059_五宗世家	三人	三人	35	词表匹配	三人	 @孝景@皇帝子凡十三人为$王$，而母五人，	时间
059_五宗世家	栗姬	栗姬	54	词表匹配	栗姬	五人，同母者为宗亲。栗姬子曰荣、德、阏于。程	人名
059_五宗世家	夫人	夫人	76	词表匹配	夫人	姬子曰馀、非、端。贾夫人子曰彭祖、胜。唐姬子	人名
059_五宗世家	彭祖	彭祖	80	词表匹配	彭祖	、非、端。贾夫人子曰彭祖、胜。唐姬子曰发。@	人名
059_五宗世家	兒姁	兒姁	96	词表匹配	兒姁	姬子曰发。@王夫人@兒姁子曰=越=、寄、乘、	人名
059_五宗世家	河间王	河间王	117	词表匹配	河间王	、舜。↵↵↵### 河间王↵↵[2] 河间献$	人名
059_五宗世家	河间	河间	126	词表匹配	河间	 河间王↵↵[2] 河间献$王$德，以@孝景	地名
059_五宗世家	皇子	皇子	146	词表匹配	皇子	孝景@帝前%二年%用皇子为河间$王$。好儒学	官职
059_五宗世家	河间	河间	149	词表匹配	河间	帝前%二年%用皇子为河间$王$。好儒学，被服	地名
059_五宗世家	儒者	儒者	165	词表匹配	儒者	好儒学，被服造次必於儒者。=山东=诸儒多从之	制度
059_五宗世家	申不害	不害	198	词表匹配	不害	六年%卒，子共$王$不害立。%四年%卒，子刚	人名
059_五宗世家	临江王	临江王	244	词表匹配	临江王	=立。↵↵↵### 临江王↵↵[4] =临江=	人名
059_五宗世家	皇子	皇子	276	词表匹配	皇子	孝景@帝前%二年%用皇子为=临江=王。%三年	官职
059_五宗世家	皇太子	皇太子	326	词表匹配	皇太子	@孝景@前%四年%为皇太子，四岁废，用故太子为	官职
059_五宗世家	四岁	四岁	330	词表匹配	四岁	前%四年%为皇太子，四岁废，用故太子为=临江	时间
059_五宗世家	北门	北门	377	词表匹配	北门	。荣行，祖於=江陵=北门。既已上*车*，轴折	地名
059_五宗世家	郅都	郅都	431	词表匹配	郅都	中尉$府簿。$中尉$郅都责讯$王$，$王$恐	人名
059_五宗世家	蓝田	蓝田	448	词表匹配	蓝田	，$王$恐，自杀。葬蓝田。=燕=数万衔土置冢	地名
059_五宗世家	数万	数万	454	词表匹配	数万	自杀。葬蓝田。=燕=数万衔土置冢上，百姓怜之	时间
059_五宗世家	栗姬	栗姬	521	词表匹配	栗姬	] 右三国本$王$皆栗姬之子也。↵↵↵###	人名
059_五宗世家	鲁王	鲁王	534	词表匹配	鲁王	子也。↵↵↵### 鲁王↵↵[9] 鲁共$王	人名
059_五宗世家	皇子	皇子	560	词表匹配	皇子	@孝景@前%二年%用皇子为淮阳$王$。%二年	官职
059_五宗世家	淮阳	淮阳	563	词表匹配	淮阳	@前%二年%用皇子为淮阳$王$。%二年%，=	地名
059_五宗世家	宫室	宫室	601	词表匹配	宫室	%徙为鲁$王$。好治宫室苑囿狗*马*。季年好	制度
059_五宗世家	苑囿	苑囿	603	词表匹配	苑囿	为鲁$王$。好治宫室苑囿狗*马*。季年好音，	制度
059_五宗世家	江都王	江都王	676	词表匹配	江都王	足於财。↵↵### 江都王↵↵[11] =江都	人名
059_五宗世家	皇子	皇子	707	词表匹配	皇子	@孝景@前%二年%用皇子为汝南$王$。=吴=	官职
059_五宗世家	汝南	汝南	710	词表匹配	汝南	@前%二年%用皇子为汝南$王$。=吴=楚反时	地名
