章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
060_三王世家	三王	三王	6	词表匹配	三王	# [0] 三王世家↵↵## 群臣奏	朝代
060_三王世家	世家	世家	8	词表匹配	世家	# [0] 三王世家↵↵## 群臣奏请封	器物
060_三王世家	霍去病	去病	34	词表匹配	去病	1] "大司*马*臣去病昧死再拜上疏皇帝陛下	人名
060_三王世家	皇帝	皇帝	42	词表匹配	皇帝	*臣去病昧死再拜上疏皇帝陛下：陛下过听，使臣	官职
060_三王世家	霍去病	去病	54	词表匹配	去病	陛下：陛下过听，使臣去病待罪行间。宜专边塞之	人名
060_三王世家	皇子	皇子	118	词表匹配	皇子	^乐^，损$郎$员。皇子赖天，能胜衣趋拜，至	官职
060_三王世家	有司	有司	177	词表匹配	有司	马*心，昧死原陛下诏有司，因盛%夏%吉时定皇	官职
060_三王世家	皇子	皇子	188	词表匹配	皇子	司，因盛%夏%吉时定皇子位。唯陛下幸察。臣去	官职
060_三王世家	霍去病	去病	199	词表匹配	去病	子位。唯陛下幸察。臣去病昧死再拜以闻皇帝陛下	人名
060_三王世家	皇帝	皇帝	207	词表匹配	皇帝	。臣去病昧死再拜以闻皇帝陛下。”%三月%乙亥	官职
060_三王世家	乙亥	乙亥	217	词表匹配	乙亥	皇帝陛下。”%三月%乙亥，$御史$臣光守$尚	时间
060_三王世家	戊申	戊申	264	词表匹配	戊申	] %六年%%三月%戊申朔，%乙亥%，$御史	时间
060_三王世家	庄青翟	青翟	305	词表匹配	青翟	到，言：“$丞相$臣青翟、$御史大夫$臣汤、	人名
060_三王世家	霍去病	去病	356	词表匹配	去病	昧死上言：大司*马*去病上疏曰：‘陛下过听，	人名
060_三王世家	霍去病	去病	370	词表匹配	去病	曰：‘陛下过听，使臣去病待罪行间。宜专边塞之	人名
060_三王世家	皇子	皇子	434	词表匹配	皇子	^乐^，损$郎$员。皇子赖天，能胜衣趋拜，至	官职
060_三王世家	有司	有司	493	词表匹配	有司	马*心，昧死原陛下诏有司，因盛%夏%吉时定皇	官职
060_三王世家	皇子	皇子	504	词表匹配	皇子	司，因盛%夏%吉时定皇子位。唯原陛下幸察。’	官职
060_三王世家	中二千石	中二千石	529	词表匹配	中二千石	下$御史$’。臣谨与中二千石、二千石臣贺等议：古	官职
060_三王世家	二千石	二千石	534	词表匹配	二千石	’。臣谨与中二千石、二千石臣贺等议：古者裂地立	官职
060_三王世家	霍去病	去病	576	词表匹配	去病	^重^社稷^也。今臣去病上疏，不忘其职，因以	人名
060_三王世家	天子	天子	593	词表匹配	天子	其职，因以宣恩，乃道天子卑让自贬以劳天下，虑	官职
060_三王世家	皇子	皇子	605	词表匹配	皇子	卑让自贬以劳天下，虑皇子未有号位。臣青翟、臣	官职
060_三王世家	庄青翟	青翟	613	词表匹配	青翟	，虑皇子未有号位。臣青翟、臣汤等宜奉义遵职，	人名
060_三王世家	庄青翟	青翟	642	词表匹配	青翟	方今盛%夏%吉时，臣青翟、臣汤等昧死请立皇子	人名
060_三王世家	皇子	皇子	652	词表匹配	皇子	青翟、臣汤等昧死请立皇子臣闳、臣旦、臣胥为$	官职
060_三王世家	姬姓	姬姓	699	词表匹配	姬姓	“盖闻&周&封八百，姬姓并列，或子、男、附庸	朝代
060_三王世家	丙子	丙子	800	词表匹配	丙子	↵↵[4] %三月%丙子，奏=未央宫=。“$	时间
060_三王世家	庄青翟	青翟	816	词表匹配	青翟	央宫=。“$丞相$臣青翟、$御史大夫$臣汤昧	人名
060_三王世家	中二千石	中二千石	844	词表匹配	中二千石	$列侯$臣婴=齐=、中二千石二千石臣贺、$谏大夫	官职
060_三王世家	二千石	二千石	848	词表匹配	二千石	臣婴=齐=、中二千石二千石臣贺、$谏大夫$博士	官职
060_三王世家	博士	博士	859	词表匹配	博士	千石臣贺、$谏大夫$博士臣安等议曰：伏闻&周	官职
060_三王世家	姬姓	姬姓	876	词表匹配	姬姓	：伏闻&周&封八百，姬姓并列，奉承天子。康叔	朝代
060_三王世家	天子	天子	883	词表匹配	天子	八百，姬姓并列，奉承天子。康叔以祖考显，而伯	官职
060_三王世家	康叔	康叔	886	词表匹配	康叔	姬姓并列，奉承天子。康叔以祖考显，而伯禽以周	人名
060_三王世家	伯禽	伯禽	894	词表匹配	伯禽	子。康叔以祖考显，而伯禽以周$公$立，咸为建	人名
060_三王世家	平津侯	平津	1035	词表匹配	平津	终之後于酂，襃厉群臣平津$侯$等。昭六亲之序	人名
060_三王世家	百有馀	百有馀	1078	词表匹配	百有馀	分子弟户邑，锡号尊建百有馀国。而家皇子为$列侯	时间
060_三王世家	皇子	皇子	1085	词表匹配	皇子	号尊建百有馀国。而家皇子为$列侯$，则尊卑相	官职
060_三王世家	万世	万世	1110	词表匹配	万世	位失序，不可以垂统於万世。臣请立臣闳、臣旦、	时间
