章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
063_老子韩非列传	老子	老子	6	词表匹配	老子	# [0] 老子韩非列传↵↵## 老	人名
063_老子韩非列传	韩非	韩非	8	词表匹配	韩非	# [0] 老子韩非列传↵↵## 老子其	人名
063_老子韩非列传	老子	老子	17	词表匹配	老子	子韩非列传↵↵## 老子其人↵↵[1] @老	人名
063_老子韩非列传	李氏	李氏	47	词表匹配	李氏	=厉乡曲仁里人也，姓李氏，名耳，字摐，=周=	人名
063_老子韩非列传	孔子	孔子	71	词表匹配	孔子	室之史也。↵↵## 孔子问礼↵↵[2] @孔	人名
063_老子韩非列传	今日	今日	277	词表匹配	今日	知其乘风云而上天。吾今日见@老子@，其犹龙邪	时间
063_老子韩非列传	子将	子将	356	词表匹配	子将	，关$令尹$喜曰："子将隐矣，彊为我著书。"	人名
063_老子韩非列传	千馀	千馀	389	词表匹配	千馀	篇，言^道德^之意五千馀言而去，莫知其所终。	时间
063_老子韩非列传	十馀岁	十馀岁	468	词表匹配	十馀岁	] 盖@老子@百有六十馀岁，或言二百馀岁，以其	时间
063_老子韩非列传	百馀	百馀	475	词表匹配	百馀	百有六十馀岁，或言二百馀岁，以其脩道而养寿也	时间
063_老子韩非列传	二十九年	二十九年	503	词表匹配	二十九年	 自@孔子@死之後百二十九年，而史记=周=太史儋	时间
063_老子韩非列传	史记	史记	509	词表匹配	史记	死之後百二十九年，而史记=周=太史儋见=秦=	制度
063_老子韩非列传	太史儋	太史儋	514	词表匹配	太史儋	十九年，而史记=周=太史儋见=秦=献公曰："始	官职
063_老子韩非列传	秦献公	献公	521	词表匹配	献公	=周=太史儋见=秦=献公曰："始=秦=与=周	人名
063_老子韩非列传	五百岁	五百岁	537	词表匹配	五百岁	=秦=与=周=合，合五百岁而离，离七十岁而霸王	时间
063_老子韩非列传	十岁	十岁	545	词表匹配	十岁	，合五百岁而离，离七十岁而霸王者出焉。"或曰	时间
063_老子韩非列传	霸王	霸王	548	词表匹配	霸王	百岁而离，离七十岁而霸王者出焉。"或曰儋即@	官职
063_老子韩非列传	老子	老子	591	词表匹配	老子	隐君子也。↵↵## 老子后世↵↵[7] @老	人名
063_老子韩非列传	汉文帝	孝文帝	639	词表匹配	孝文帝	，宫玄孙假，假仕於汉孝文帝。而假之子解为胶西王	人名
063_老子韩非列传	胶西王	胶西王	649	词表匹配	胶西王	孝文帝。而假之子解为胶西王卬$太傅$，因家于=	人名
063_老子韩非列传	庄子	庄子	728	词表匹配	庄子	清静自正。↵↵## 庄子其人↵↵[9] @庄	人名
063_老子韩非列传	十馀万	十馀万	802	词表匹配	十馀万	老子@之言。故其著书十馀万言，大抵率寓言也。作	时间
063_老子韩非列传	渔父	渔父	815	词表匹配	渔父	言，大抵率寓言也。作渔父、盗跖、胠箧，以诋訿	官职
063_老子韩非列传	盗跖	盗跖	818	词表匹配	盗跖	抵率寓言也。作渔父、盗跖、胠箧，以诋訿@孔子	人名
063_老子韩非列传	王公	王公	903	词表匹配	王公	洸洋自恣以適己，故自王公大人不能器之。↵↵[	人名
063_老子韩非列传	大人	大人	905	词表匹配	大人	自恣以適己，故自王公大人不能器之。↵↵[10	官职
063_老子韩非列传	千金	千金	957	词表匹配	千金	笑谓=楚=使者曰："千金，重利；卿相，尊位也	器物
063_老子韩非列传	卿相	卿相	963	词表匹配	卿相	者曰："千金，重利；卿相，尊位也。子独不见郊	官职
063_老子韩非列传	郊祭	郊祭	974	词表匹配	郊祭	相，尊位也。子独不见郊祭之牺牛乎？养食之数岁	制度
063_老子韩非列传	数岁	数岁	984	词表匹配	数岁	郊祭之牺牛乎？养食之数岁，衣以文绣，以入大庙	时间
063_老子韩非列传	文绣	文绣	989	词表匹配	文绣	乎？养食之数岁，衣以文绣，以入大庙。当是之时	器物
063_老子韩非列传	大庙	大庙	994	词表匹配	大庙	数岁，衣以文绣，以入大庙。当是之时，虽欲为孤	制度
063_老子韩非列传	申不害	申不害	1057	词表匹配	申不害	吾志焉。"↵↵## 申不害事韩↵↵[11] @	人名
063_老子韩非列传	晋昭侯	昭侯	1095	词表匹配	昭侯	贱臣。学术以干=韩=昭侯，昭侯用为相。内脩^	人名
063_老子韩非列传	晋昭侯	昭侯	1098	词表匹配	昭侯	学术以干=韩=昭侯，昭侯用为相。内脩^政^教	人名
063_老子韩非列传	十五年	十五年	1116	词表匹配	十五年	^政^教，外应诸侯，十五年。终申子之身，国治兵	时间
063_老子韩非列传	申子	申子	1121	词表匹配	申子	外应诸侯，十五年。终申子之身，国治兵彊，无侵	人名
063_老子韩非列传	申子	申子	1145	词表匹配	申子	=者。↵↵[12] 申子之学本於黄老而主^刑	人名
063_老子韩非列传	黄老	黄老	1151	词表匹配	黄老	12] 申子之学本於黄老而主^刑^名。著书二	制度
063_老子韩非列传	申子	申子	1167	词表匹配	申子	^名。著书二篇，号曰申子。↵↵## 韩非出身	人名
063_老子韩非列传	韩非	韩非	1175	词表匹配	韩非	号曰申子。↵↵## 韩非出身↵↵[13] @	人名
063_老子韩非列传	名法	名法	1205	词表匹配	名法	之诸公子也。喜^刑^名法术之学，而其归本於黄	制度
063_老子韩非列传	黄老	黄老	1216	词表匹配	黄老	法术之学，而其归本於黄老。非为人口吃，不能道	制度
063_老子韩非列传	李斯	李斯	1236	词表匹配	李斯	能道说，而善著书。与李斯俱事@荀卿@，斯自以	人名
063_老子韩非列传	而以	而以	1324	词表匹配	而以	以御其臣下，富国彊兵而以求人任贤，反举浮淫之	人名
063_老子韩非列传	儒者	儒者	1348	词表匹配	儒者	加之於功实之上。以为儒者用文乱法，而侠者以武	制度
063_老子韩非列传	孤愤	孤愤	1414	词表匹配	孤愤	观往者得失之变，故作孤愤、五蠹、内外储、说林	制度
063_老子韩非列传	说难	说难	1427	词表匹配	说难	五蠹、内外储、说林、说难十馀万言。↵↵[15	制度
063_老子韩非列传	十馀万	十馀万	1429	词表匹配	十馀万	、内外储、说林、说难十馀万言。↵↵[15] 然	时间
063_老子韩非列传	说难	说难	1452	词表匹配	说难	@韩非@知说之难，为说难书甚具，终死於=秦=	制度
063_老子韩非列传	说难	说难	1475	词表匹配	说难	不能自脱。↵↵## 说难全文↵↵[16] 说	制度
063_老子韩非列传	说难	说难	1486	词表匹配	说难	难全文↵↵[16] 说难曰：↵↵[17] 凡	制度
063_老子韩非列传	出於	出於	1567	词表匹配	出於	。↵↵[18] 所说出於为名高者也，而说之以	人名
