章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
064_司马穰苴列传	司马	司马	6	词表匹配	司马	# [0] 司马穰苴列传↵↵## 受	人名
064_司马穰苴列传	穰苴	穰苴	8	词表匹配	穰苴	# [0] 司马穰苴列传↵↵## 受命将	人名
064_司马穰苴列传	田完	田完	37	词表匹配	田完	@司马=穰=苴@者，田完之苗裔也。@齐景公@	人名
064_司马穰苴列传	河上	河上	66	词表匹配	河上	阿=、甄，而=燕=侵河上，=齐=师败绩。景公	地名
064_司马穰苴列传	晋景公	景公	76	词表匹配	景公	河上，=齐=师败绩。景公患之。@晏婴@乃荐田	人名
064_司马穰苴列传	田氏	田氏	100	词表匹配	田氏	苴@曰："@穰苴@虽田氏庶孽，然其人文能附众	人名
064_司马穰苴列传	晋景公	景公	124	词表匹配	景公	能威敌，原君试之。"景公召@穰苴@，与语兵事	人名
064_司马穰苴列传	宠臣	宠臣	206	词表匹配	宠臣	，人微权轻，原得君之宠臣，国之所尊，以监军，	官职
064_司马穰苴列传	晋景公	景公	224	词表匹配	景公	以监军，乃可。"於是景公许之，使庄贾往。@穰	人名
064_司马穰苴列传	庄贾	庄贾	230	词表匹配	庄贾	。"於是景公许之，使庄贾往。@穰苴@既辞，与	人名
064_司马穰苴列传	庄贾	庄贾	242	词表匹配	庄贾	往。@穰苴@既辞，与庄贾约曰："旦日日中会於	人名
064_司马穰苴列传	日中	日中	250	词表匹配	日中	，与庄贾约曰："旦日日中会於军门。"@穰苴@	时间
064_司马穰苴列传	日中	日中	304	词表匹配	日中	亲戚左右送之，留饮。日中而贾不至。@穰苴@则	时间
064_司马穰苴列传	庄贾	庄贾	341	词表匹配	庄贾	束。约束既定，夕时，庄贾乃至。@穰苴@曰："	人名
064_司马穰苴列传	军正	军正	461	词表匹配	军正	君，何谓相送乎！"召军正问曰："军法期而後至	官职
064_司马穰苴列传	军法	军法	467	词表匹配	军法	乎！"召军正问曰："军法期而後至者云何？"对	制度
064_司马穰苴列传	庄贾	庄贾	486	词表匹配	庄贾	？"对曰："当斩。"庄贾惧，使人驰报景公，请	人名
064_司马穰苴列传	晋景公	景公	494	词表匹配	景公	。"庄贾惧，使人驰报景公，请救。既往，未及反	人名
064_司马穰苴列传	庄贾	庄贾	511	词表匹配	庄贾	往，未及反，於是遂斩庄贾以徇三军。三军之士皆	人名
064_司马穰苴列传	三军	三军	515	词表匹配	三军	反，於是遂斩庄贾以徇三军。三军之士皆振栗。久	制度
064_司马穰苴列传	三军	三军	518	词表匹配	三军	是遂斩庄贾以徇三军。三军之士皆振栗。久之，景	制度
064_司马穰苴列传	晋景公	景公	529	词表匹配	景公	军之士皆振栗。久之，景公遣使者持节赦贾，驰入	人名
064_司马穰苴列传	军正	军正	564	词表匹配	军正	，君令有所不受。"问军正曰："驰三军法何？"	官职
064_司马穰苴列传	三军	三军	570	词表匹配	三军	受。"问军正曰："驰三军法何？"正曰："当斩	制度
064_司马穰苴列传	三军	三军	626	词表匹配	三军	，*马*之左骖，以徇三军。遣使者还报，然後行	制度
064_司马穰苴列传	三日	三日	687	词表匹配	三日	粮食。最比其羸弱者，三日而後勒兵。病者皆求行	时间
064_司马穰苴列传	晋景公	景公	769	词表匹配	景公	约束，誓盟而後入邑。景公与诸$大夫$郊迎，劳	人名
064_司马穰苴列传	田氏	田氏	808	词表匹配	田氏	@，尊为大$司马$。田氏日以益尊於=齐=。↵	人名
064_司马穰苴列传	鲍氏	鲍氏	840	词表匹配	鲍氏	[2] 已而$大夫$鲍氏、高、国之属害之，谮	人名
064_司马穰苴列传	晋景公	景公	853	词表匹配	景公	高、国之属害之，谮於景公。景公退@穰苴@，苴	人名
064_司马穰苴列传	晋景公	景公	856	词表匹配	景公	之属害之，谮於景公。景公退@穰苴@，苴发疾而	人名
064_司马穰苴列传	田乞	田乞	870	词表匹配	田乞	穰苴@，苴发疾而死。田乞、田豹之徒由此怨高、	人名
064_司马穰苴列传	田豹	田豹	873	词表匹配	田豹	，苴发疾而死。田乞、田豹之徒由此怨高、国等。	人名
064_司马穰苴列传	田常成子	田常	888	词表匹配	田常	此怨高、国等。其後及田常杀简公，尽灭高子、国	人名
064_司马穰苴列传	齐简公	简公	891	词表匹配	简公	、国等。其後及田常杀简公，尽灭高子、国子之族	人名
064_司马穰苴列传	兵法	兵法	966	词表匹配	兵法	夫$追论古者$司马$兵法而附@穰苴@於其中，	制度
064_司马穰苴列传	兵法	兵法	989	词表匹配	兵法	号曰@司马=穰=苴@兵法。↵↵↵## 太史公	制度
064_司马穰苴列传	司马迁	太史公	998	词表匹配	太史公	@兵法。↵↵↵## 太史公曰↵↵> [NOTE	人名
064_司马穰苴列传	兵法	兵法	1019	词表匹配	兵法	TE] 余读$司马$兵法，闳廓深远，虽三=代	制度
064_司马穰苴列传	兵法	兵法	1073	词表匹配	兵法	行师，何暇及$司马$兵法之揖让乎？世既多$司	制度
064_司马穰苴列传	兵法	兵法	1087	词表匹配	兵法	让乎？世既多$司马$兵法，以故不论，著@穰苴	制度
064_司马穰苴列传	河上	河上	1115	词表匹配	河上	↵↵[4] =燕=侵河上，=齐=师败绩。婴荐	地名
064_司马穰苴列传	三军	三军	1142	词表匹配	三军	武能威敌。斩贾以徇，三军惊惕。我卒既彊，彼寇	制度
