章节	全名	省称	位置	句法框架类型	匹配模式	上下文
065_孙子吴起列传	孙膑	膑	631	主语位	膑亦	。膑生=阿=鄄之间，膑亦@孙武@之後世子孙
065_孙子吴起列传	吴起	起	1903	主语位	起乃	子@薄之，而与起绝。起乃之=鲁=，学兵法以
065_孙子吴起列传	吴起	起	2570	主语位	起曰	@田文@曰："可。"起曰："将三军，使士卒
065_孙子吴起列传	田文	文	2596	主语位	文曰	不敢谋，子孰与起？"文曰："不如子。"起曰
065_孙子吴起列传	吴起	起	2605	主语位	起曰	"文曰："不如子。"起曰："治百官，亲万民
065_孙子吴起列传	田文	文	2627	主语位	文曰	实府库，子孰与起？"文曰："不如子。"起曰
065_孙子吴起列传	吴起	起	2636	主语位	起曰	"文曰："不如子。"起曰："守西河而=秦=
065_孙子吴起列传	田文	文	2666	主语位	文曰	赵宾从，子孰与起？"文曰："不如子。"起曰
065_孙子吴起列传	吴起	起	2675	主语位	起曰	"文曰："不如子。"起曰："此三者，子皆出
065_孙子吴起列传	田文	文	2699	主语位	文曰	而位加吾上，何也？"文曰："主少国疑，大臣
065_孙子吴起列传	田文	文	2751	主语位	文曰	，曰："属之子矣。"文曰："此乃吾所以居子
