章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
067_仲尼弟子列传	德行	德行	52	词表匹配	德行	人”，皆异能之士也。德行：@颜渊@，闵子骞，	思想
067_仲尼弟子列传	德行	德行	253	词表匹配	德行	并世。↵↵## 颜回德行↵↵[3] @颜回@	思想
067_仲尼弟子列传	天下	天下	313	词表匹配	天下	曰：“克己复^礼^，天下归仁焉。”↵↵[5]	思想
067_仲尼弟子列传	德行	德行	611	词表匹配	德行	伯牛。@孔子@以为有德行。↵↵[10] 伯牛	思想
067_仲尼弟子列传	德行	德行	736	词表匹配	德行	 @孔子@以仲弓为有德行，曰：“雍也可使南面	思想
067_仲尼弟子列传	君子	君子	1154	词表匹配	君子	1] @子路@问：“君子尚勇乎？”@孔子@曰	思想
067_仲尼弟子列传	君子	君子	1173	词表匹配	君子	子@曰：“义之为上。君子好勇而无义则乱，小人	思想
067_仲尼弟子列传	君子	君子	1848	词表匹配	君子	之缨。@子路@曰：“君子死而冠不免。”遂结缨	思想
067_仲尼弟子列传	君子	君子	1976	词表匹配	君子	“三年之丧不已久乎？君子三年不为^礼^，^礼	思想
067_仲尼弟子列传	君子	君子	2046	词表匹配	君子	安。”“汝安则为之。君子居丧，食旨不甘，闻乐	思想
067_仲尼弟子列传	天下	天下	2100	词表匹配	天下	母之怀。夫三年之丧，天下之通义也。”↵↵[3	思想
067_仲尼弟子列传	祭祀	祭祀	4074	词表匹配	祭祀	之赐，使得奉俎豆而修祭祀，死不敢忘，何谋之敢	礼仪
067_仲尼弟子列传	大义	大义	4142	词表匹配	大义	左右。今窃闻大王将兴大义，诛彊救弱，困暴=齐	思想
067_仲尼弟子列传	君子	君子	4859	词表匹配	君子	“昔者偃闻诸夫子曰，君子学道则爱人，小人学道	思想
067_仲尼弟子列传	君子	君子	5090	词表匹配	君子	谓@子夏@曰：“汝为君子儒，无为小人儒。”↵	思想
067_仲尼弟子列传	无为	无为	5094	词表匹配	无为	@曰：“汝为君子儒，无为小人儒。”↵↵[54	思想
067_仲尼弟子列传	孝经	孝经	5524	词表匹配	孝经	通孝道，故授之业。作孝经。死於=鲁=。↵↵#	典籍
067_仲尼弟子列传	君子	君子	5729	词表匹配	君子	] @孔子@谓“子贱君子哉！=鲁=无君子，斯	思想
067_仲尼弟子列传	君子	君子	5737	词表匹配	君子	子贱君子哉！=鲁=无君子，斯焉取斯？”↵↵[	思想
067_仲尼弟子列传	天下	天下	6163	词表匹配	天下	其死然；禹稷躬稼而有天下？”@孔子@弗答。容	思想
067_仲尼弟子列传	君子	君子	6184	词表匹配	君子	容出，@孔子@曰：“君子哉若人！上德哉若人！	思想
067_仲尼弟子列传	天下	天下	6262	词表匹配	天下	6] @孔子@曰：“天下无行，多为家臣，仕於	思想
067_仲尼弟子列传	社稷	社稷	6726	词表匹配	社稷	@曰：“有民人焉，有社稷焉，何必读书然後为学	礼仪
067_仲尼弟子列传	君子	君子	6995	词表匹配	君子	！”↵↵[92] 问君子，子曰：“君子不忧不	思想
067_仲尼弟子列传	君子	君子	7002	词表匹配	君子	] 问君子，子曰：“君子不忧不惧。”曰：“不	思想
067_仲尼弟子列传	君子	君子	7022	词表匹配	君子	“不忧不惧，斯可谓之君子乎？”子曰：“内省不	思想
067_仲尼弟子列传	君子	君子	7657	词表匹配	君子	*马*，衣轻裘。吾闻君子=周=急不继富。”↵	思想
067_仲尼弟子列传	君子	君子	7753	词表匹配	君子	巫*马*旗曰：“吾闻君子不党，君子亦党乎？=	思想
067_仲尼弟子列传	君子	君子	7758	词表匹配	君子	曰：“吾闻君子不党，君子亦党乎？=鲁=君娶=	思想
067_仲尼弟子列传	论语	论语	8775	词表匹配	论语	余以弟子名姓文字悉取论语弟子问并次为篇，疑者	典籍
