章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
070_张仪列传	富贵	富贵	384	词表匹配	富贵	辱至此。吾宁不能言而富贵子，子不足收也。”谢	思想
070_张仪列传	天下	天下	472	词表匹配	天下	人$曰：“@张仪@，天下贤士，吾殆弗如也。今	思想
070_张仪列传	天下	天下	1147	词表匹配	天下	案图籍，挟天子以令於天下，天下莫敢不听，此王	思想
070_张仪列传	天下	天下	1150	词表匹配	天下	，挟天子以令於天下，天下莫敢不听，此王业也。	思想
070_张仪列传	天下	天下	1221	词表匹配	天下	。今三川、=周=室，天下之朝市也，而王不争焉	思想
070_张仪列传	天下	天下	1393	词表匹配	天下	而彼已服焉。拔一国而天下不以为暴，利尽西海而	思想
070_张仪列传	天下	天下	1405	词表匹配	天下	不以为暴，利尽西海而天下不以为贪，是我一举而	思想
070_张仪列传	名实	名实	1417	词表匹配	名实	不以为贪，是我一举而名实附也，而又有禁暴止乱	思想
070_张仪列传	天下	天下	1461	词表匹配	天下	，又有不义之名，而攻天下所不欲，危矣。臣请谒	思想
070_张仪列传	天下	天下	1480	词表匹配	天下	臣请谒其故：=周=，天下之宗室也；=齐=，=	思想
070_张仪列传	斩首	斩首	2051	词表匹配	斩首	，先败=韩=申差军，斩首八万，诸侯震恐。而@	刑法
070_张仪列传	社稷	社稷	2290	词表匹配	社稷	诸侯之为从者，将以安社稷尊主彊兵显名也。今从	礼仪
070_张仪列传	天下	天下	2304	词表匹配	天下	彊兵显名也。今从者一天下，约为昆弟，^刑^白	思想
070_张仪列传	天下	天下	2731	词表匹配	天下	一诸侯而成封侯，是故天下之游谈士莫不日夜搤腕	思想
070_张仪列传	斩首	斩首	3686	词表匹配	斩首	=秦=齐共攻=楚=，斩首八万，杀屈匄，遂取丹	刑法
070_张仪列传	天下	天下	4232	词表匹配	天下	=王曰：“=秦=地半天下，兵敌四国，被险带河	思想
070_张仪列传	天下	天下	4311	词表匹配	天下	，席卷常山之险，必折天下之脊，天下有後服者先	思想
070_张仪列传	天下	天下	4316	词表匹配	天下	之险，必折天下之脊，天下有後服者先亡。且夫为	思想
070_张仪列传	天下	天下	4383	词表匹配	天下	。↵↵[25] “凡天下彊国，非=秦=而=楚	思想
070_张仪列传	社稷	社稷	4486	词表匹配	社稷	，=韩=、梁攻其北，社稷安得毋危？↵↵[26	礼仪
070_张仪列传	天下	天下	4921	词表匹配	天下	、=赵=者，阴谋有合天下之心。=楚=尝与=秦	思想
070_张仪列传	天下	天下	5052	词表匹配	天下	卫=阳=晋=，必大关天下之匈。大王悉起兵以攻	思想
070_张仪列传	天下	天下	5109	词表匹配	天下	。↵↵[31] “凡天下而以信约从亲相坚者@	思想
070_张仪列传	天下	天下	5213	词表匹配	天下	之@苏秦@，而欲经营天下，混一诸侯，其不可成	思想
070_张仪列传	天下	天下	5818	词表匹配	天下	奋曰‘听吾计可以彊霸天下’。夫不顾社稷之长利	思想
070_张仪列传	社稷	社稷	5825	词表匹配	社稷	以彊霸天下’。夫不顾社稷之长利而听须臾之说，	礼仪
070_张仪列传	天下	天下	6137	词表匹配	天下	东说@齐湣王@曰：“天下彊国无过=齐=者，大	思想
070_张仪列传	社稷	社稷	6604	词表匹配	社稷	隐居东海之上，未尝闻社稷之长利也。”乃许@张	礼仪
070_张仪列传	天下	天下	6661	词表匹配	天下	愚计於大王。大王收率天下以宾=秦=，=秦=兵	思想
070_张仪列传	天下	天下	6930	词表匹配	天下	自令*车*裂於市。夫天下之不可一亦明矣。今=	思想
070_张仪列传	天下	天下	7485	词表匹配	天下	之山。=代=王之亡，天下莫不闻。↵↵[47]	思想
070_张仪列传	天下	天下	7855	词表匹配	天下	=秦=必复用之，恐为天下笑。”诸侯闻@张仪@	思想
070_张仪列传	社稷	社稷	7970	词表匹配	社稷	？”对曰：“为=秦=社稷计者，东方有大变，然	礼仪
070_张仪列传	天下	天下	8708	词表匹配	天下	矣。昔子胥忠於其君而天下争以为臣，曾参孝於其	思想
070_张仪列传	天下	天下	8722	词表匹配	天下	为臣，曾参孝於其亲而天下原以为子。故卖仆妾不	思想
