章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
071_樗里子甘茂列传	樗里子	樗里子	6	词表匹配	樗里子	# [0] 樗里子甘茂列传↵↵## 樗	人名
071_樗里子甘茂列传	甘茂	甘茂	9	词表匹配	甘茂	# [0] 樗里子甘茂列传↵↵## 樗里子	人名
071_樗里子甘茂列传	樗里子	樗里子	18	词表匹配	樗里子	子甘茂列传↵↵## 樗里子出身称智囊↵↵[1]	人名
071_樗里子甘茂列传	八年	八年	111	词表匹配	八年	↵[2] @秦惠王@八年，爵@樗里子@右更，	时间
071_樗里子甘茂列传	曲沃	曲沃	127	词表匹配	曲沃	里子@右更，使将而伐曲沃，尽出其人，取其城，	地名
071_樗里子甘茂列传	二十五年	二十五年	150	词表匹配	二十五年	入=秦=。@秦惠王@二十五年，使@樗里子@为将伐	时间
071_樗里子甘茂列传	明年	明年	180	词表匹配	明年	赵=将军庄豹，拔蔺。明年，助=魏=章攻=楚=	时间
071_樗里子甘茂列传	屈丐	屈丐	198	词表匹配	屈丐	攻=楚=，败=楚=将屈丐，取汉中地。=秦=封	人名
071_樗里子甘茂列传	汉中	汉中	202	词表匹配	汉中	，败=楚=将屈丐，取汉中地。=秦=封@樗里子	地名
071_樗里子甘茂列传	三王	三王	231	词表匹配	三王	↵↵## 拜相用事历三王↵↵[3] @秦惠王	朝代
071_樗里子甘茂列传	而以	而以	265	词表匹配	而以	@张仪@、=魏=章，而以@樗里子@、@甘茂@	人名
071_樗里子甘茂列传	宜阳	宜阳	299	词表匹配	宜阳	@甘茂@攻=韩=，拔宜阳。使@樗里子@以*车	地名
071_樗里子甘茂列传	百乘	百乘	312	词表匹配	百乘	使@樗里子@以*车*百乘入=周=。=周=以卒	时间
071_樗里子甘茂列传	知伯文子	知伯	364	词表匹配	知伯	周=说=楚=王曰："知伯之伐仇犹，遗之广*车	人名
071_樗里子甘茂列传	虎狼	虎狼	426	词表匹配	虎狼	袭=蔡=。今=秦=，虎狼之国，使@樗里子@以	器物
071_樗里子甘茂列传	百乘	百乘	441	词表匹配	百乘	使@樗里子@以*车*百乘入=周=，=周=以仇	时间
071_樗里子甘茂列传	社稷	社稷	495	词表匹配	社稷	且夫=周=岂能无忧其社稷哉？恐一旦亡国以忧大	制度
071_樗里子甘茂列传	一旦	一旦	500	词表匹配	一旦	岂能无忧其社稷哉？恐一旦亡国以忧大王。"=楚	时间
071_樗里子甘茂列传	蒲城	蒲城	553	词表匹配	蒲城	尊重。↵↵## 解围蒲城显智略↵↵[5] @	地名
071_樗里子甘茂列传	元年	元年	568	词表匹配	元年	↵↵[5] @昭王@元年，@樗里子@将伐蒲。	官职
