章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
072_穰侯列传	穰侯	穰侯	6	词表匹配	穰侯	# [0] 穰侯列传↵↵## 外戚擁	人名
072_穰侯列传	外戚	外戚	15	词表匹配	外戚	 穰侯列传↵↵## 外戚擁立昭王↵↵[1] 	人名
072_穰侯列传	周昭王	昭王	19	词表匹配	昭王	传↵↵## 外戚擁立昭王↵↵[1] @穰侯@	人名
072_穰侯列传	魏厓	魏厓	31	词表匹配	魏厓	↵↵[1] @穰侯@魏厓者，@秦昭王@母宣太	人名
072_穰侯列传	宣太后	宣太后	41	词表匹配	宣太后	魏厓者，@秦昭王@母宣太后弟也。其先=楚=人，	人名
072_穰侯列传	宣太后	宣太后	108	词表匹配	宣太后	王@即位，羋八子号为宣太后。宣太后非@武王@母	人名
072_穰侯列传	宣太后	宣太后	112	词表匹配	宣太后	，羋八子号为宣太后。宣太后非@武王@母。@武王	人名
072_穰侯列传	惠文后	惠文后	129	词表匹配	惠文后	@母。@武王@母号曰惠文后，先@武王@死。宣太	人名
072_穰侯列传	宣太后	宣太后	140	词表匹配	宣太后	文后，先@武王@死。宣太后二弟：其异父长弟曰@	人名
072_穰侯列传	华阳	华阳	176	词表匹配	华阳	同父弟曰羋~戎~，为华阳君。而@昭王@同母弟	人名
072_穰侯列传	高陵	高陵	189	词表匹配	高陵	。而@昭王@同母弟曰高陵君、泾阳君。而=魏=	地名
072_穰侯列传	泾阳君	泾阳君	193	词表匹配	泾阳君	王@同母弟曰高陵君、泾阳君。而=魏=厓最贤，自	人名
072_穰侯列传	诛季君之乱	诛季君之乱	267	词表匹配	诛季君之乱	将军$，卫=咸阳=。诛季君之乱，而逐@武王@后出之	event
072_穰侯列传	宣太后	宣太后	313	词表匹配	宣太后	秦国=。@昭王@少，宣太后自治，任=魏=厓为^	人名
072_穰侯列传	白起	白起	335	词表匹配	白起	^政^。↵↵## 举白起四拜相↵↵[3] @	人名
072_穰侯列传	七年	七年	350	词表匹配	七年	↵↵[3] @昭王@七年，@樗里子@死，而使	时间
072_穰侯列传	泾阳君	泾阳君	362	词表匹配	泾阳君	，@樗里子@死，而使泾阳君质於=齐=。=赵=人	人名
072_穰侯列传	楼缓	楼缓	375	词表匹配	楼缓	质於=齐=。=赵=人楼缓来相=秦=，=赵=不	人名
072_穰侯列传	仇液	仇液	391	词表匹配	仇液	=，=赵=不利，乃使仇液之=秦=，请以=魏=	人名
072_穰侯列传	仇液	仇液	410	词表匹配	仇液	=魏=厓为=秦=相。仇液将行，其客=宋=公谓	人名
072_穰侯列传	将行	将行	412	词表匹配	将行	=厓为=秦=相。仇液将行，其客=宋=公谓液曰	官职
072_穰侯列传	楼缓	楼缓	433	词表匹配	楼缓	曰："=秦=不听公，楼缓必怨公。公不若谓楼缓	人名
072_穰侯列传	楼缓	楼缓	443	词表匹配	楼缓	楼缓必怨公。公不若谓楼缓曰'请为公毋急=秦=	人名
072_穰侯列传	秦德公	德公	500	词表匹配	德公	子；事成，=魏=厓故德公矣。"於是仇液从之。	人名
072_穰侯列传	仇液	仇液	507	词表匹配	仇液	=厓故德公矣。"於是仇液从之。而=秦=果免楼	人名
072_穰侯列传	楼缓	楼缓	518	词表匹配	楼缓	液从之。而=秦=果免楼缓而=魏=厓相=秦=。	人名
072_穰侯列传	十四年	十四年	556	词表匹配	十四年	出奔=齐=。@昭王@十四年，=魏=厓举@白起@	时间
072_穰侯列传	向寿	向寿	574	词表匹配	向寿	举@白起@，使=代=向寿将而攻=韩=、=魏=	人名
072_穰侯列传	伊阙	伊阙	589	词表匹配	伊阙	=韩=、=魏=，败之伊阙，斩首二十四万，虏=	地名
072_穰侯列传	公孙喜	公孙喜	604	词表匹配	公孙喜	二十四万，虏=魏=将公孙喜。明年，又取=楚=之	人名
072_穰侯列传	明年	明年	608	词表匹配	明年	，虏=魏=将公孙喜。明年，又取=楚=之宛、叶	时间
072_穰侯列传	免相	免相	627	词表匹配	免相	宛、叶。=魏=厓谢病免相，以$客卿$寿烛为相	官职
072_穰侯列传	明年	明年	641	词表匹配	明年	$客卿$寿烛为相。其明年，烛免，复相厓，乃封	时间
072_穰侯列传	四岁	四岁	699	词表匹配	四岁	↵[5] @穰侯@封四岁，为=秦=将攻=魏=	时间
072_穰侯列传	四百里	四百里	721	词表匹配	四百里	。=魏=献=河东=方四百里。拔=魏=之=河内=	时间
072_穰侯列传	六十馀	六十馀	739	词表匹配	六十馀	之=河内=，取城大小六十馀。@昭王@十九年，=	时间
072_穰侯列传	十九年	十九年	747	词表匹配	十九年	大小六十馀。@昭王@十九年，=秦=称西帝，=齐	时间
072_穰侯列传	月馀	月馀	765	词表匹配	月馀	西帝，=齐=称东帝。月馀，吕^礼^来，而=齐	时间
072_穰侯列传	六岁	六岁	799	词表匹配	六岁	=魏=厓复相=秦=，六岁而免。免二岁，复相=	时间
072_穰侯列传	二岁	二岁	805	词表匹配	二岁	=秦=，六岁而免。免二岁，复相=秦=。四岁，	时间
072_穰侯列传	四岁	四岁	814	词表匹配	四岁	免二岁，复相=秦=。四岁，而使@白起@拔=楚	时间
072_穰侯列传	南郡	南郡	836	词表匹配	南郡	=之=郢=，=秦=置南郡。乃封@白起@为武安	地名
072_穰侯列传	白起	武安君	846	词表匹配	武安君	南郡。乃封@白起@为武安君。@白起@者，@穰侯	人名
072_穰侯列传	大梁	大梁	889	词表匹配	大梁	於王室。↵↵## 围大梁听言罢兵↵↵[6] 	地名
072_穰侯列传	三十二年	三十二年	905	词表匹配	三十二年	↵↵[6] @昭王@三十二年，@穰侯@为$相国$	时间
072_穰侯列传	芒卯	芒卯	928	词表匹配	芒卯	$，将兵攻=魏=，走芒卯，入北宅，遂围=大梁	人名
072_穰侯列传	梁大夫	梁大夫	942	词表匹配	梁大夫	北宅，遂围=大梁=。梁大夫@须贾@说@穰侯@曰	官职
072_穰侯列传	长吏	长吏	963	词表匹配	长吏	@曰："臣闻=魏=之长吏谓=魏=王曰：'昔梁	官职
072_穰侯列传	子良	子良	1024	词表匹配	子良	攻=卫=，拔故国，杀子良；=卫=人不割，而故	人名
072_穰侯列传	芒卯	芒卯	1180	词表匹配	芒卯	=何厌之有哉！今又走芒卯，入北宅，此非敢攻梁	人名
072_穰侯列传	今王	今王	1209	词表匹配	今王	多割地。王必勿听也。今王背=楚=、=赵=而讲	官职
072_穰侯列传	芒卯	芒卯	1383	词表匹配	芒卯	，天幸为多矣。今又走芒卯，入北宅，以攻=大梁	人名
072_穰侯列传	十万之众	十万之众	1442	词表匹配	十万之众	以为不下三十万。以三十万之众守梁七仞之城，臣以为	时间
072_穰侯列传	十万之众	十万之众	1488	词表匹配	十万之众	兵，陵七仞之城，战三十万之众，而志必举之，臣以为	时间
072_穰侯列传	天地	天地	1503	词表匹配	天地	而志必举之，臣以为自天地始分以至于今，未尝有	天文
072_穰侯列传	安邑	安邑	1675	词表匹配	安邑	不攻，而=魏=必效绛安邑。又为=陶=开两道，	地名
072_穰侯列传	单父	单父	1699	词表匹配	单父	故=宋=，=卫=必效单父。=秦=兵可全，而君	地名
072_穰侯列传	华阳	华阳	1757	词表匹配	华阳	乃罢梁围。↵↵## 华阳大胜欲伐齐↵↵[7]	人名
072_穰侯列传	明年	明年	1770	词表匹配	明年	胜欲伐齐↵↵[7] 明年，=魏=背=秦=，与	时间
072_穰侯列传	暴鸢	暴鸢	1811	词表匹配	暴鸢	斩首四万，走=魏=将暴鸢，得=魏=三县。@穰	人名
072_穰侯列传	明年	明年	1834	词表匹配	明年	@益封。↵↵[8] 明年，@穰侯@与@白起@	时间
072_穰侯列传	客卿	客卿	1846	词表匹配	客卿	，@穰侯@与@白起@客卿~胡~阳复攻=赵=、	官职
072_穰侯列传	芒卯	芒卯	1867	词表匹配	芒卯	、=韩=、=魏=，破芒卯於华阳下，斩首十万，	人名
072_穰侯列传	华阳	华阳	1870	词表匹配	华阳	=、=魏=，破芒卯於华阳下，斩首十万，取=魏	人名
072_穰侯列传	长社	长社	1891	词表匹配	长社	魏=之卷、=蔡=阳、长社，=赵=氏观津。且与	地名
072_穰侯列传	观津	观津	1898	词表匹配	观津	=阳、长社，=赵=氏观津。且与=赵=观津，益	地名
072_穰侯列传	观津	观津	1906	词表匹配	观津	=氏观津。且与=赵=观津，益=赵=以兵，伐=	地名
072_穰侯列传	周襄王	襄王	1924	词表匹配	襄王	兵，伐=齐=。=齐=襄王惧，使苏=代=为=齐	人名
072_穰侯列传	千钧	千钧	2151	词表匹配	千钧	以天下攻=齐=，如以千钧之弩决溃筴也，必死，	时间
072_穰侯列传	安邑	安邑	2335	词表匹配	安邑	=之愚？此五也。故得安邑以善事之，亦必无患矣	地名
072_穰侯列传	安邑	安邑	2352	词表匹配	安邑	亦必无患矣。=秦=有安邑，=韩=氏必无=上党	地名
072_穰侯列传	范睢	范睢	2446	词表匹配	范睢	引兵而归。↵↵## 范睢奸说失相印↵↵[9]	人名
072_穰侯列传	三十六年	三十六年	2463	词表匹配	三十六年	↵↵[9] @昭王@三十六年，相国@穰侯@言$客	时间
072_穰侯列传	相国	相国	2468	词表匹配	相国	 @昭王@三十六年，相国@穰侯@言$客卿$灶	官职
072_穰侯列传	宣太后	宣太后	2570	词表匹配	宣太后	@范睢@。@范睢@言宣太后专制，@穰侯@擅权於	人名
072_穰侯列传	泾阳君	泾阳君	2586	词表匹配	泾阳君	@穰侯@擅权於诸侯，泾阳君、高陵君之属太侈，富	人名
072_穰侯列传	高陵	高陵	2590	词表匹配	高陵	擅权於诸侯，泾阳君、高陵君之属太侈，富於王室	地名
072_穰侯列传	泾阳	泾阳	2620	词表匹配	泾阳	悟，乃免$相国$，令泾阳之属皆出关，就封邑。	地名
072_穰侯列传	千乘	千乘	2643	词表匹配	千乘	穰侯@出关，辎*车*千乘有馀。↵↵[10] 	地名
072_穰侯列传	司马迁	太史公	2687	词表匹配	太史公	=为郡。↵↵↵## 太史公曰↵↵> [NOTE	人名
072_穰侯列传	而以	而以	2769	词表匹配	而以	，一夫开说，身折势夺而以忧死，况於羁旅之臣乎	人名
