章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
073_白起王翦列传	白起	白起	6	词表匹配	白起	# [0] 白起王翦列传↵↵## 白	人名
073_白起王翦列传	王翦	王翦	8	词表匹配	王翦	# [0] 白起王翦列传↵↵## 白起崛	人名
073_白起王翦列传	白起	白起	17	词表匹配	白起	起王翦列传↵↵## 白起崛起战功赫↵↵[1]	人名
073_白起王翦列传	十三年	十三年	55	词表匹配	十三年	@秦昭王@。@昭王@十三年，而@白起@为$左庶	时间
073_白起王翦列传	新城	新城	78	词表匹配	新城	长$，将而击=韩=之新城。是岁，@穰侯@相=	地名
073_白起王翦列传	任鄙	任鄙	94	词表匹配	任鄙	@穰侯@相=秦=，举任鄙以为汉中守。其明年，	人名
073_白起王翦列传	汉中守	汉中守	98	词表匹配	汉中守	相=秦=，举任鄙以为汉中守。其明年，@白起@为	官职
073_白起王翦列传	明年	明年	103	词表匹配	明年	举任鄙以为汉中守。其明年，@白起@为左更，攻	时间
073_白起王翦列传	左更	左更	111	词表匹配	左更	。其明年，@白起@为左更，攻=韩=、=魏=於	官职
073_白起王翦列传	伊阙	伊阙	123	词表匹配	伊阙	，攻=韩=、=魏=於伊阙，斩首二十四万，又虏	地名
073_白起王翦列传	公孙喜	公孙喜	137	词表匹配	公孙喜	首二十四万，又虏其将公孙喜，拔五城。起迁为国尉	人名
073_白起王翦列传	国尉	国尉	148	词表匹配	国尉	孙喜，拔五城。起迁为国尉。涉河取=韩=安邑以	官职
073_白起王翦列传	安邑	安邑	157	词表匹配	安邑	为国尉。涉河取=韩=安邑以东，到乾河。明年，	地名
073_白起王翦列传	明年	明年	166	词表匹配	明年	=安邑以东，到乾河。明年，@白起@为$大良造	时间
073_白起王翦列传	明年	明年	196	词表匹配	明年	之，取城小大六十一。明年，起与$客卿$错攻垣	时间
073_白起王翦列传	五年	五年	214	词表匹配	五年	$错攻垣城，拔之。後五年，@白起@攻=赵=，	时间
073_白起王翦列传	後七年	後七年	231	词表匹配	後七年	攻=赵=，拔光狼城。後七年，@白起@攻=楚=，	时间
073_白起王翦列传	明年	明年	254	词表匹配	明年	拔=鄢=、邓五城。其明年，攻=楚=，拔=郢=	时间
073_白起王翦列传	夷陵	夷陵	268	词表匹配	夷陵	=楚=，拔=郢=，烧夷陵，遂东至竟陵。=楚=	地名
073_白起王翦列传	南郡	南郡	302	词表匹配	南郡	=。=秦=以=郢=为南郡。@白起@迁为武安君	地名
073_白起王翦列传	白起	武安君	311	词表匹配	武安君	为南郡。@白起@迁为武安君。武安君因取=楚=，	人名
073_白起王翦列传	白起	武安君	315	词表匹配	武安君	@白起@迁为武安君。武安君因取=楚=，定巫、黔	人名
073_白起王翦列传	黔中郡	黔中郡	327	词表匹配	黔中郡	君因取=楚=，定巫、黔中郡。@昭王@三十四年，	地名
073_白起王翦列传	三十四年	三十四年	335	词表匹配	三十四年	巫、黔中郡。@昭王@三十四年，@白起@攻=魏=，	时间
073_白起王翦列传	华阳	华阳	350	词表匹配	华阳	@白起@攻=魏=，拔华阳，走芒卯，而虏三=晋	人名
073_白起王翦列传	芒卯	芒卯	354	词表匹配	芒卯	攻=魏=，拔华阳，走芒卯，而虏三=晋=将，斩	人名
073_白起王翦列传	万人	万人	384	词表匹配	万人	=将贾偃战，沈其卒二万人於河中。@昭王@四十	时间
073_白起王翦列传	四十三年	四十三年	394	词表匹配	四十三年	万人於河中。@昭王@四十三年，@白起@攻=韩=陉	时间
073_白起王翦列传	陉城	陉城	407	词表匹配	陉城	年，@白起@攻=韩=陉城，拔五城，斩首五万。	地名
073_白起王翦列传	四十四年	四十四年	419	词表匹配	四十四年	，拔五城，斩首五万。四十四年，@白起@攻南阳太行	时间
073_白起王翦列传	南阳	南阳	429	词表匹配	南阳	四十四年，@白起@攻南阳太行道，绝之。↵↵#	地名
073_白起王翦列传	太行	太行	431	词表匹配	太行	四年，@白起@攻南阳太行道，绝之。↵↵## 	地名
073_白起王翦列传	上党归赵引长平	上党归赵引长平	443	词表匹配	上党归赵引长平	道，绝之。↵↵## 上党归赵引长平↵↵[2] 四十五年	event
073_白起王翦列传	四十五年	四十五年	456	词表匹配	四十五年	赵引长平↵↵[2] 四十五年，伐=韩=之野王。野	时间
073_白起王翦列传	野王	野王	466	词表匹配	野王	四十五年，伐=韩=之野王。野王降=秦=，=上	地名
073_白起王翦列传	野王	野王	469	词表匹配	野王	年，伐=韩=之野王。野王降=秦=，=上党=道	地名
073_白起王翦列传	冯亭	冯亭	485	词表匹配	冯亭	，=上党=道绝。其守冯亭与民谋曰："=郑=道	人名
073_白起王翦列传	孝成王	孝成王	593	词表匹配	孝成王	使人报=赵=。=赵=孝成王与平阳君、@平原君@	人名
073_白起王翦列传	平阳君	平阳君	597	词表匹配	平阳君	赵=。=赵=孝成王与平阳君、@平原君@计之。平	人名
073_白起王翦列传	平阳君	平阳君	609	词表匹配	平阳君	君、@平原君@计之。平阳君曰："不如勿受。受之	人名
073_白起王翦列传	冯亭	冯亭	657	词表匹配	冯亭	。"=赵=受之，因封冯亭为华阳君。↵↵[3]	人名
073_白起王翦列传	华阳	华阳	660	词表匹配	华阳	赵=受之，因封冯亭为华阳君。↵↵[3] 四十	人名
073_白起王翦列传	四十六年	四十六年	670	词表匹配	四十六年	华阳君。↵↵[3] 四十六年，=秦=攻=韩=缑氏	时间
073_白起王翦列传	缑氏	缑氏	682	词表匹配	缑氏	六年，=秦=攻=韩=缑氏、蔺，拔之。↵↵##	地名
073_白起王翦列传	长平之战	长平之战	695	词表匹配	长平之战	蔺，拔之。↵↵## 长平之战坑赵卒↵↵[4] 四	event
