章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
073_白起王翦列传	斩首	斩首	126	词表匹配	斩首	韩=、=魏=於伊阙，斩首二十四万，又虏其将公	刑法
073_白起王翦列传	斩首	斩首	365	词表匹配	斩首	卯，而虏三=晋=将，斩首十三万。与=赵=将贾	刑法
073_白起王翦列传	斩首	斩首	414	词表匹配	斩首	=韩=陉城，拔五城，斩首五万。四十四年，@白	刑法
073_白起王翦列传	斩首	斩首	1391	词表匹配	斩首	四十人归=赵=。前後斩首虏四十五万人。=赵=	刑法
073_白起王翦列传	天下	天下	1682	词表匹配	天下	=之民皆反为=赵=，天下不乐为=秦=民之日久	思想
073_白起王翦列传	当死	当死	2365	词表匹配	当死	？"良久，曰："我固当死。=长平=之战，=赵	刑法
073_白起王翦列传	祭祀	祭祀	2439	词表匹配	祭祀	=秦=人怜之，乡邑皆祭祀焉。↵↵## 王翦破	礼仪
073_白起王翦列传	天下	天下	3554	词表匹配	天下	齐=地。↵↵## 平天下后世三代↵↵[13]	思想
073_白起王翦列传	天下	天下	3579	词表匹配	天下	始皇@二十六年，尽并天下，王氏、蒙氏功为多，	思想
073_白起王翦列传	天下	天下	3836	词表匹配	天下	合变，出奇无穷，声震天下，然不能救患於应侯。	思想
