章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
074_孟子荀卿列传	孟子	孟子	6	词表匹配	孟子	# [0] 孟子荀卿列传↵↵## 太	典籍
074_孟子荀卿列传	天下	天下	266	词表匹配	天下	而诸侯东面朝=齐=。天下方务於合从连衡，以攻	思想
074_孟子荀卿列传	诗书	诗书	316	词表匹配	诗书	合。退而与万章之徒序诗书，述仲尼之意，作@孟	思想
074_孟子荀卿列传	天地	天地	351	词表匹配	天地	↵↵## 驺忌驺衍谈天地↵↵[2] =齐=有	思想
074_孟子荀卿列传	大雅	大雅	438	词表匹配	大雅	益淫侈，不能尚德，若大雅整之於身，施及黎庶矣	典籍
074_孟子荀卿列传	阴阳	阴阳	454	词表匹配	阴阳	，施及黎庶矣。乃深观阴阳消息而作怪迂之变，终	思想
074_孟子荀卿列传	天地	天地	535	词表匹配	天地	祥度制，推而远之，至天地未生，窈冥不可考而原	思想
074_孟子荀卿列传	天地	天地	590	词表匹配	天地	外人之所不能睹。称引天地剖判以来，五德转移，	思想
074_孟子荀卿列传	天下	天下	626	词表匹配	天下	为儒者所谓中国者，於天下乃八十一分居其一分耳	思想
074_孟子荀卿列传	天地	天地	733	词表匹配	天地	，乃有大瀛海环其外，天地之际焉。其术皆此类也	思想
074_孟子荀卿列传	大人	大人	777	词表匹配	大人	之施，始也滥耳。王公大人初见其术，惧然顾化，	典籍
074_孟子荀卿列传	治乱	治乱	1149	词表匹配	治乱	、驺奭之徒，各著书言治乱之事，以干世主，岂可	思想
074_孟子荀卿列传	圣人	圣人	1362	词表匹配	圣人	："嗟乎，淳于先生诚圣人也！前淳于先生之来，	思想
074_孟子荀卿列传	诸子	诸子	1500	词表匹配	诸子	终身不仕。↵↵## 诸子百家齐稷下↵↵[7]	思想
074_孟子荀卿列传	百家	百家	1502	词表匹配	百家	不仕。↵↵## 诸子百家齐稷下↵↵[7] 慎	思想
074_孟子荀卿列传	黄老	黄老	1542	词表匹配	黄老	环渊，=楚=人。皆学黄老^道德^之术，因发明	思想
074_孟子荀卿列传	天下	天下	1666	词表匹配	天下	高门大屋，尊宠之。览天下诸侯宾客，言=齐=能	思想
074_孟子荀卿列传	天下	天下	1679	词表匹配	天下	侯宾客，言=齐=能致天下贤士也。↵↵## 荀	思想
074_孟子荀卿列传	诸子	诸子	1980	词表匹配	诸子	因葬兰陵。↵↵## 诸子百家附述↵↵[11]	思想
074_孟子荀卿列传	百家	百家	1982	词表匹配	百家	兰陵。↵↵## 诸子百家附述↵↵[11] 而	思想
