章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
075_孟尝君列传	天下	天下	905	词表匹配	天下	@。↵↵## 好客倾天下之士↵↵[4] @孟	思想
075_孟尝君列传	天下	天下	960	词表匹配	天下	@舍业厚遇之，以故倾天下之士。$食客$数千人	思想
075_孟尝君列传	无为	无为	1298	词表匹配	无为	往，如有不得还，君得无为土禺人所笑乎？”@孟	思想
075_孟尝君列传	天下	天下	1483	词表匹配	天下	有一狐白裘，直千金，天下无双，入=秦=献之@	思想
075_孟尝君列传	天下	天下	2794	词表匹配	天下	反=齐=王之信，又禁天下之变。=齐=无=秦=	思想
075_孟尝君列传	天下	天下	2808	词表匹配	天下	。=齐=无=秦=，则天下集=齐=，亲弗必走，	思想
075_孟尝君列传	天下	天下	2908	词表匹配	天下	^收=齐=，=齐=，天下之彊国也，子必轻矣。	思想
075_孟尝君列传	天下	天下	2962	词表匹配	天下	礼^也。若=齐=免於天下之兵，其雠子必深矣。	思想
075_孟尝君列传	诸子	诸子	3295	词表匹配	诸子	卒，谥为@孟尝君@。诸子争立，而齐=魏=共灭	思想
075_孟尝君列传	天下	天下	4411	词表匹配	天下	乃西说=秦=王曰：“天下之游士冯轼结靷西入=	思想
075_孟尝君列传	天下	天下	4481	词表匹配	天下	势不两立为雄，雄者得天下矣。”=秦=王跽而问	思想
075_孟尝君列传	无为	无为	4503	词表匹配	无为	之曰：“何以使=秦=无为雌而可？”冯驩曰：“	思想
075_孟尝君列传	天下	天下	4553	词表匹配	天下	驩曰：“使=齐=重於天下者，@孟尝君@也。今	思想
075_孟尝君列传	天下	天下	4721	词表匹配	天下	=，说=齐=王曰：“天下之游士冯轼结靷东入=	思想
075_孟尝君列传	天下	天下	4847	词表匹配	天下	则已，西入相=秦=则天下归之，=秦=为雄而=	思想
075_孟尝君列传	富贵	富贵	5284	词表匹配	富贵	必有死，物之必至也；富贵多士，贫贱寡友，事之	思想
075_孟尝君列传	贫贱	贫贱	5289	词表匹配	贫贱	之必至也；富贵多士，贫贱寡友，事之固然也。君	思想
075_孟尝君列传	天下	天下	5469	词表匹配	天下	曰：“@孟尝君@招致天下任侠，奸人入=薛=中	思想
