章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
076_平原君虞卿列传	平原君	平原君	6	词表匹配	平原君	# [0] 平原君虞卿列传↵↵## 平	人名
076_平原君虞卿列传	虞卿	虞卿	9	词表匹配	虞卿	# [0] 平原君虞卿列传↵↵## 平原君	人名
076_平原君虞卿列传	平原君	平原君	18	词表匹配	平原君	君虞卿列传↵↵## 平原君养士三千↵↵[1] 	人名
076_平原君虞卿列传	平原君	赵胜	36	词表匹配	赵胜	↵[1] @平原君@赵胜者，=赵=之诸公子也	人名
076_平原君虞卿列传	数千人	数千人	65	词表匹配	数千人	，喜宾客，宾客盖至者数千人。@平原君@相@赵惠	时间
076_平原君虞卿列传	孝成王	孝成王	82	词表匹配	孝成王	君@相@赵惠文王@及孝成王，三去相，三复位，封	人名
076_平原君虞卿列传	武城	武城	97	词表匹配	武城	去相，三复位，封於东武城。↵↵[2] @平原	地名
076_平原君虞卿列传	美人	美人	133	词表匹配	美人	槃散行汲。@平原君@美人居楼上，临见，大笑之	官职
076_平原君虞卿列传	明日	明日	146	词表匹配	明日	楼上，临见，大笑之。明日，躄者至@平原君@门	时间
076_平原君虞卿列传	千里	千里	173	词表匹配	千里	臣闻君之喜士，士不远千里而至者，以君能贵士而	时间
076_平原君虞卿列传	竖子	竖子	245	词表匹配	竖子	平原君@笑曰：“观此竖子，乃欲以一笑之故杀吾	器物
076_平原君虞卿列传	美人	美人	257	词表匹配	美人	，乃欲以一笑之故杀吾美人，不亦甚乎！”终不杀	官职
076_平原君虞卿列传	岁馀	岁馀	271	词表匹配	岁馀	亦甚乎！”终不杀。居岁馀，宾客门下$舍人$稍	时间
076_平原君虞卿列传	美人	美人	369	词表匹配	美人	@平原君@乃斩笑躄者美人头，自造门进躄者，因	官职
076_平原君虞卿列传	春申君	春申	418	词表匹配	春申	有=信陵=，=楚=有春申，故争相倾以待士。↵	人名
076_平原君虞卿列传	毛遂	毛遂	434	词表匹配	毛遂	倾以待士。↵↵## 毛遂自荐定合从↵↵[3]	人名
076_平原君虞卿列传	合从	合从	439	词表匹配	合从	↵↵## 毛遂自荐定合从↵↵[3] =秦=之	制度
076_平原君虞卿列传	合从	合从	469	词表匹配	合从	=使@平原君@求救，合从於=楚=，约与$食客	制度
076_平原君虞卿列传	文武	文武	487	词表匹配	文武	与$食客$门下有勇力文武备具者二十人偕。@平	人名
076_平原君虞卿列传	十人	十人	493	词表匹配	十人	下有勇力文武备具者二十人偕。@平原君@曰：“	时间
076_平原君虞卿列传	十人	十人	569	词表匹配	十人	馀无可取者，无以满二十人。门下有@毛遂@者，	时间
076_平原君虞卿列传	合从	合从	598	词表匹配	合从	原君@曰：“遂闻君将合从於=楚=，约与$食客	制度
076_平原君虞卿列传	十人	十人	614	词表匹配	十人	，约与$食客$门下二十人偕，不外索。今少一人	时间
076_平原君虞卿列传	三年	三年	668	词表匹配	三年	矣？”@毛遂@曰：“三年於此矣。”@平原君@	时间
076_平原君虞卿列传	三年	三年	712	词表匹配	三年	见。今先生处胜之门下三年於此矣，左右未有所称	时间
076_平原君虞卿列传	今日	今日	759	词表匹配	今日	”@毛遂@曰：“臣乃今日请处囊中耳。使遂蚤得	时间
076_平原君虞卿列传	合从	合从	854	词表匹配	合从	。@平原君@与=楚=合从，言其利害，日出而言	制度
076_平原君虞卿列传	日中	日中	868	词表匹配	日中	其利害，日出而言之，日中不决。十九人谓@毛遂	时间
076_平原君虞卿列传	今日	今日	922	词表匹配	今日	之利害，两言而决耳。今日出而言从，日中不决，	时间
076_平原君虞卿列传	日中	日中	929	词表匹配	日中	决耳。今日出而言从，日中不决，何也？”=楚=	时间
