章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
077_魏公子列传	富贵	富贵	171	词表匹配	富贵	^礼^交之，不敢以其富贵骄士。士以此方数千里	思想
077_魏公子列传	贤能	贤能	399	词表匹配	贤能	是後=魏=王畏公子之贤能，不敢任公子以国^政	思想
077_魏公子列传	天下	天下	1365	词表匹配	天下	吾所以待侯生者备矣，天下莫不闻，今吾且死而侯	思想
077_魏公子列传	天下	天下	1432	词表匹配	天下	曰：“公子喜士，名闻天下。今有难，无他端而欲	思想
077_魏公子列传	天下	天下	2701	词表匹配	天下	：“始吾闻夫人弟公子天下无双，今吾闻之，乃妄	思想
077_魏公子列传	天下	天下	2910	词表匹配	天下	去@平原君@归公子，天下士复往归公子，公子倾	思想
077_魏公子列传	宗庙	宗庙	3101	词表匹配	宗庙	破=大梁=而夷先王之宗庙，公子当何面目立天下	礼仪
077_魏公子列传	天下	天下	3111	词表匹配	天下	宗庙，公子当何面目立天下乎？”语未及卒，公子	思想
077_魏公子列传	天下	天下	3278	词表匹配	天下	出。当是时，公子威振天下，诸侯之客进兵法，公	思想
077_魏公子列传	天下	天下	3725	词表匹配	天下	夷门者，城之东门也。天下诸公子亦有喜士者矣，	思想
