章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
078_春申君列传	春申君	春申君	6	词表匹配	春申君	# [0] 春申君列传↵↵## 春申君	人名
078_春申君列传	春申君	春申君	16	词表匹配	春申君	春申君列传↵↵## 春申君说秦昭王↵↵[1] 	人名
078_春申君列传	秦昭王	秦昭王	20	词表匹配	秦昭王	传↵↵## 春申君说秦昭王↵↵[1] @春申君	人名
078_春申君列传	黄氏	黄氏	46	词表匹配	黄氏	=楚=人也，名歇，姓黄氏。游学博闻，事@楚顷	朝代
078_春申君列传	华阳	华阳	100	词表匹配	华阳	韩=、=魏=，败之於华阳，禽=魏=将芒卯，=	人名
078_春申君列传	芒卯	芒卯	108	词表匹配	芒卯	之於华阳，禽=魏=将芒卯，=韩=、=魏=服而	人名
078_春申君列传	黔中	黔中	199	词表匹配	黔中	起@攻=楚=，取巫、黔中之郡，拔=鄢=郢，东	地名
078_春申君列传	周庄王	庄王	423	词表匹配	庄王	有也。先帝@文王@、庄王之身，三世不妄接地於	人名
078_春申君列传	三世	三世	428	词表匹配	三世	@文王@、庄王之身，三世不妄接地於=齐=，以	时间
078_春申君列传	今王	今王	446	词表匹配	今王	齐=，以绝从亲之要。今王使盛桥守事於=韩=，	官职
078_春申君列传	百里	百里	480	词表匹配	百里	不用甲，不信威，而得百里之地。王可谓能矣。王	人名
078_春申君列传	酸枣	酸枣	520	词表匹配	酸枣	=河内=，拔=燕=、酸枣、虚、桃，入邢，=魏	地名
078_春申君列传	二年	二年	555	词表匹配	二年	亦多矣。王休甲息众，二年而後复之；又并蒲、衍	时间
078_春申君列传	济阳	济阳	581	词表匹配	济阳	，以临仁、平丘，黄、济阳婴城而=魏=氏服；王	地名
078_春申君列传	三王	三王	683	词表匹配	三王	义^之地，使无後患，三王不足四，五伯不足六也	朝代
078_春申君列传	五伯	五伯	689	词表匹配	五伯	无後患，三王不足四，五伯不足六也。王若负人徒	制度
078_春申君列传	智氏	智氏	781	词表匹配	智氏	也。何以知其然也？昔智氏见伐=赵=之利而不知	官职
078_春申君列传	榆次	榆次	793	词表匹配	榆次	见伐=赵=之利而不知榆次之祸，=吴=见伐=齐	地名
078_春申君列传	艾陵	艾陵	862	词表匹配	艾陵	齐=，既胜=齐=人於艾陵，还为=越=王禽三渚	地名
078_春申君列传	智氏	智氏	877	词表匹配	智氏	=越=王禽三渚之浦。智氏之信=韩=、=魏=也	官职
