章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
078_春申君列传	天下	天下	306	词表匹配	天下	王@曰：↵↵[2] 天下莫彊於=秦=、=楚=	思想
078_春申君列传	天下	天下	393	词表匹配	天下	是也。今大国之地，遍天下有其二垂，此从生民已	思想
078_春申君列传	天下	天下	621	词表匹配	天下	要，绝=楚=赵之脊，天下五合六聚而不敢救。王	思想
078_春申君列传	天下	天下	723	词表匹配	天下	魏=之威，而欲以力臣天下之主，臣恐其有後患也	思想
078_春申君列传	社稷	社稷	1153	词表匹配	社稷	者将十世矣。本国残，社稷坏，宗庙毁。刳腹绝肠	礼仪
078_春申君列传	宗庙	宗庙	1157	词表匹配	宗庙	矣。本国残，社稷坏，宗庙毁。刳腹绝肠，折颈摺	礼仪
078_春申君列传	血食	血食	1217	词表匹配	血食	於路。鬼神孤伤，无所血食。人民不聊生，族类离	礼仪
078_春申君列传	社稷	社稷	1259	词表匹配	社稷	=魏=之不亡，=秦=社稷之忧也，今王资之与攻	礼仪
078_春申君列传	天下	天下	1585	词表匹配	天下	，北倚河，而无後患，天下之国莫彊於=齐=、=	思想
078_春申君列传	天下	天下	1863	词表匹配	天下	王之地一经两海，要约天下，是=燕=、=赵=无	思想
078_春申君列传	君子	君子	2299	词表匹配	君子	也，歇忧之甚。而阳文君子二人在中，王若卒大命	思想
078_春申君列传	君子	君子	2319	词表匹配	君子	大命，太子不在，阳文君子必立为後，太子不得奉	思想
078_春申君列传	宗庙	宗庙	2331	词表匹配	宗庙	必立为後，太子不得奉宗庙矣。不如亡=秦=，与	礼仪
078_春申君列传	当死	当死	2429	词表匹配	当死	太子已归，出远矣。歇当死，原赐死。”@昭王@	刑法
