章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
079_范睢蔡泽列传	天下	天下	466	词表匹配	天下	张禄先生，欲见君，言天下事。其人有仇，不敢昼	思想
079_范睢蔡泽列传	天下	天下	878	词表匹配	天下	“=魏=有张禄先生，天下辩士也。曰‘=秦=王	思想
079_范睢蔡泽列传	天下	天下	1008	词表匹配	天下	之。数困三=晋=。厌天下辩士，无所信。↵↵#	思想
079_范睢蔡泽列传	无为	无为	1249	词表匹配	无为	臣之言为不可，久留臣无为也。语曰：“庸主赏所	思想
079_范睢蔡泽列传	天下	天下	1400	词表匹配	天下	，良工之所失也，而为天下名器。然则圣王之所弃	思想
079_范睢蔡泽列传	圣王	圣王	1407	词表匹配	圣王	，而为天下名器。然则圣王之所弃者，独不足以厚	思想
079_范睢蔡泽列传	天下	天下	1451	词表匹配	天下	善厚国者取之於诸侯。天下有明主则诸侯不得擅厚	思想
079_范睢蔡泽列传	天下	天下	2031	词表匹配	天下	@遂收功於吕尚而卒王天下。乡使@文王@疏吕尚	思想
079_范睢蔡泽列传	伏诛	伏诛	2149	词表匹配	伏诛	知今日言之於前而明日伏诛於後，然臣不敢避也。	刑法
079_范睢蔡泽列传	天下	天下	2465	词表匹配	天下	恐者，独恐臣死之後，天下见臣之尽忠而身死，因	思想
079_范睢蔡泽列传	宗庙	宗庙	2536	词表匹配	宗庙	迷惑，无与昭奸。大者宗庙灭覆，小者身以孤危，	礼仪
079_范睢蔡泽列传	宗庙	宗庙	2640	词表匹配	宗庙	寡人慁先生而存先王之宗庙也。寡人得受命於先生	礼仪
079_范睢蔡泽列传	天下	天下	3311	词表匹配	天下	，功成名立而利附焉，天下莫之能害也。今夫=韩	思想
079_范睢蔡泽列传	天下	天下	3334	词表匹配	天下	、=魏=，中国之处而天下之枢也，王其欲霸，必	思想
079_范睢蔡泽列传	天下	天下	3351	词表匹配	天下	其欲霸，必亲中国以为天下枢，以威=楚=、=赵	思想
079_范睢蔡泽列传	天下	天下	3633	词表匹配	天下	，人之有心腹之病也。天下无变则已，天下有变，	思想
079_范睢蔡泽列传	天下	天下	3640	词表匹配	天下	病也。天下无变则已，天下有变，其为=秦=患者	思想
079_范睢蔡泽列传	天下	天下	4042	词表匹配	天下	制於诸侯，剖*符*於天下，^政^適伐国，莫敢	思想
079_范睢蔡泽列传	社稷	社稷	4089	词表匹配	社稷	结怨於百姓，而祸归於社稷。诗曰‘木实繁者披其	礼仪
079_范睢蔡泽列传	天下	天下	4766	词表匹配	天下	知之乎？吾闻幸於王，天下之事皆决於相君。今吾	思想
079_范睢蔡泽列传	死罪	死罪	5091	词表匹配	死罪	见之。@须贾@顿首言死罪，曰：“贾不意君能自	刑法
079_范睢蔡泽列传	天下	天下	5115	词表匹配	天下	青云之上，贾不敢复读天下之书，不敢复与天下之	思想
079_范睢蔡泽列传	天下	天下	5124	词表匹配	天下	读天下之书，不敢复与天下之事。贾有汤镬之罪，	思想
079_范睢蔡泽列传	天下	天下	6419	词表匹配	天下	封万户侯。当此之时，天下争知之。夫=魏=齐穷	思想
079_范睢蔡泽列传	坐法	坐法	6853	词表匹配	坐法	河东=守，与诸侯通，坐法诛。而应侯日益以不怿	刑法
079_范睢蔡泽列传	圣人	圣人	7176	词表匹配	圣人	颜，蹙齃，膝挛。吾闻圣人不相，殆先生乎？”@	思想
079_范睢蔡泽列传	富贵	富贵	7201	词表匹配	富贵	知唐举戏之，乃曰：“富贵吾所自有，吾所不知者	思想
079_范睢蔡泽列传	富贵	富贵	7295	词表匹配	富贵	，揖让人主之前，食肉富贵，四十三年足矣。”去	思想
079_范睢蔡泽列传	天下	天下	7405	词表匹配	天下	“=燕=客@蔡泽@，天下雄俊弘辩智士也。彼一	思想
079_范睢蔡泽列传	百家	百家	7453	词表匹配	百家	“五帝三=代=之事，百家之说，吾既知之，众口	思想
079_范睢蔡泽列传	天下	天下	7647	词表匹配	天下	义，行道施德，得志於天下，天下怀乐敬爱而尊慕	思想
079_范睢蔡泽列传	天下	天下	7650	词表匹配	天下	道施德，得志於天下，天下怀乐敬爱而尊慕之，皆	思想
079_范睢蔡泽列传	富贵	富贵	7693	词表匹配	富贵	。”@蔡泽@复曰：“富贵显荣，成理万物，使各	思想
079_范睢蔡泽列传	天下	天下	7723	词表匹配	天下	，终其天年而不夭伤；天下继其统，守其业，传之	思想
079_范睢蔡泽列传	名实	名实	7738	词表匹配	名实	，守其业，传之无穷；名实纯粹，泽流千里，世世	思想
079_范睢蔡泽列传	天地	天地	7757	词表匹配	天地	，世世称之而无绝，与天地终始：岂^道德^之*	思想
079_范睢蔡泽列传	圣人	圣人	7772	词表匹配	圣人	岂^道德^之*符*而圣人所谓吉祥善事者与？”	思想
079_范睢蔡泽列传	社稷	社稷	7939	词表匹配	社稷	魏公子@卬，安=秦=社稷，利百姓，卒为=秦=	礼仪
079_范睢蔡泽列传	君子	君子	8087	词表匹配	君子	至也，忠之节也。是故君子以义死难，视死如归；	思想
079_范睢蔡泽列传	天下	天下	8155	词表匹配	天下	泽@曰：“主圣臣贤，天下之盛福也；君明臣直，	思想
079_范睢蔡泽列传	明君	明君	8241	词表匹配	明君	国家灭乱者，何也？无明君贤父以听之，故天下以	思想
079_范睢蔡泽列传	天下	天下	8250	词表匹配	天下	无明君贤父以听之，故天下以其君父为僇辱而怜其	思想
079_范睢蔡泽列传	治乱	治乱	8661	词表匹配	治乱	能为主安危修^政^，治乱彊兵，批患折难，广地	思想
