章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
080_乐毅列传	乐毅	乐毅	6	词表匹配	乐毅	# [0] 乐毅列传↵↵## 乐毅出	人名
080_乐毅列传	乐毅	乐毅	15	词表匹配	乐毅	 乐毅列传↵↵## 乐毅出仕燕昭王↵↵[1]	人名
080_乐毅列传	燕昭王	燕昭王	19	词表匹配	燕昭王	传↵↵## 乐毅出仕燕昭王↵↵[1] @乐毅@	人名
080_乐毅列传	乐羊	乐羊	38	词表匹配	乐羊	@乐毅@者，其先祖曰乐羊。乐羊为=魏=文侯将	人名
080_乐毅列传	乐羊	乐羊	41	词表匹配	乐羊	@者，其先祖曰乐羊。乐羊为=魏=文侯将，伐取	人名
080_乐毅列传	文侯申	文侯	47	词表匹配	文侯	曰乐羊。乐羊为=魏=文侯将，伐取=中山=，=	人名
080_乐毅列传	文侯申	文侯	61	词表匹配	文侯	伐取=中山=，=魏=文侯封乐羊以灵寿。乐羊死	人名
080_乐毅列传	乐羊	乐羊	64	词表匹配	乐羊	中山=，=魏=文侯封乐羊以灵寿。乐羊死，葬於	人名
080_乐毅列传	灵寿	灵寿	67	词表匹配	灵寿	，=魏=文侯封乐羊以灵寿。乐羊死，葬於灵寿，	地名
080_乐毅列传	乐羊	乐羊	70	词表匹配	乐羊	=文侯封乐羊以灵寿。乐羊死，葬於灵寿，其後子	人名
080_乐毅列传	灵寿	灵寿	76	词表匹配	灵寿	以灵寿。乐羊死，葬於灵寿，其後子孙因家焉。=	地名
080_乐毅列传	沙丘之乱	沙丘之乱	148	词表匹配	沙丘之乱	举之。及@武灵王@有沙丘之乱，乃去=赵=適=魏=	event
080_乐毅列传	一日	一日	196	词表匹配	一日	昭王@怨=齐=，未尝一日而忘报=齐=也。=燕	时间
080_乐毅列传	郭隗	郭隗	231	词表匹配	郭隗	是屈身下士，先^礼^郭隗以招贤者。@乐毅@於	人名
080_乐毅列传	济西	济西	304	词表匹配	济西	↵↵## 合纵伐齐破济西↵↵[3] 当是时，	地名
080_乐毅列传	唐眛	唐眛	329	词表匹配	唐眛	王@彊，南败=楚=相唐眛於重丘，西摧三=晋=	人名
080_乐毅列传	重丘	重丘	332	词表匹配	重丘	，南败=楚=相唐眛於重丘，西摧三=晋=於观津	地名
080_乐毅列传	观津	观津	342	词表匹配	观津	重丘，西摧三=晋=於观津，遂与三=晋=击=秦	地名
080_乐毅列传	千馀里	千馀里	373	词表匹配	千馀里	山=，破=宋=，广地千馀里。与@秦昭王@争重为	时间
080_乐毅列传	大人	大人	456	词表匹配	大人	=，霸国之馀业也，地大人众，未易独攻也。王必	官职
