章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
083_鲁仲连邹阳列传	天下	天下	364	词表匹配	天下	益弱，方今唯&秦&雄天下，此非必贪=邯郸=，	思想
083_鲁仲连邹阳列传	天下	天下	637	词表匹配	天下	↵↵> "吾始以君为天下之贤公子也，吾乃今然	思想
083_鲁仲连邹阳列传	天下	天下	653	词表匹配	天下	也，吾乃今然後知君非天下之贤公子也。梁客@新	思想
083_鲁仲连邹阳列传	天下	天下	1104	词表匹配	天下	然而为帝，过而为政於天下，则连有蹈=东海=而	思想
083_鲁仲连邹阳列传	天下	天下	1427	词表匹配	天下	$尝为^仁义^矣，率天下诸侯而朝&周&。&周	思想
083_鲁仲连邹阳列传	天下	天下	1538	词表匹配	天下	嗟，而母婢也！'卒为天下笑。故生则朝&周&，	思想
083_鲁仲连邹阳列传	天下	天下	2485	词表匹配	天下	人，吾乃今日知先生为天下之士也。吾请出，不敢	思想
083_鲁仲连邹阳列传	天下	天下	2693	词表匹配	天下	连高节↵> "所贵於天下之士者，为人排患释难	思想
083_鲁仲连邹阳列传	天下	天下	3308	词表匹配	天下	。以全&齐&之兵，无天下之规，与=聊城=共据	思想
083_鲁仲连邹阳列传	天下	天下	3385	词表匹配	天下	&赵&，壤削主困，为天下僇笑。国敝而祸多，民	思想
083_鲁仲连邹阳列传	天下	天下	3453	词表匹配	天下	孙膑@之兵也。能见於天下。虽然，为公计者，不	思想
083_鲁仲连邹阳列传	桎梏	桎梏	3725	词表匹配	桎梏	@不能死，怯也；束缚桎梏，辱也。若此三行者，	刑法
083_鲁仲连邹阳列传	天下	天下	3811	词表匹配	天下	不耻身在縲绁之中而耻天下之不治，不耻不死$公	思想
083_鲁仲连邹阳列传	天下	天下	3852	词表匹配	天下	之过而为五霸首，名高天下而光烛邻国。@曹子@	思想
083_鲁仲连邹阳列传	天下	天下	3941	词表匹配	天下	鲁=君计。$桓公$朝天下，会诸侯，@曹子@以	思想
083_鲁仲连邹阳列传	天下	天下	3994	词表匹配	天下	战之所亡一朝而复之，天下震动，诸侯惊骇，威加	思想
083_鲁仲连邹阳列传	富贵	富贵	4325	词表匹配	富贵	，曰：↵↵> "吾与富贵而诎於人，宁贫贱而轻	思想
083_鲁仲连邹阳列传	贫贱	贫贱	4333	词表匹配	贫贱	吾与富贵而诎於人，宁贫贱而轻世肆志焉。"↵↵	思想
083_鲁仲连邹阳列传	天地	天地	4663	词表匹配	天地	$昭王$疑之。夫精变天地而信不喻两主，岂不哀	思想
083_鲁仲连邹阳列传	极刑	极刑	4810	词表匹配	极刑	李斯@竭忠，$胡亥$极刑。是以@箕子@详狂，	刑法
083_鲁仲连邹阳列传	天下	天下	5112	词表匹配	天下	。是以@苏秦@不信於天下，而为&燕&尾生；@	思想
083_鲁仲连邹阳列传	朝见	朝见	5309	词表匹配	朝见	见妒；士无贤不肖，入朝见嫉。昔者@司马喜@髌	礼仪
083_鲁仲连邹阳列传	圣王	圣王	5793	词表匹配	圣王	也。"↵↵#### 圣王觉寤↵↵[16.1]	思想
083_鲁仲连邹阳列传	圣王	圣王	5819	词表匹配	圣王	↵↵> NOTE: 圣王觉寤↵> "是以圣王	思想
083_鲁仲连邹阳列传	圣王	圣王	5829	词表匹配	圣王	圣王觉寤↵> "是以圣王觉寤，捐@子之@之心	思想
083_鲁仲连邹阳列传	天下	天下	5874	词表匹配	天下	妇之墓，故功业复就於天下。何则？欲善无厌也。	思想
083_鲁仲连邹阳列传	天下	天下	5917	词表匹配	天下	桓公$用其仇，而一匡天下。何则，慈仁殷勤，诚	思想
083_鲁仲连邹阳列传	天下	天下	6010	词表匹配	天下	&韩&、&魏&，兵彊天下，而卒车裂之；&越&	思想
083_鲁仲连邹阳列传	车裂	车裂	6015	词表匹配	车裂	魏&，兵彊天下，而卒车裂之；&越&用$大夫$	刑法
083_鲁仲连邹阳列传	圣王	圣王	6157	词表匹配	圣王	@；况因万乘之权，假圣王之资乎？然则@荆轲@	思想
083_鲁仲连邹阳列传	天下	天下	6360	词表匹配	天下	朽株树功而不忘。今夫天下布衣穷居之士，身在贫	思想
083_鲁仲连邹阳列传	贫贱	贫贱	6371	词表匹配	贫贱	下布衣穷居之士，身在贫贱，虽蒙@尧@、@舜@	思想
083_鲁仲连邹阳列传	圣王	圣王	6481	词表匹配	圣王	也。"↵↵#### 圣王独化↵↵[19.1]	思想
083_鲁仲连邹阳列传	圣王	圣王	6507	词表匹配	圣王	↵↵> NOTE: 圣王独化↵> "是以圣王	思想
083_鲁仲连邹阳列传	圣王	圣王	6517	词表匹配	圣王	圣王独化↵> "是以圣王制世御俗，独化於陶钧	思想
083_鲁仲连邹阳列传	天下	天下	6611	词表匹配	天下	载@吕尚@而归，以王天下。故&秦&信左右而杀	思想
083_鲁仲连邹阳列传	富贵	富贵	6749	词表匹配	富贵	焦@所以忿於世而不留富贵之乐也。"↵↵###	思想
083_鲁仲连邹阳列传	天下	天下	6847	词表匹配	天下	@墨子@回车。今欲使天下寥廓之士，摄於威重之	思想
083_鲁仲连邹阳列传	大义	大义	6993	词表匹配	大义	@鲁连@其指意虽不合大义，然余多其在布衣之位	思想
