章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
084_屈原贾生列传	屈原	屈原	6	词表匹配	屈原	# 084 屈原贾生列传↵↵## 标	人名
084_屈原贾生列传	贾生	贾生	8	词表匹配	贾生	# 084 屈原贾生列传↵↵## 标题↵	人名
084_屈原贾生列传	屈原	屈原	39	词表匹配	屈原	传↵↵## [1] 屈原生平与事迹↵↵[1.	人名
084_屈原贾生列传	屈原作离骚	屈原作离骚	269	词表匹配	屈原作离骚	。↵↵## [2] 屈原作离骚↵↵[2.1] @屈	event
084_屈原贾生列传	离骚	离骚	322	词表匹配	离骚	容也,故忧愁幽思而作离骚。离骚者,犹离忧也。	制度
084_屈原贾生列传	离骚	离骚	325	词表匹配	离骚	故忧愁幽思而作离骚。离骚者,犹离忧也。夫天者	制度
084_屈原贾生列传	离骚	离骚	433	词表匹配	离骚	无怨乎?@屈平@之作离骚,盖自怨生也。↵↵[	制度
084_屈原贾生列传	小雅	小雅	458	词表匹配	小雅	] 国风好色而不淫,小雅怨诽而不乱。若离骚者	制度
084_屈原贾生列传	离骚	离骚	467	词表匹配	离骚	,小雅怨诽而不乱。若离骚者,可谓兼之矣。上称	制度
084_屈原贾生列传	道德	道德	523	词表匹配	道德	武@$,以刺世事。明道德之广崇,治乱之条贯,	制度
084_屈原贾生列传	张仪	张仪	658	词表匹配	张仪	。↵↵## [3] 张仪欺楚↵↵[3.1] 	人名
084_屈原贾生列传	百里	百里	775	词表匹配	百里	=商=、=於=之地六百里。"&楚&$@怀王@	人名
084_屈原贾生列传	百里	百里	832	词表匹配	百里	@与王约六里,不闻六百里。"&楚&使怒去,归	人名
084_屈原贾生列传	怀王入秦不返	怀王入秦不返	1232	词表匹配	怀王入秦不返	。↵↵## [4] 怀王入秦不返↵↵[4.1] 时&	event
084_屈原贾生列传	虎狼	虎狼	1291	词表匹配	虎狼	@屈平@曰:"&秦&虎狼之国,不可信,不如毋	器物
084_屈原贾生列传	卫长子	长子	1419	词表匹配	长子	葬。↵↵[4.2] 长子$@顷襄王@$立,以	人名
084_屈原贾生列传	屈原	屈原	1483	词表匹配	屈原	。↵↵## [5] 屈原论治道↵↵[5.1]	人名
084_屈原贾生列传	屈原被迁	屈原被迁	1792	词表匹配	屈原被迁	!↵↵## [6] 屈原被迁↵↵[6.1] $令	event
084_屈原贾生列传	屈原	屈原	1860	词表匹配	屈原	。↵↵## [7] 屈原与渔父问答↵↵[7.	人名
084_屈原贾生列传	渔父	渔父	1863	词表匹配	渔父	## [7] 屈原与渔父问答↵↵[7.1] 	官职
084_屈原贾生列传	大人	大人	2266	词表匹配	大人	度未改;内直质重兮,大人所盛。巧匠不斫兮,孰	官职
084_屈原贾生列传	屈原	屈原	2739	词表匹配	屈原	。↵↵## [9] 屈原之死↵↵[9.1] 	人名
084_屈原贾生列传	而以	而以	2806	词表匹配	而以	景差@之徒者,皆好辞而以赋见称;然皆祖@屈原	人名
084_屈原贾生列传	贾生	贾生	2863	词表匹配	贾生	↵↵## [10] 贾生其人↵↵[10.1]	人名
084_屈原贾生列传	贾生	贾生	3198	词表匹配	贾生	↵↵## [11] 贾生改制建议↵↵[11.	人名
084_屈原贾生列传	天子	天子	3365	词表匹配	天子	↵[11.2] 於是天子议以为@贾生@任$公	官职
084_屈原贾生列传	天子	天子	3450	词表匹配	天子	权,纷乱诸事。"於是天子後亦疏之,不用其议,	官职
084_屈原贾生列传	贾生	贾生	3489	词表匹配	贾生	↵↵## [12] 贾生吊屈原赋↵↵[12.	人名
084_屈原贾生列传	屈原	屈原	3492	词表匹配	屈原	# [12] 贾生吊屈原赋↵↵[12.1] 	人名
084_屈原贾生列传	无穷	无穷	4310	词表匹配	无穷	续兮,变化而嬗。沕穆无穷兮,胡可胜言!祸兮福	地名
084_屈原贾生列传	遂成	遂成	4382	词表匹配	遂成	践@$霸世。@斯@游遂成兮,卒被^五刑^;@	人名
084_屈原贾生列传	天地	天地	4514	词表匹配	天地	↵[13.4] 且夫天地为*炉*兮,造化为工	天文
084_屈原贾生列传	阴阳	阴阳	4527	词表匹配	阴阳	*炉*兮,造化为工;阴阳为*炭*兮,万物为*	制度
084_屈原贾生列传	贾生	贾生	4813	词表匹配	贾生	↵↵## [14] 贾生任梁王太傅↵↵[14	人名
084_屈原贾生列传	梁王	梁王	4816	词表匹配	梁王	# [14] 贾生任梁王太傅↵↵[14.1]	人名
084_屈原贾生列传	太傅	太傅	4818	词表匹配	太傅	[14] 贾生任梁王太傅↵↵[14.1] 後	官职
084_屈原贾生列传	贾生	贾生	5083	词表匹配	贾生	↵↵## [15] 贾生之死↵↵[15.1]	人名
084_屈原贾生列传	二人	二人	5182	词表匹配	二人	$立,举@贾生@之孙二人至$郡守$,而@贾嘉	时间
084_屈原贾生列传	司马迁	太史公	5234	词表匹配	太史公	↵↵## [16] 太史公曰↵↵[16.1] 	人名
084_屈原贾生列传	离骚	离骚	5256	词表匹配	离骚	 $太史公$曰:余读离骚、天问、招魂、哀郢,	制度
084_屈原贾生列传	司马迁	太史公	5365	词表匹配	太史公	↵↵## [17] 太史公赞↵↵[17.1] 	人名
