章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
086_刺客列传	曹沫	曹沫	31	词表匹配	曹沫	传↵↵## [1] 曹沫↵↵### [1.1	人名
086_刺客列传	曹沫	曹沫	45	词表匹配	曹沫	### [1.1] 曹沫其人↵↵@曹沫@者,	人名
086_刺客列传	柯盟劫齐桓公	柯盟劫齐桓公	142	词表匹配	柯盟劫齐桓公	### [1.2] 柯盟劫齐桓公↵↵&齐&$@桓公@	event
086_刺客列传	子将	子将	230	词表匹配	子将	右莫敢动,而问曰:"子将何欲?"@曹沫@曰:	人名
086_刺客列传	专诸	专诸	446	词表匹配	专诸	。↵↵## [2] 专诸↵↵### [2.1	人名
086_刺客列传	专诸	专诸	500	词表匹配	专诸	### [2.2] 专诸其人↵↵@专诸@者,	人名
086_刺客列传	吴公子光	公子光	700	词表匹配	公子光	### [2.3] 公子光欲立↵↵@光@之父曰	人名
086_刺客列传	三人	三人	729	词表匹配	三人	@$。$@诸樊@$弟三人:次曰$@馀祭@$,	时间
086_刺客列传	专诸刺王僚	专诸刺王僚	952	词表匹配	专诸刺王僚	### [2.4] 专诸刺王僚↵↵@光@既得@专诸	event
086_刺客列传	老子	老子	1164	词表匹配	老子	@王僚@$可杀也。母老子弱,而两弟将兵伐&楚	人名
086_刺客列传	甲士	甲士	1250	词表匹配	甲士	四月丙子%,@光@伏甲士於*窟室*中,而具*	器物
086_刺客列传	豫让	豫让	1490	词表匹配	豫让	。↵↵## [3] 豫让↵↵### [3.1	人名
086_刺客列传	豫让报智伯	豫让报智伯	1542	词表匹配	豫让报智伯	### [3.2] 豫让报智伯↵↵@豫让@者,&晋	event
086_刺客列传	程不识	不识	1927	词表匹配	不识	可知,行乞於市。其妻不识也。行见其友,其友识	人名
086_刺客列传	人臣	人臣	2089	词表匹配	人臣	,将以愧天下後世之为人臣怀二心以事其君者也。	官职
086_刺客列传	今日	今日	2448	词表匹配	今日	,天下莫不称君之贤。今日之事,臣固伏诛,然原	时间
086_刺客列传	聂政	聂政	2585	词表匹配	聂政	。↵↵## [4] 聂政↵↵### [4.1	人名
086_刺客列传	聂政	聂政	2637	词表匹配	聂政	### [4.2] 聂政其人↵↵@聂政@者,	人名
