章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
088_蒙恬列传	蒙恬	蒙恬	6	词表匹配	蒙恬	# 088 蒙恬列传↵↵## 标题↵	人名
088_蒙恬列传	文学	文学	271	词表匹配	文学	恬@。@恬@尝书狱典文学。$@始皇@$%二十	官职
088_蒙恬列传	蒙恬	蒙恬	361	词表匹配	蒙恬	。↵↵## [2] 蒙恬北逐匈奴↵↵[2.1	人名
088_蒙恬列传	匈奴	匈奴	365	词表匹配	匈奴	# [2] 蒙恬北逐匈奴↵↵[2.1] $@	朝代
088_蒙恬列传	万馀里	万馀里	481	词表匹配	万馀里	=,至=辽东=,延袤万馀里。於是渡=河=,据=	时间
088_蒙恬列传	参乘	参乘	576	词表匹配	参乘	,位至$上卿$,出则参乘,入则御前。@恬@任	官职
088_蒙恬列传	赵高	赵高	629	词表匹配	赵高	。↵↵## [3] 赵高与蒙毅↵↵[3.1]	人名
088_蒙恬列传	蒙毅	蒙毅	632	词表匹配	蒙毅	## [3] 赵高与蒙毅↵↵[3.1] @赵	人名
088_蒙恬列传	数人	数人	663	词表匹配	数人	远属也。@赵高@昆弟数人,皆生隐宫,其母被^	时间
088_蒙恬列传	秦始皇帝	始皇	804	词表匹配	始皇	。↵↵## [4] 始皇崩↵↵[4.1] $	人名
088_蒙恬列传	山川	山川	926	词表匹配	山川	道病,使@蒙毅@还祷山川,未反。↵↵[4.3	地名
088_蒙恬列传	扶苏蒙恬受诏	扶苏蒙恬受诏	1078	词表匹配	扶苏蒙恬受诏	。↵↵## [5] 扶苏蒙恬受诏↵↵[5.1] $太	event
088_蒙恬列传	赵高谮蒙毅	赵高谮蒙毅	1229	词表匹配	赵高谮蒙毅	。↵↵## [6] 赵高谮蒙毅↵↵[6.1] @毅	event
088_蒙恬列传	子婴	子婴	1431	词表匹配	子婴	。↵↵## [7] 子婴进谏↵↵[7.1] 	人名
088_蒙恬列传	一旦	一旦	1569	词表匹配	一旦	之大臣谋士也,而主欲一旦弃去之,臣窃以为不可	时间
088_蒙恬列传	蒙毅	蒙毅	1740	词表匹配	蒙毅	"↵↵## [8] 蒙毅辩解↵↵[8.1] 	人名
088_蒙恬列传	原大夫	原大夫	1872	词表匹配	原大夫	也,为羞累先主之名,原大夫为虑焉,使臣得死情实	官职
088_蒙恬列传	大夫	大夫	2056	词表匹配	大夫	而罚不加於无辜'。唯大夫留心!"↵↵[8.3	官职
088_蒙恬列传	蒙恬	蒙恬	2104	词表匹配	蒙恬	。↵↵## [9] 蒙恬之死↵↵[9.1] 	人名
088_蒙恬列传	周书	周书	2466	词表匹配	周书	者而反@周公旦@。故周书曰'必参而伍之'。↵	制度
088_蒙恬列传	万馀里	万馀里	2709	词表匹配	万馀里	=属之=辽东=,城巉万馀里,此其中不能无绝地脉	时间
088_蒙恬列传	司马迁	太史公	2750	词表匹配	太史公	↵↵## [10] 太史公曰↵↵[10.1] 	人名
088_蒙恬列传	北边	北边	2772	词表匹配	北边	 $太史公$曰:吾適北边,自*直道*归,行观	地名
088_蒙恬列传	司马迁	太史公	2914	词表匹配	太史公	↵↵## [11] 太史公赞↵↵[11.1] 	人名
