章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
089_张耳陈馀列传	张耳	张耳	6	词表匹配	张耳	# 089_张耳陈馀列传↵↵## 刎	人名
089_张耳陈馀列传	陈馀	陈馀	8	词表匹配	陈馀	# 089_张耳陈馀列传↵↵## 刎颈之	人名
089_张耳陈馀列传	千里	千里	178	词表匹配	千里	耳@，@张耳@以故致千里客。乃宦&魏&为$外	时间
089_张耳陈馀列传	儒术	儒术	215	词表匹配	儒术	，亦=大梁=人也，好儒术，数游=赵=苦陉。富	制度
089_张耳陈馀列传	两人	两人	263	词表匹配	两人	年少，父事@张耳@，两人相与为刎颈交。↵↵[	时间
089_张耳陈馀列传	数月	数月	318	词表匹配	数月	尝数从@张耳@游，客数月。&秦&灭&魏&数岁	时间
089_张耳陈馀列传	数岁	数岁	328	词表匹配	数岁	数月。&秦&灭&魏&数岁，已闻此两人&魏&之	时间
089_张耳陈馀列传	两人	两人	334	词表匹配	两人	灭&魏&数岁，已闻此两人&魏&之名士也，购求	时间
089_张耳陈馀列传	千金	千金	352	词表匹配	千金	也，购求有得@张耳@千金，@陈馀@五百金。@	器物
089_张耳陈馀列传	五百金	五百金	359	词表匹配	五百金	张耳@千金，@陈馀@五百金。@张耳@、@陈馀@	器物
089_张耳陈馀列传	两人	两人	391	词表匹配	两人	=，为里监门以自食。两人相对。里吏尝有过笞@	时间
089_张耳陈馀列传	有过	有过	399	词表匹配	有过	食。两人相对。里吏尝有过笞@陈馀@，@陈馀@	朝代
089_张耳陈馀列传	诏书	诏书	477	词表匹配	诏书	@陈馀@然之。&秦&诏书购求两人，两人亦反用	制度
089_张耳陈馀列传	两人	两人	481	词表匹配	两人	然之。&秦&诏书购求两人，两人亦反用门者以令	时间
089_张耳陈馀列传	两人	两人	484	词表匹配	两人	&秦&诏书购求两人，两人亦反用门者以令里中。	时间
089_张耳陈馀列传	从陈涉起兵	从陈涉起兵	501	词表匹配	从陈涉起兵	以令里中。↵↵## 从陈涉起兵↵↵[3] @陈涉@	event
089_张耳陈馀列传	数万	数万	528	词表匹配	数万	蕲=，至入=陈=，兵数万。@张耳@、@陈馀@	时间
089_张耳陈馀列传	社稷	社稷	623	词表匹配	社稷	暴&秦&，复立&楚&社稷，存亡继绝，功德宜为	制度
089_张耳陈馀列传	楚王	楚王	657	词表匹配	楚王	为王不可，原将军立为楚王也。"@陈涉@问此两	人名
089_张耳陈馀列传	两人	两人	668	词表匹配	两人	王也。"@陈涉@问此两人，两人对曰："夫&秦	时间
089_张耳陈馀列传	两人	两人	671	词表匹配	两人	"@陈涉@问此两人，两人对曰："夫&秦&为无	时间
089_张耳陈馀列传	社稷	社稷	692	词表匹配	社稷	无道，破人国家，灭人社稷，绝人後世，罢百姓之	制度
089_张耳陈馀列传	六国	六国	766	词表匹配	六国	，急引兵而西，遣人立六国後，自为树党，为&秦	制度
089_张耳陈馀列传	护军	护军	968	词表匹配	护军	@为将军，@邵骚@为护军，以@张耳@、@陈馀	官职
089_张耳陈馀列传	三千人	三千人	991	词表匹配	三千人	为左右$校尉$，予卒三千人，北略=赵地=。↵↵	时间
089_张耳陈馀列传	武臣	武臣	1007	词表匹配	武臣	=赵地=。↵↵## 武臣略赵称王↵↵[6] 	人名
089_张耳陈馀列传	数十年	数十年	1057	词表匹配	数十年	乱政虐刑以残贼天下，数十年矣。北有^长城之役^	时间
089_张耳陈馀列传	苛法	苛法	1113	词表匹配	苛法	尽，民不聊生。重之以苛法峻刑，使天下父子不相	制度
089_张耳陈馀列传	二千里	二千里	1147	词表匹配	二千里	始，王&楚&之地，方二千里，莫不响应，家自为怒	时间
089_张耳陈馀列传	数万人	数万人	1305	词表匹配	数万人	然其言。乃行收兵，得数万人，号@武臣@为$武信	时间
089_张耳陈馀列传	东北	东北	1346	词表匹配	东北	。↵↵[7] 乃引兵东北击=范阳=。=范阳=	地名
089_张耳陈馀列传	十年	十年	1427	词表匹配	十年	重，足下为$范阳令$十年矣，杀人之父，孤人之	时间
089_张耳陈馀列传	千里	千里	1655	词表匹配	千里	，不战而略地，传檄而千里定，可乎？"$武信君	时间
089_张耳陈馀列传	千里	千里	1871	词表匹配	千里	也。此臣之所谓传檄而千里定者也。"$武信君$	时间
089_张耳陈馀列传	十馀城	十馀城	1916	词表匹配	十馀城	闻之，不战以城下者三十馀城。↵↵[9] 至=邯	时间
089_张耳陈馀列传	而以	而以	1989	词表匹配	而以	王@不用其筴不以为将而以为$校尉$。乃说@武	人名
089_张耳陈馀列传	六国	六国	2025	词表匹配	六国	至=陈=而王，非必立六国後。将军今以三千人下	制度
089_张耳陈馀列传	三千人	三千人	2033	词表匹配	三千人	必立六国後。将军今以三千人下&赵&数十城，独介	时间
089_张耳陈馀列传	数十城	数十城	2040	词表匹配	数十城	军今以三千人下&赵&数十城，独介居=河北=，不	时间
089_张耳陈馀列传	十馀辈	十馀辈	2631	词表匹配	十馀辈	舍中皆笑曰："使者往十馀辈，辄死，若何以能得王	时间
089_张耳陈馀列传	两人	两人	2757	词表匹配	两人	卒乃笑曰："君未知此两人所欲也。夫@武臣@、	时间
089_张耳陈馀列传	马箠	马箠	2779	词表匹配	马箠	@张耳@、@陈馀@杖马箠下&赵&数十城，此亦	器物
089_张耳陈馀列传	数十城	数十城	2785	词表匹配	数十城	陈馀@杖马箠下&赵&数十城，此亦各欲南面而王，	时间
089_张耳陈馀列传	卿相	卿相	2801	词表匹配	卿相	各欲南面而王，岂欲为卿相终己邪？夫臣与主岂可	官职
089_张耳陈馀列传	两人	两人	2861	词表匹配	两人	。今&赵&地已服，此两人亦欲分&赵&而王，时	时间
089_张耳陈馀列传	两人	两人	2887	词表匹配	两人	今君乃囚&赵&王。此两人名为求&赵&王，实欲	时间
089_张耳陈馀列传	两人	两人	2906	词表匹配	两人	，实欲&燕&杀之，此两人分&赵&自立。夫以一	时间
089_张耳陈馀列传	贤王	贤王	2930	词表匹配	贤王	&尚易&燕&，况以两贤王左提右挈，而责杀王之	官职
089_张耳陈馀列传	李良	李良	2979	词表匹配	李良	为御而归。↵↵## 李良叛赵杀王↵↵[13]	人名
089_张耳陈馀列传	百馀	百馀	3138	词表匹配	百馀	逢&赵&王姊出饮，从百馀骑。@李良@望见，以	时间
089_张耳陈馀列传	数万人	数万人	3331	词表匹配	数万人	故得脱出。收其兵，得数万人。客有说@张耳@曰：	时间
089_张耳陈馀列传	巨鹿之围	巨鹿之围	3434	词表匹配	巨鹿之围	@章邯@。↵↵## 巨鹿之围↵↵[14] @章邯	event
089_张耳陈馀列传	数万人	数万人	3511	词表匹配	数万人	@北收=常山=兵，得数万人，军=钜鹿=北。@章	时间
089_张耳陈馀列传	甬道	甬道	3538	词表匹配	甬道	钜鹿=南=棘原=，筑甬道属河，饷@王离@。@	地名
089_张耳陈馀列传	数月	数月	3608	词表匹配	数月	不敌&秦&，不敢前。数月，@张耳@大怒，怨@	时间
089_张耳陈馀列传	今王	今王	3652	词表匹配	今王	"始吾与公为刎颈交，今王与@耳@旦暮且死，而	官职
089_张耳陈馀列传	数万	数万	3667	词表匹配	数万	@旦暮且死，而公拥兵数万，不肯相救，安在其相	时间
089_张耳陈馀列传	五千人	五千人	3822	词表匹配	五千人	益。必如公言。"乃使五千人令@张黡@、@陈泽@	时间
