章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
089_张耳陈馀列传	社稷	社稷	623	词表匹配	社稷	暴&秦&，复立&楚&社稷，存亡继绝，功德宜为	礼仪
089_张耳陈馀列传	天下	天下	641	词表匹配	天下	功德宜为王。且夫监临天下诸将，不为王不可，原	思想
089_张耳陈馀列传	社稷	社稷	692	词表匹配	社稷	无道，破人国家，灭人社稷，绝人後世，罢百姓之	礼仪
089_张耳陈馀列传	天下	天下	730	词表匹配	天下	万死不顾一生之计，为天下除残也。今始至=陈=	思想
089_张耳陈馀列传	天下	天下	747	词表匹配	天下	始至=陈=而王之，示天下私。原将军毋王，急引	思想
089_张耳陈馀列传	天下	天下	851	词表匹配	天下	矣。今独王=陈=，恐天下解也。"@陈涉@不听	思想
089_张耳陈馀列传	天下	天下	1054	词表匹配	天下	秦&为乱政虐刑以残贼天下，数十年矣。北有^长	思想
089_张耳陈馀列传	天下	天下	1119	词表匹配	天下	。重之以苛法峻刑，使天下父子不相安。@陈王@	思想
089_张耳陈馀列传	天下	天下	1134	词表匹配	天下	相安。@陈王@奋臂为天下倡始，王&楚&之地，	思想
089_张耳陈馀列传	天下	天下	1246	词表匹配	天下	。诸君试相与计之！夫天下同心而苦&秦&久矣。	思想
089_张耳陈馀列传	天下	天下	1259	词表匹配	天下	心而苦&秦&久矣。因天下之力而攻无道之君，报	思想
089_张耳陈馀列传	天下	天下	1480	词表匹配	天下	者，畏&秦&法耳。今天下大乱，&秦&法不施，	思想
089_张耳陈馀列传	富贵	富贵	1709	词表匹配	富贵	也，怯而畏死，贪而重富贵，故欲先天下降，畏君	思想
089_张耳陈馀列传	天下	天下	1715	词表匹配	天下	，贪而重富贵，故欲先天下降，畏君以为&秦&所	思想
089_张耳陈馀列传	贤王	贤王	2930	词表匹配	贤王	&尚易&燕&，况以两贤王左提右挈，而责杀王之	思想
089_张耳陈馀列传	天下	天下	3197	词表匹配	天下	官。从官有一人曰："天下畔&秦&，能者先立。	思想
089_张耳陈馀列传	天下	天下	4637	词表匹配	天下	荣@曰："@项羽@为天下宰不平，尽王诸将善地	思想
089_张耳陈馀列传	天下	天下	5375	词表匹配	天下	王也！"说王曰："夫天下豪桀并起，能者先立。	思想
089_张耳陈馀列传	天下	天下	5878	词表匹配	天下	怒曰："使@张敖@据天下，岂少而女乎！"不听	思想
089_张耳陈馀列传	论死	论死	6036	词表匹配	论死	妻子乎？今吾三族皆以论死，岂以王易吾亲哉！顾	刑法
089_张耳陈馀列传	天下	天下	6271	词表匹配	天下	遂死。当此之时，名闻天下。↵↵## 张敖封侯	思想
089_张耳陈馀列传	天下	天下	6596	词表匹配	天下	者；其宾客厮役，莫非天下俊桀，所居国无不取卿	思想
089_张耳陈馀列传	天下	天下	6717	词表匹配	天下	@张耳@、@陈馀@，天下豪俊。忘年羁旅，刎颈	思想
